LG와 NC가 펼치는 플레이오프(5전 3선 승제)에서 그 주인공이 가려지+ㄴ다 .	ORG-B ORG-B O O O O O O O O
그렇다면 서로 의견이 충돌하는 일은 없을까.“오늘 처음으로 푸터먼에게 화를 내+었어요 .	O O O O O O O PER-B O O O
전반 초반에는 공방을 벌이었지만 10여분이 흐르면서 확실하게 주도권을 거머쥐었다 .	O O O O O O O O O O
한편, 권선택 대전시장은 2014년 6·4 지방선거를 앞두고 ‘대전 미래경제연구포럼’을 만들어 사전 선거운동을 하고 1억5900여만원의 불법 정치자금을 모금하+ㄴ 혐의로 기소되었다 .	O PER-B O MNY-B O O O O O O O O O MNY-B O O O O O O
더하우스 소호 여의도는 지하철 9호선 국회의사당역 앞에 위치하+ㄴ초역세권으로 강남, 김포공항을 20분대로 이용 가능하며, 88올림픽대로, 강변북로, 여의도에서 마포로 연결되는 마포대교, 신촌, 홍익대 연결로서강대교, 용산으로 바로 연결되는 원효대교까지 최고의 교통입지를 자랑하+ㄴ다 .	LOC-B O LOC-B O O O O O LOC-B LOC-B O O O LOC-B LOC-B LOC-B LOC-B O LOC-B LOC-B LOC-B LOC-B LOC-B O O LOC-B O O O O
그때의 후커가 하+ㄴ일을 잇고 있는 큐가든은 오늘날에도 식물 분류학이라는 독보적 이+ㄴ과학 영역을 확보하고 있다 .	O PER-B O O O PER-B O O O O O O O O O
메이지 유신의 종잣돈을 만들 +ㄴ도 자 수출 몇 백년 전 조선 기술자들에 대하+ㄴ 감사 하+ㅁ을 아직까지도 잇고 있는 마을 사람들을 만나니 장인 정신을 중히 여기는 일본의 뿌리가 느끼+어+지었다 .	O O O O O O O O O O ORG-B O O O O O O O O O O O O O O ORG-B O O O
대한한의사협회에서는 한의사는 약재별 특성과 인체 부작용 우려 사항 등을 잘 알고 있기 때문에 그런 처방을 도저히 하+ㄹ 수가 없다고 밝히고 있습니다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O
1일부터 주식시장의 거래시간이 30분 늘어나 +ㄴ다 .	O O O O O O O
가로 1m, 세로 90㎝ 크기의 대형종이에 그리+ㄴ 퍼즐빈칸에 환경과 관련되 +ㄴ 단어들을 채우어 넣는 작업 .	O O O O O O O O O O O O O O O O
한 달 사용료는 약 300만원.사이트 초기 운영금은 ‘전주(錢主)’가 5000만원을 투자하였다 .	O O O O MNY-B O O O MNY-B O O
제작사는 “드라마를 만들는 입장에서도 마음이 편하지만은 않다”면서 “‘킬미 힐미’와 소재적 이+ㄴ 측면에서는 겹치+ㄹ 수 있으나 드라마가 진행되다 보면 각자 색깔이 다르+ㄹ 것이라고 생각 하+ㄴ다”고 설명하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
전날 열리+ㄴ 경기에서 전북은 외국인 선수에 두와 에닝요가 후반에 연속 골을 터뜨리+어안방팀 서울을 2-1로 누르었다 .	O O O ORG-B O O O PER-B O O O O ORG-B O O O
신라는 상층에 이렇게 목숨을 던지는 이들이 많았기 때문에 삼국통일을 이루+어내+ㄹ 수 있었다 .	ORG-B O O O O O O O O O O O O
명태탕은 108위안(1만9000원), 해물파전은 78위안(1만4000원)에 팔았다 .	O MNY-B O MNY-B O O
