최근 우승 2회, 준우승 1회의 눈부시+ㄴ 성적을 내며 현기증이나 +ㄹ 정도로 고공비행을 하고 있는 정현에게는 이번 참패가 쓰+ㄴ 약이 되+어야 하+ㄴ다 .	O O O O O O O O O O O O O O PER-B O O O O O O O
사진제공=H.O.T이 재원갑상선암/동아닷컴 DB 동아닷컴 디지털뉴스팀 기사제보 dnews@donga. co .	ORG-B ORG-B O ORG-B O O O O O
‘그리스 협상 타결’ 국제신용평가사 이+ㄴ 스탠다드앤 푸어스(S&P)가 지나 +ㄴ 13일(현지시각) 그리스의 구제금융 협상이 최종 타결되+ㄹ 경우 그리스의 신용등급이 신속하게 상향 조정되+ㄹ 것이라고 밝히었다 .	ORG-B O O O O ORG-B ORG-B O O O ORG-B O O O O O ORG-B O O O O O O O
S&P의 모리츠 크래머 유럽소버린 애널리스트는 그리스 협상이 완전하게 타결되면 현재 ‘CCC-’(투자 부적격)이+ㄴ 신용등급이 1~2주나 +의 상향 조정되+ㄹ 가능성이 있다고 말하였다 .	ORG-B PER-B O LOC-B O LOC-B O O O O O O O O O O O O O O O
20일 서울 낮 최고 18도 … 수도권 등 미세먼지 ‘나쁘+ㅁ .	O LOC-B O O O O LOC-B O O O O
올해도 7월 기준으로 벌써 24명이 면제받았다 .	O O O O O O O
한국은 한국 이슬람교 중앙회(KMF)의 할랄 인증이 2년 전부터 JAKIM 인증과 동등하+ㄴ 것으로 인정되+어 수출 전망이 밝다 .	ORG-B ORG-B O ORG-B O O O O ORG-B O O O O O O O O
전국 땅값은 2010년 11월 이후 77개월 연속으로 상승곡선을 그리고 있다 .	O O O O O O O O O O O
마이리틀 텔레비전 김영만, 종이접기로 2030세대 ‘뭉클’… ‘어린이들, 이제 다 +었다’ ‘종이접기 아저씨’ 김영만 종이문화재단 평생교육원장이 MBC ‘마이리틀 텔레비전’에 출연하+여눈길을 끌었다 .	O O PER-B ORG-B O O O O O O ORG-B O PER-B ORG-B O O O O O O O
김영만은 12일 인터넷 생방송 다음 TV팟을 통하+여 MBC ‘마이리틀 텔레비전(이하 마리텔)’ 시청자들과 인사하었다 .	PER-B O O O O O O O O O O O O O
김영만이 오랜만에 방송을 통하+여 모습을 드러내자 누리꾼은 “눈물이나 +ㄴ다”고 하기도 +였다 .	PER-B O O O O O O O O O O O
실제로 이동국은 지난해 정규리그 하반기에 종아리 부상을 입고도 13골로 득점부문 2위에 오르았다 .	O PER-B O O O O O O O O O O O
전북도 보건환경연구원은 올 들어 전북에서 비브리오 패혈증균이 처음으로 검출되었다며 주의를 당부하였다 .	ORG-B O O O ORG-B O O O O O O O
