사진·글=임현동기 .	PER-B O
소추위원단이 “(세월호 참사 당일 시장에서 고영태씨와) 통화 하+ㄴ적이 있다고 하는데 (기억이 나지 않느냐)”라고 재차 묻자 최씨는 “기억이 안나+ㄴ다 .	ORG-B O O O O PER-B O O O O O O O O O PER-B O O O
이에 대하+여 검찰은 “최씨 등 구속되 +ㄴ 3명이 기소되기 전에 대면조사가 반드시 이루어 지+어야 하고, 그 마지막 시점이 내일>(18일)이라는 입장에 변하+ㅁ이 없다”고 밝히었다 .	O O O PER-B O O O O O O O O O O O O O O O O O O O O
이 자리에는 홍 교수의 강연을 듣으려고 페이스북을 통하+여청강을 신청하+ㄴ대학생 13명도 함께하였다 .	O O PER-B O O O O O O O O O
“퀸 엘리자베스 콩쿠르 마지막 무대에서도 전혀 떨리지 않아 걱정+되었을 정도”라고 +였다 .	O O O O O O O O O O O O
난소암 증상으로는 초기에는 증상이 거의 없고, 1기 등 초기에 진단되는 경우는 정기적 이+ㄴ 산부인과 진찰을 받으러 +았다가 내진이나 초음파 검사에서 우연히 발견되는 경우가 대부분이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
재판부는 우선 청와대 측이 압수수색 거부 근거로 들+ㄴ 형사소송법 제110·111조는 집행절차 등 요건을 정하+ㄴ 것이고 행정권한을 준 조항은 아니라고 +았다 .	O O ORG-B O O O O O O O O O O O O O O O O O O
창업(2013년 3월) 하+ㄴ지만 3년여밖에 안 +었지만 첫해부터 흑자를 기록하+ㄴ데 .	O O O O O O O O O O
오전 경기도 파주에 호우주의보가 내리는 등 서울·경기 북부 일부 지역에는 시간당 30mm 이상의 비가 쏟아지었다 .	O LOC-B LOC-B O O O LOC-B O O O O O O O O O
1920년 8월 3일 평안남도 평양. 부슬부슬비가 내리+ㄴ다 .	O O O LOC-B LOC-B O O O
[문화가] 인천-부천문화행 .	O O O
하계·동계올림픽 관련 공동발전 모색 한국, 중국, 일본의 체육장관이 상호 교류 증진과 스포츠 시장 공동발전 방안을 모색하기 위하+여 처음으로 한 자리에 모이+ㄴ다 .	O O O O ORG-B ORG-B ORG-B O O O O O O O O O O O O O O O
신세경악 플러고소, “인신공격적이며 모욕적 이+ㄴ댓글에 분노… 관용없다” 신세경이 악플러를 고소하였다 .	PER-B O O O O O O PER-B O O O
배우 신세경이 명예훼손 및 모욕죄로 악플러들을 고소하+여 관심이 집중되었다 .	O PER-B O O O O O O O O
지나+ㄴ 2일 신세경 소속사 측은 “신세경배우에 대하+ㄴ 허위사실을 유포하고 악의적 이+ㄴ 게시물과 댓글들을 게재하며 비방을 일삼고 있는 악플러들을 지나 +ㄴ 2월 1일 강남경찰서에 명예훼손 및 모욕죄로 고소, 고발 접수하었다”고 밝히었다 .	O O PER-B O O PER-B O O O O O O O O O O O O O O O O ORG-B O O O O O O O O
