당시 일본의 치열 하+ㄴ 입시 경쟁과 집단 따돌림 등으로 도시학교의 삭막하+ㄴ 환경에 지치었던 학생들이 대거 몰려들며 산촌유학이 붐을 이루었다 .	O ORG-B O O O O O O O O O O O O O O O O O O
60일간 총성 없는 전쟁에 나서 +ㄴ 여야 키플레이어 10인의 고민과 향후 전망을 살펴보았다 .	O O O O O O O O O O O O O O
여야는 영남에서 지역구 1석을 더 줄이+ㄹ지를 놓고 수개월간 논쟁을 벌이었다 .	O LOC-B O O O O O O O O O
‘새누리’ 당명 확보 하+ㄴ 박사모, 제2의 친박연대 꿈꾸 .	ORG-B O O O ORG-B O O O O
신시아의 사망 소식이 알려지자 두 번째 부인 오노 요코는 “우리 둘은 비틀스의 가족으로 꿋꿋이 서+어 있었다”며 “그녀는 삶에 대하+ㄴ 열정을 가지고 있었던 훌륭하+ㄴ 엄마”라고 애도를 표하였다 .	PER-B O O O O O O PER-B O O O ORG-B O O O O O O O O O O O O O O O
천주교 수원교구에 속하는 경기 평택시 청북성당 주임신부 이+ㄴ그는 최근 힙합 음반 ‘양탄자’를 내+었다 .	O LOC-B O LOC-B O LOC-B O O O O O O O O
이 회장은 전기설비 분야의 전문 기술인이다 .	PER-B O O O O PER-B O
공동기업체는 시미즈(청수)가 지마(녹도) 등 「제네콘」이라 불리는 전국적 이+ㄴ 대형 건설업체와 중소건설업체가 각기 지분을 갖고 공사를 시행하고, 하청업체도 함께 선정 하+ㄴ다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O O O
황 교수는 “대선 과정에서 박근혜 대통령에 대하+여 발언 하+ㄴ 것을 문제 삼은 것”이라고 주장하였지만 학교 측은 “겸직 정도가 심각하다고 판단하+ㄴ 것이 +ㄹ 뿐 과 거 발언과는 무관하+ㄴ 결정”이라고 밝히었다 .	PER-B O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
차승원은 “나방금 최현석 셰프 같지 않았느냐”며 “소금으로만 하라는 법 있느냐”고 너스레를 떨었다 .	PER-B O PER-B O O O O O O O O O O
런던대회사령탑이었던 홍명보 감독은 2009년 국제축구연맹(FIFA) 20세 이하 청소년 월드컵 8강을 달성하는 등 일찌감치 연령대별 대표팀을 맡아 차근차근 올림픽을 준비 하+여+았다 .	LOC-B PER-B O O ORG-B O O O O O O O O O O O O O O O O
