즉 채무재조정 합의 후 대우조선이 망하더라도 국민연금의 회사채는 갚아달라는 것이다 .	O O O O ORG-B O O O O O O
당시 김상수나 주 경찰서 수사과장(59·현 해남 경찰서 수사과장)은 “박 양이 숨지+ㄹ 당시 생리를 하고 있었다는 것을 밝혀내+어 합의 하에 성관계를 맺었다는 김씨의 주장은 설득력을 잃었다”고 밝히었다 .	O PER-B O O O ORG-B ORG-I O PER-B O O O O O O O O O O O O PER-B O O O O O
투자자들에게는 제주지역 호텔의 2박3일 무료 숙박권을 증정하고, 전화로 예약하+ㄴ 방문객에게는 백화점 상품권을 선물하+ㄹ 예정이다 .	O LOC-B O O O O O O O O O O O O O
미군의 안전을 보장하기 어렵다고 판단되면 미국의 선택은 두 가지 +이다 .	ORG-B O O O O ORG-B O O O O O
누리꾼은 두 사람의 열창에 “‘듀엣가요제’이영현, 역시 전설은 전설이다 .	O O O O PER-B O O O O
특히 과일소주의 당류 함량은 제품당 한국인 총당류 섭취 기준(2000kc al 기준 100g)의 16~32%에 해당하므로 많이 마시+ㄹ 경우 당 과잉 섭취로 이어 지+ㄹ 수 있어 주의 하+여야 하+ㄴ다"고 말하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
한국특산식물이 +ㄴ한라산 구상나무는 제주조릿대 때문에 씨앗이 발아되지 않는다는 의견이 있고 기후변화로 대량 고사하고 있다는 추정도 나오았다 .	ORG-B O O O O O O O O O O O O O O O O
이날 한국팀은 한 점도 내주지 않는 철저하+ㄴ경기를 펼치며 선두 +하였다 .	O ORG-B O O O O O O O O O
1, 2세트에잇어 3세트에서까지 득점을 하지 못하+ㄴ 러시아팀은 잠시 넋이나 가+ㄴ 표정을 짓었다 .	O O O O O O ORG-B O O O O O O
김태흠 자유한국당 의원은 14일 진보진영 유력 대선주자 이+ㄴ문재인 저+ㄴ 더불어민주당 대표와 안희정 충남지사에 대하+여 “노무현 전 대통령이 사망하였을 때 오히려 폐족되어야 하+ㄹ사람들이 대선주자로 나오는 것”이라고 비난하였다 .	PER-B ORG-B O O O O O PER-B O ORG-B O PER-B O O PER-B O O O O O O O O O O O O
김 의원은 이날 국회에서 열리+ㄴ 원내대책회의에서 “지금 민주당을 비롯하+여 일부 언론에서 한국당을 친박 정당이다 .	PER-B O O O O O O ORG-B O O O ORG-B O O O
