40kg 대+이었다 .	O O O
김 교무 부장은 “청소년판 유엔(UN)이라 부르어도 손색이 없을 정도로 토론의 수준이 높다”고 강조하였다 .	PER-B O O O ORG-B O O O O O O O O O
김성태 한국개발연구원(KDI) 거시경제연구부 연구위원은 “기초생활보장제도가 근로유인을 저해하는 원인으로 작용하+ㄴ 측면이 있다”며 기초생활보장제도의 수급기간을 제한하고 근로장려금 지급 대상 및 지급액을 늘리는 식의 제도 개선이 필요하다고 +았다 .	PER-B ORG-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O
지나+ㄴ9월 북한이 5차 핵실험을 강행하자 국제사회에서 석탄 수출을 완전 봉쇄 하+여야 하+ㄴ다는 여론이 일었다 .	O ORG-B O O O O O O O O O O O O O
2010년 17세 이하 월드컵에서 우승을 이끌었던 선수들도 포함되었다 .	O O O O O O O O O
결선투표가 가시화되+ㄹ 경우 경선 내내 2위 다툼도 치열하+여지+ㄹ 것으로 예상되 +ㄴ다 .	O O O O O O O O O O O O
외국 학교와 정규 수업시간에 1대1로 매칭해 진행하는 화상수업시스템은 전국에서 유일하게 대구에 있다 .	O O O O O O O O O O LOC-B O O
대구시 동구율금초, 남구 대구 중 등대구 19개 초·중학교는 이날 학정 초수업을 시작으로 12월까지 호주 빅토리아주에 있는 21개 초·중학교와 각각 4시간 이상 함께 수업 하+ㄴ다 .	LOC-B LOC-B LOC-B LOC-B O LOC-B O O O O O O O LOC-B LOC-B O O O O O O O O O O
더 에이미디어송희원 대표는 “검색광고 수익을 제휴사들과 공유하는 상생 모델이 호응을 얻으면서 제휴의 폭이 넓어지고 있다”며 “텍스트가 존재하는 모든 곳에 톡톡 검색의 터치 검색 기능을 적용하겠다”고 다부지+ㄴ각오를 전하였다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
.두산에 강 하+ㄴ투수를 찾아 4선발로 운용하겠다 .	ORG-B O O O O O O
”◆양상문 LG 감독 “확실히 1·2위팀과 우리 팀은 실력에서 차이가 있다 .	PER-B ORG-B O O O O O O O O O
용역을 수행하+ㄹ 수 있다며 한 번에 7건이나 계약을 맺고 돈을 받고 정작 기한이 다가오자 7건 모두 보고서를 내기 어렵다고 하+ㄴ 것이다 .	O O O O O O O O O O O O O O O O O O O O O O
검찰 측은 “이렇게 미르와 계약을 체결하+ㄴ 것 +ㄹ일방적으로 미루었다는 것+ㄴ 정상적 이+ㄴ 계약이 아니다”라며 “사실상 미르와 플레이그라운드를 최씨가 장악하였기에 가능하+ㄴ 것”이라고 말하였다 .	O O O ORG-B O O O O O O O O O O O ORG-B ORG-B PER-B O O O O O
세계는 9월 유엔을 주축으로 지속가능하+ㄴ 소비와 생산 등 지속가능하+ㄴ 발전을 향하+ㄴ 정책에 매진하고 있다 .	O O ORG-B O O O O O O O O O O O O
13명이 모두 모이자 길+ㄴ테이블에 두르어 앉아 통닭·초밥 등 준비 하+ㄴ 음식과 술을 풀었다 .	O O O O O O O O O O O O O O
