바비킴 속 하+ㄴ그룹 부가 킹즈, 2집 발 .	PER-B O O ORG-B O O O O
바비킴은 "힙합이라는 장르에 음악적으로 한계가 없다는 사실을 알리고 싶었다"며 새 음반에 대하+ㄴ자신감을 보이었다 .	PER-B O O O O O O O O O O O O O
이에 첫 방송에는 보아, 김건모, 임정희 등이 출연하+ㄹ 예정이다.또 박화요비가 리메이크 하+ㄴ '당신과의 키스를 세어보아요'의 원곡을 부르+ㄴ 일본 가수 코야나+하기 유키도 무대에서 +ㄴ다 .	O O O PER-B PER-B PER-B O O O PER-B O O O O PER-B O O LOC-B O PER-B O O O O
'아이+ㄹ 비미싱유(I' llbemissingyou)'를 좋아하+ㄴ다면 '에버원더(EverWonder)'도 끌리는 트랙이다.래퍼 트위스타(Twista)와 함께 부르+ㄴ 가스펠 '호프(Hope)'에서는 품이 넓어 지+ㄴ 페이스에반스를 충분히 느끼+ㄹ 수 있을 것 .	O O O O O O PER-B PER-B O O O O O O O PER-B O O O O O O
13일 한ㆍ일동시 발매 하+ㄴ 두 번째 싱글 'SomebodyToLove'는 발매 당일 일본 오리콘 데일리 싱글차트 7위에 오르았다 .	LOC-B LOC-B O O O O O O O LOC-B LOC-B O LOC-B O O O O
일본서 발표 하+ㄴ 싱글 타이틀곡들이 +ㄴ 'SomebodyToLove'와 'StayWithMeTonight'를 노래 하+ㄴ다 .	LOC-B O O O O O O O O O O
2인조 힙합그룹 엠-플로의 신보는 'LoopI nMyHeart'와 'Hey!' 등 두 곡의 타이틀곡을 넣은 맥시싱글 앨범이다. 'LoopInMyHeart'는 엠-플로와 여러 차례 함께 +였던 에밀리, 요시카와 부르+ㄴ곡으로 랩과 멜로디가 잘 어우러지+ㄴ다 .	O O ORG-B O O O O O O O O O O O O ORG-B O O O O PER-B O O O O O O O
이날 무대에서 마야는 '못다 핀 꽃 한 송이' '뱃노래' 등을, 쥬얼리는 '패션''니가 참 좋아' 등 히트곡을 부르+ㄹ 예정이다 .	O O PER-B O O O O O O O ORG-B O O O O O O O O
실미디어(대표 김주현)는 14일 "플라이 투더스카이, 유진, 전혜빈 등이 소속되+ㄴ 음반 제작사 ㈜피플 크리에이티브의 지분 30%를 인수, 최대주주로 참여하게 +었다"고 밝히었다 .	ORG-B PER-B O ORG-B O PER-B PER-B O O O O ORG-B O O O O O O O O O
'미치+ㄴ 개구리'는 스웨덴의 세일즈맨 다니어 +ㄹ말 메달(DanielMalm edahl)이 친구의 오토바이 시동거는 소리를 컴퓨터로 만들면서 시작되었다.이 소리를 사용하+여리 믹스 한 곡이 인터넷에서 인기를 끌자 다니얼의 친구가 이 소리와 잘 어울리는 개구리를 캐릭터로 만들었다 .	O O LOC-B O PER-B O PER-B O O O O O O O O O O O O O O O O PER-B O O O O O O O O O
싸이가 렉시 1집 타이틀곡 '애송이'와 25일 발표 하+ㄹ 2집 타이틀곡 '눈물 씻고 화장하고'의 작사를 맡았다 .	PER-B PER-B O O O O O O O O O O O O O O
1980년대 말 해체되 +ㄴ스웨덴의 전설적 이+ㄴ그룹 아바.이들에 대하+ㄴ아쉬움을 달래+어주+ㄹ 우리 시대의 아바'비욘어게인(Bj ornAgain)'이 내한공연을 펼치+ㄴ다 .	O O O LOC-B O O ORG-B O O O O ORG-B O O O O
탱고듀오 '오리엔탱고' 콘서 .	O ORG-B O O
2003년 KBSTV '한민족 리포트'를 통하+여이들의 이야기가 소개되면서 국내에도 알려지게 +었다 .	O O O O O O O O O O O
탤런트 박근형의 아들이 가수로 데뷔 하+여 활동 중이다 .	O PER-B O O O O O O O
첫 번째 싱글은 3천장 한정 판매 하+여 공연장 등지에서 매진을 기록하였고, 사이버상에서도 다음 카페 등에서 팬들의 지지도가 상당하+ㄴ 수준이다 .	O O O O O O O O O O O O O O O O O O O O
은색 벤츠를 타고 MBC 라디오 '정선희의 정오의 희망곡' 녹음을 위하+여 MBC 방송사로 향하던 이승철은 뒤에서 오던 SM5가 차량 뒤쪽을 받아 오른쪽 팔에 부상을 입은 것으로 알려지었다 .	O O O LOC-B O O O O O O LOC-B O O PER-B O O O O O O O O O O O O O
이번 타이틀곡 '한 걸음더'도 경쾌하+ㄴ 라틴리듬에 산타나 풍의 기타 연주를 바탕으로 핸드퍼커션, 드럼의 타악기 연주가 풍성하게 들리+ㄴ다. 해변에서 연인들의 설레+ㄴ 감정을 담은 이 곡은 여름에 잘 어울리는 곡.발 라드 곡이 +ㄴ '회상의 언덕'은 세월의 허무하+ㅁ을 느끼는 나이에 예전 어리+ㄴ 시절로 돌아가고 싶다는 순수 하+ㄴ 감정을 담았다.이밖에도 '사랑의 슬픔', '다가기 전에'를 새롭게 편곡하+여수록 하였고, 88년 라이브 콘서트 실황 CD에 는 '또 만나 +았네', '당신만이', '솜사탕' 등 주옥같은 레퍼토리가 담기 +어 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
싸이는 이번 리메이크 음반에 노래를 담은 CD와 콘서트 및 뮤직비디오 등이 수록되+ㄴ DVD를 담았고, 이 DVD 안에 담기 +ㄴ 내용의 일부가 영등위로부터 18세 등급 판정을 받은 것이다 .	PER-B O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O
일본의 팝밴드 '라운드 테이블'이 23일 오후 9시 서울 청담동 하드록 카페에서 공연 '파티빅웨이브'를 갖는다 .	LOC-B O ORG-B O O O O LOC-B LOC-B LOC-B O O O O O
지난해 우크라이나 '오렌지 혁명' 당시 빅토르 유셴코 후보를 지지하였던 그녀는 자신의 인기를 이용하+여단 식농성까지 벌이며 시민들의 시위 동참을 호소하+ㄹ 만큼 우크라이나의 대표적 이+ㄴ 가수+이었다 .	O LOC-B O O O PER-B O O O O O O O O O O O O O O LOC-B O O O O
서태지 ㆍ콘ㆍ드래곤 애쉬 등 영상 콘서 .	PER-B ORG-B O O O ORG-B O
서태지 컴퍼니는 "초대형 스크린과 최고의 사운드 장비 등을 동원하+여이들 뮤지션의 실제 공연을 보는 것 같은 현장감을 전달 하+ㄹ 것"이라고 밝히었다 .	ORG-B O O O O O O O O O O O O O O O O O O O O
또 "서울 공연을 시작으로 8월 25일 부산, 8월 26일 대구에서 콘서트가 이어 지+ㄴ다 .	O LOC-B O O O O LOC-B O O LOC-B O O O O
