이미 LG베테랑타자 박용택이 A형 인플루엔자 판정을 받아 1군 엔트리에서 제외되었다 .	O ORG-B PER-B O O O O ORG-B O O O
이래저래 따지면 정치권에서 한 회장과 안 닿는 의원이 별로 없다는 얘기도 들리+ㄴ다 .	O O O PER-B O O O O O O O O O
올해 가장 작았던 3월의 달보다 지름이 14% 크다 .	O O O O O O O O O
충남, 미세먼지 火電에 ‘火’나 +았 .	ORG-B O O O O O
몸무게의 약 900배에 이르는 압력에서 그들은 완전히 납작하여 +지+었다가 곧바로 원상을 회복하였다 .	O O O O O O O O O O O O O
양국이 1886년 조·불 수호 통상조약 체결 이후 130년 만에 열리는 첫 전략대화+이라는 것 외에도 특별 하+ㄴ점이 있었다 .	O O O O O O O O O O O O O O O O O O
윤병세 외교부 장관과 장 마르크에로 프랑스 외교 국제개발부 장관이 만나 +ㄴ 장소가 관심을 끌었다 .	PER-B ORG-B PER-B PER-B O ORG-B O O PER-B O O PER-B O O O
박 대표는 “당시 경제인이나 전문가들은 정 명예회장이 정식 교육을 못 배우어서 뭣모르고 사업을 밀어붙이 +ㄴ다고 생각하였다”며 “하지만 결국 이런 획기적 이+ㄴ 사업으로 한국 경제가 급속도로 발전하+ㄹ 수 있었다”고 평가하였다 .	PER-B O O O O PER-B O PER-B O O O O O O O O O O O O O O ORG-B O O O O O O O
한편 박보영은 최근 종영하+ㄴ JTBC '힘쎈여자 도봉순‘에서 정의롭 ㄴ 일을 위하+여 힘을 아끼지 않으며 귀엽ㄴ 매력을 선보이+ㄴ '도봉순' 역할을 맡아 시청자들의 크+ㄴ사랑을 받았다 .	O PER-B O O ORG-B O PER-B O O O O O O O O O O PER-B O O O O O O
안 견의 ‘몽유도원도’는 조선 초기 산수화 이+ㅂ니다 .	O O O ORG-B O O O O
‘로드FC’ 최홍만, 징역 1년 집행유예 2년 구형… “특별히 말 하+ㄹ 것+이 없다” 사기 혐의로 기소되+ㄴ 최홍만이 집행유예를 구형받았다 .	O PER-B O O O O O O O O O O O O O PER-B O O O
17일 서울 동부지법 형사9단독 강수정 판사 심리로 열리+ㄴ 최홍만에 대하+ㄴ 결심공판에서 검찰은 최씨에게 사기죄를 적용, 징역 1년에 집행유예 2년을 구형하였다 .	O O O O PER-B O O O PER-B O O O PER-B O O O O O O O O
최홍만의 변호인은 최종 변론에서 “돈을 빌리었을 때 최씨의 경제적 상황이 좋지 않았던 점, 편취하려는 적극적 의사가 있었던 것이 아니라 미필적 고의+이었다는 점을 고려하+여달라”고 말하였다 .	PER-B O PER-B O O O O PER-B O O O O O O O O O O O O O O O O O
