온갖 공장의 폐수가 3년 이상 유수지로 흘러들었다는 의미+이다 .	O O O O O O O O O
자유무역을 반대하고 부유세를 지지하고, 낙태에 대하+ㄴ 태도도 모호하고, 이라크 전쟁에도 반대하는 ‘전혀 공화당과 맞지 않는 인물’이 유권자들의 온갖 불평불만을 대변하면서 후보 자리를 꿰차+았다는 설명이다 .	ORG-B O O O O O O O O O O O ORG-B O O O O O O O O O O O O
푸조 수입원한 불모터스는 푸조의 대표 소형 SUV2008 유로6 모델의 국내 출시를 앞두고 사전 계약을 실시하+ㄴ다고 23일 밝히었다 .	ORG-B O O ORG-B O O O O O O O O O O O O O O
진생베리에는 특정 사포닌이 +ㄴ ‘진세노사이드 Re’ 성분이 뿌리보다 30배 이상 많다 .	O O O O O O O O O O O O
지하철 3호선 정발산역은 일산신도시를 대표하는 역세권으로 롯데백화점, 홈플러스, 일산문화공원, 고양아람누리 등 각종 생활 인프라가 형성되+어 있을 뿐만 아니라 대형 스트리트 상가인 ‘라페스타’가 조성되 +어 현재도크+ㄴ인기를 끌고 있다 .	O LOC-B LOC-B ORG-B O O ORG-B ORG-B ORG-B ORG-B O O O O O O O O O O O ORG-B O O O ORG-B O O
이제 검찰의 롯데 수사는 이인원 정책본부장, 황각규 정책본부 운영실장, 소진세 정책본부 대외협력단장 등 롯데그룹 핵심 가시+ㄴ ‘3인방’의 소환 단계에 이르었다 .	O O ORG-B O PER-B O PER-B O O PER-B O O O ORG-B O O O O O O O
출석 당일 아침부터 서울 삼성동 박 전 대통령 자택 앞은 지지자들과 취재진, 경찰이 뒤엉키+어크+ㄴ 혼잡을 이루었다 .	O O O LOC-B LOC-B PER-B O O O O O O O O O O O
횡단보도와 비하건의 만남으로, 아동을 넘어 애완동물, 자전거, 기타도난 사고까지 모두 추적이 가능하+ㄴ제브라시퀀스 시스템은, 각종 사고 시 사회적 비용 절감과 동시에 경찰력 낭비를 최소화 하+ㄹ 수 있다 .	O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O
▶새누리당 김종태(상주) 의원 =“제가 장관께 올 추석에 유명 하+ㄴ상주 곶감을 하나 보내+었다면, 뇌물이 +ㄴ가?”▶ 이동필 농림축산식품부 장관=“….”▶ 김 의원 = “2009년 공무원 행동강령에 선물한도를 3만원으로 지정 하+여 적용 하+여+오았다 .	ORG-B LOC-B O O O O O O LOC-B O O O O O PER-B ORG-B O PER-B O O O O O O MNY-B O O O O O
우수하+ㄴ 외국인 교수진과 100% 영어강의를 통하+여 언어능력과 전공 실력을 겸비하+ㄴ 전공분야 해외취업이 가능하+ㄴ 글로벌 인재를 육성하고 있다 .	O O O O O O O O O O O O O O O O O O
GS건설은 KTX 역세권 단지+이라는 점을 강조하기 위하+여단지 이름에 ‘익스프레스’ +이라는 표현을 넣었다 .	ORG-B LOC-B O O O O O O O O O O O
친박계는 김 대표가 현역 의원을 대거 당선시키+어 자신의 대선 기반을 만들려 하+ㄴ다고 비판 하+ㄴ다 .	ORG-B PER-B O O O O O O O O O O O O O
또 "정우식에게 특정 배역을 주라고 지시하+여 100명 넘는 연기자들이 응시하+ㄴ 오디션이 쓸모없어 지+ㄴ 적이 있었다는 증언도 나오았다"고 전하였다 .	O PER-B O O O O O O O O O O O O O O O O O
매체는 "정우식이 비중 있는 조연으로 출연하였던 한 드라마의 경우, 제작진이 신인 남성 연기자 100여명을 상대로 오디션을 실시하였지만, 드라마 본부장의 지시로 오디션에 참가하지도 않았던 정우식이 결국 배역을 맡은 것으로 알려지었다"며 "이 정도 배역에 간부가 특정인을 출연시키+어달라고 하는 경우는 매우 드물다"는 것+이 드라마 국중 견급 PD의 설명이라고 전하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O
