스포트라이트팀이 취재 하+ㄴ 결과 2012년부터 서울과 경기도, 경상도에서 집단 감염이 4개 병원에서 발생하+ 여 사망자는 3명, 감염자는 126명에 달하였다 .	O O O O O LOC-B LOC-B LOC-B O O O O O O O O O O O O
일본 언론에서는 수도권의 요양시설 부족으로 서비스의 질을 담보하+ㄹ 수 없게 되+ㄴ 것이 이번 사건의 근본 원인이라고 분석하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O
현재 마이너리그 유망주 중에서도 거포가 없어 장타자가 필요하다 .	O O O O O O O O O
앞서 +어이들은 같은 방식으로 2014년 7월부터 2015년 9월까지 이 화백 서명이 위조되+ㄴ 그림 4점을 판매 하+여 모두 33억원을 받아 챙기+ㄴ 혐의로 구속 기소되+어 재판을 받고 있다 .	O PER-B O O O O O O PER-B O PER-B O O O O O O MNY-B O O O O O O O O O
【서울=뉴시스 .	LOC-B O
‘홍채 인증 ATM’은 고객이 홍채정보를 등록하면 통장이나 카드가 없어도 금융거래를 하+ㄹ 수 있는 방식으로 이날부터 기업은행은 직원을 대상으로 시범운영을 하+ㄴ 뒤 확대 여부를 결정하+ㄹ 계획이다 .	O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O
오종택기 .	PER-B O
한신팬들은 ‘죽음의 방문 경기(死のロ一ド)’ 때문에 한신이 성적을 내기가 어렵다고 항변 하+ㅂ니다 .	ORG-B O O O O ORG-B O O O O O O
설 특집 파일럿 방송을 시작으로 ‘MLT-06’까지 우승을 차지하였고요. 잠정 하차 후 5개월 만에 나서 +ㄴ ‘MLT-17’에서도 변함없는 인기로 1위를 차지하+ㄴ바 있습니다 .	O O O O O O O O O O O O O O O O O O O O O O
14차 전 종료 시점까지 상금 1위 선수는 9월 열리는 미국 여자 프로골프(LPGA) 투어 메이저대회 이+ㄴ에비앙 챔피언십 출전권이 주어 지+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O
그래서 후배가 1등을 +였다”고 그때 상황을 설명하였다 .	O O O O O O O O
안현수는 “선배가 나중에 나오아 후배를 부르었는데 헬맷을 쓰고 오라고 하더라. 헬맷을 쓰고 가+았더니 머리를 때리더라.나보다 나+의 후배가 더 많이 맞았다”고 털어놓았다 .	PER-B O O O O O O O O O O O O O O O O O O O O O
