저녁이 있는 삶.2012년 대선을 앞두고 손학규 당시 민주통합당 상임고문이 내걸 +ㄴ슬로건이다 .	O O O O O PER-B O ORG-B O O O O
안 소령은 이번 대회 상금 130만원을 순직 조종사 자녀를 위하+ㄴ ‘하늘사랑 장학재단’에 기부하기로 +였다 .	PER-B O O O O MNY-B O O O O O O O O O
서울지방경찰청은 14일 오전 9시부터 10시 반까지 ‘투르드코리아 2015’ 대회 코스를 따르 아도로를 순차적으로 통제하+ㄴ다고 13일 밝히었다 .	ORG-B O O O O O O O O O O O O O O O O
오혜리도태권 .	PER-B O
박 교수는 “교사가 되기 위하+ㄴ 첫 관문을 통과하였다는 의미”라고 설명하였다 .	PER-B O O O O O O O O O O
‘냉장고를 부탁하+여’ 오세득 등장에 최현석 “밟아주겠다” .	O O PER-B O PER-B O O
전 세계 440개 이상 주요 은행 외에도 아메리칸 익스프레스, 유니온페이, 마스터카드, 비자 등 주요 카드사 및 알리페이 등과도 제휴하고 있다 .	O O O O O O O ORG-B ORG-I ORG-B ORG-B ORG-B O O O O ORG-B O O O O
파리대교구장이+ㄴ앙드레뱅트루아추기경은 미사 강론에서 “신(神)의 위대하+ㅁ을 보이어주는 것은 참수(斬首)가 아니다”라며 “한없이 약 하+ㄴ 인간에 대하+ㄴ 연민과 사랑”이라고 말하였다 .	LOC-B O O O O O O O O O O O O O O O O O
롯데마트 관계자는 “아직 2차 영업정지 기간이 도래하지 않았거나 현장점검이 이루어지지 않은 점포들에 대하+여서는 지속적 이+ㄴ 현장 개선 노력과 중국 소방당국에 대하+ㄴ 진정성 있는 소통을 통하+여 하루빨리 사태가 정상화되+ㄹ 수 있도록 많은 노력을 기울이+ㄹ 것”이라고 밝히었다 .	ORG-B O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
(서울=뉴스1 .	LOC-B O
JP는 “유럽에서 영웅과 위인들의 동상, 민족기록화(畵)를 보+ㄹ 때마다 부럽었다”고 하+ㄴ다 .	PER-B LOC-B O O O O O O O O O
행쇄위는 이와 함께 운전면허증 갱신에 따르+ㄴ 불편을 개선, 적성검사 대상이 아니+ㄴ운전자에게는 우편을 통하+여면허증을 재발급 하+여면허시험장이나 경찰서를 방문하는 번거롭 +ㅁ을 덜어주기로 +였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O
문체부는 대회 준비 상황을 점검하고 정부 지원 대책을 논의하는 ‘2015 광주 유니버시아드 대회 지원 특별전담팀(TF)’을 구성하+여지나 +ㄴ 3월 5일 광주시 현지에서 제1차 회의를 개최 하+ㄴ바 있다 .	ORG-B O O O O O O O O O O O O O O O O O O LOC-B O O O O O O O
강인의 소속 사이+ㄴ SM엔터테인먼트 관계자는 “개인 사정으로 예비군 훈련에 불참하게 +었다”며 “앞으로 절대 이런 일이 없도록 하겠다”고 말하였다 .	O O O ORG-B O O O O O O O O O O O O O O O
