두 사람의 결혼에 대하+여전 하+여 듣은 바 없다”며 “잘 만나고 있다는 이야기만 본인에게 듣었을 뿐이다 .	O O O O O O O O O O O O O O O O
더불어민주당 안민석 의원은 14일 이른바 ‘최순실 특혜 연예인’ 의혹과 관련, 자신이 검찰에 특정 연예인들에 대하+ㄴ 수사를 의뢰하였다는 내용의 루머를 부인하였다 .	ORG-B PER-B O O O PER-B O O O O O O O O O O O O O O O
‘야채가 신선하+ㄴ집’ 채선당(대표 김익수)은 이러하+ㄴ 수요를 반영하 +ㄴ 여름 신메뉴 ‘냉메밀 샤부샤부’를 선보이며 소비자들의 입맛을 사로잡고 있다 .	O O ORG-B PER-B O O O O O O O O O O O O O O
〈안희창 ­ 구성재기자 .	PER-B O PER-B O
그러나 영주산은 오르아야 하는 오름이다 .	O LOC-B O O O O
보사부가 26일 의료보장 개혁위가 건의하+ㄴ「포괄수가제」의 실시를 적극 검토 하+ㅁ에 따르 아 앞으로 이의 실시를 둘러싸고 의료계에서 상당하+ㄴ 논란이 일어나 +ㄹ 전망이다 .	ORG-B O ORG-B O O O O O O O O O O O O ORG-B O O O O O O
서+ㄴ 박사는 “미국이 세계 인공관절 시장의 52%를 차지하는 만큼 미국에서 살아남지 못하면 의미가 없다”며 “올해와 내년에 미국에서 가시적 이+ㄴ 성과를 내기 위하+여바이어들을 만나고 있다”고 강조하였다 .	PER-B O ORG-B O O O O O O ORG-B O O O O O O ORG-B O O O O O O O O O
홍 후보는 이날 대구 엑스코에서 열리+ㄴ대구·경북선대위 발대식 겸 필승대회에서 “어떤 분이 TK 적자는 바른정당 유승민 후보+이라고 하길래 제가 TK 적자 +이라고 +였다”며 “TK가 다시 한 번 가슴에 불을 지르고 뭉치고 새롭게 일어나 +아야 하+ㄴ다 .	PER-B O O LOC-B O LOC-B O O O O O LOC-B O ORG-B PER-B O O O LOC-B O O O LOC-B O O O O O O O O O O O O
이와 더불어 쉐보레 차량 재구매로 스파크를 구매 하+ㄹ 경우 40만원, 마티즈, 라노스, 누비라, 레간자, 레조, 매그너스 등의 구형차량을 반납하고 스파크를 구매하는 경우에는 30만원을 추가로 지원받을 수 있다 .	O O O O O O O O O MNY-B O O O O O O O O O O O O MNY-B O O O O O
규모 4.0~5.0는 1회+이었으나 19일 규모 4.5의 여진이 발생하+ㅁ에 따르 아2회로 늘었다 .	O O O O O O O O O O O O
컴백스텔라, 끈 팬티노출 ?…과 거 ‘U.F.O’ 티저서 ‘속옷 노출’ 논 .	ORG-B O O O O O O O O O O
이영돈 PD가 가+ㄴ 다… '크림빵, 고라니 뺑소니' 집중 조 .	O O O O O O O O O O
브리핑장에서 세상에 만연하+ㄴ한 탕주의에 경종을 울리고, 사회를 좀먹는 불법 온라인 도박사이트의 어둡ㄴ 현실을 알리+ㄴ 사람은 서울지방경찰청 사이버안전과 사이버수사대 수사 1팀의 김대환(53) 팀장이었다 .	O O O O O O O O O O O O O O O ORG-B O O O O PER-B O O
그 다음은 이탈리아(1.2%) ㆍ포르투갈(1.19%) ㆍ 스페인(0.96%)이었다 .	O O ORG-B ORG-B O ORG-B O
