“그 거짓말.. 누구가 시키+ㄴ 것+이지만 말 하+여요.”“.....” 희정은 나+에게 팔이 잡히+ㄴ 채울는 지 웃는지 알+ㄹ 수 없는 이상 하+ㄴ 표정으로 시선을 아래로 떨구었다 .	O O O O O O O PER-B O O O O O O O O O O O O O O O O
이 비정하 +ㄴ어머니는 아이에게 햄버거를 주기 전 28시간 동안이나 딸을 굶기었다 .	O O O O O O O O O O O O
현장과 데스크를 연결하+여중국전을 복기하였다. Q=해외파의 역할은 어떻었나?A = 전체적으로 나쁘지 않았다 .	O O O O O O O O O O O O
안재현은 잇어"'차라리욕을 하+여+ 주었으면 좋겠다'고 말하더라"며 "어리+ㄹ 때이 기+ㄴ하지만 그 말이 너무 상처가 +었다"고 말하였다. 한편, 안재현과 구혜선은 8일 결혼 소식을 전하였다 .	PER-B O O O O O O O O O O O O O O O PER-B PER-B O O O O O
원래 이 일은 야구장의 주인이 +ㄴ 부산시가 하+여야 하+ㄹ의 무이+ㄴ데, 차일피일 미루는 사이에 롯데가 쾌적하+ㄴ 관람과 최적의 경기력을 위하+여지출을 감행하기로 결단하였다 .	O O O O O O ORG-B O O O O O O ORG-B O O O O O O O O
관련 기사 “김태일 중재안이 마지노선 야당, 정확하+ㄴ수치제시 하+여야” 새정치민주연합 김성주 의원은 “정부가 몇 년에 걸치+어 합의를 이끌어내+어야 하+ㄹ 사안을 군사작전하듯 밀어붙이+ㄴ 것이 대타협 실패의 가장 크+ㄴ 원인”이라고 지적하였다 .	O O PER-B O O O O O ORG-B PER-B O ORG-B O O O O O O O O O O O O O O O O O
이 영상은 인터넷상에서 확산되+어크+ㄴ 관심을 집중시키었다. 성시경은 “콘서트 중 마지막 곡을 부르며 관객석으로 향하였는데 두껍고 크+ㄴ손을 가지+ㄴ 남자가 갑자기나 +의 가슴을 확움켜 쥐더라. 깜짝 놀라 +아쳐다보았는데 순간 신동엽이 경호원에게 끌리+어나가고 있더라”고 말 하+ 여웃음을 자아내 +었다. 신동엽은 “성시경을 놀라게 하+여주고 싶어 공연 중간에 통로에 숨어들어가 +았다”며 당시의 상황을 설명하였다 .	O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O PER-B PER-B O LOC-B O O O O O O O O O O
또한 시럽 월렛(Sy rupWallet) 애플리케이션에서 ‘맥아더 글렌’을 검색하고 브랜드 카드를 발급받으면 맥아더 글렌 22개 전체 센터에서 사용 가능 하+ㄴ 10% 추가 할인 쿠폰 교환권을 다운로드 하+ㄹ 수 있다 .	O O O O O ORG-B ORG-I O O O O ORG-B ORG-I O O O O O O O O O O O O O O O O
기태영, 아내 유진꽃 바지에 애착?… “내가 제일 좋아하는 바지다” 기태영이 아내 유진을 위하 +ㄴ 세레나데를 부르었다. 유진은 지나 +ㄴ 22일 방송되+ㄴ KBS2 ‘해피투게더 시즌3’에 출연하+ 여꽃무늬 바지를 공개하며 “남편은 갖고 있으라고 하지만 엄마는 버리라고 하는 물건”이라고 소개하였다. 유진은 “‘진짜 진짜 좋아하+여’ +이라는 드라마에서 입었던 옷이 +ㄴ데 집에서 잠옷으로 입었다 .	PER-B O PER-B O O O ORG-B O O PER-B O PER-B O O O O PER-B O O O O ORG-B O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O
또 다른 외교 소식통은 “지금은 크+ㄴ그림을 보+아야 하+ㄹ 때” +이라며 “미·중이 대북 제재 안 담판을 앞두고 있는 상황에서 장애가 되+ㄹ 요소를 하나라도 접어놓는 것+이 협상의 기본 아니겠느냐”고 말하였다. ‘크+ㄴ 그림’은 유엔 안보리 대북제재 결의안의 강도를 좌우 하+ㄹ 미·중 회담을 의미하+ㄴ다 .	O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O ORG-B O ORG-B O
북한도 창지투와 연계 하+여 2010년부터 나선특구 개발을 적극 추진하였다 .	ORG-B O O O O O O O O O
전북은 4-4-2의 좀 더 공격적 이+ㄴ 형태로 이날 경기에 임하였다 .	ORG-B O O O O O O O O O O
