SK신인노관현의 패 .	ORG-B O O
골프채를 먼저 잡은 것+ㄴ 동생 윤정호다 .	O O O O O PER-B O
국내 최대 규모, 대한민국을 대표하는 환경 그림 공모전으로 홈플러스 e파란재단과 유엔 환경계획(UNEP) 한국위원회가 주최하고 환경부, 교육부, 기상청, 산림청, 글로벌녹색성장기구, 중앙일보, 중앙SUNDAY, 서울대학교 등 총 73개 기관 이 후원하+ㄴ다 .	O O O ORG-B O O O O ORG-B ORG-I ORG-B ORG-I ORG-I O ORG-B ORG-B ORG-B ORG-B ORG-B ORG-B ORG-B ORG-B O O O O O O O
마타, 리그컵 4강 1차 전결승골 포함 … 최근 15경기 무패기간 4골 맹활 .	PER-B O O O O O O O O O O O O
아베 총리가 집권 하+ㄴ이후에는 과거 행동에 대하+ㄴ 구실 찾기에 그치지 않고 아예 과거를 덮으려는 시도로까지 나아가고 있다 .	PER-B O O O O O O O O O O O O O O O O O
김 교수와 주 회장의 집안은 서로 잘 알고 지내던 사이이었다 .	PER-B O PER-B O O O O O O O O
“30개월 안 되+ㄴ아이가 스마트폰 쓰면 수학·과학지능 손상은 물론 … .	O O O O O O O O O O
유 후보가 “캠프의 정책본부장하고 이야기하라는 오만하+ㄴ토론 태도가 어디 있느냐”고 지적하자, 곧바로 문 후보는 “제 발언 시간을 다 뺏어 +가았다”며 불만을 감추지 않았다 .	PER-B O O O O O O O O O O PER-B O O O O O O O O O O O
송군은 “나를 믿고 아들처럼 대하+여주+어서 너무 고맙었다”며 “그 덕에 남들과는 조금 다르+ㄴ길을 가+아도 괜찮겠다는, 하+여보+ㄹ 수 있겠다는 자신감을 가지+ㄹ 수 있었다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O
지난해 1년 동안 201명이 이수하였고 올 1학기에 +ㄴ 145명이 뛰어들었다 .	O O O O O O O O O O O
지나 +아해운대로 돌아오는 어선들의 풍경을 이르는 말이다 .	O LOC-B O O O O O O
19∼35세+이면 누구나 지원 하+ㄹ 수 있지만 1, 2기생들은 주로 대학생과 직장인이었다 .	O O O O O O O O O O O O
