보스턴 1루수빌 버크너가 평범 하+ㄴ 땅볼을 잡지 못하고 알을 깔+ㄴ 덕분에 결승점을 뽑아내 +ㄴ 메츠는 여세를 몰아 7차전까지 8-5로 잡았다 .	ORG-B PER-B O O O O O O O O O O O O ORG-B O O O O O O
올 시즌 메츠는 3번째의 ‘미러클’에 도전하+ㄴ다 .	O O ORG-B O O O O
정부는 농협 전산마비는 북한의 해킹 전문집단에 의하+ㄴ 공격으로 잠정적 이+ㄴ 결론을 내리었다 .	O ORG-B O ORG-B O O O O O O O O O
대성 로드컴(대표 정해웅)이 발간하는 「컴돌이 」는 컴퓨터 일반 상식 ­도스 입문 ­아래아한글 ­베이직 등 초급과정 24단계와 로터스1, 2, 3­dBASEⅢ 등 중급 과정이 24단계로 구성되어 있다 .	ORG-B O PER-B O O O O O O O O O O O O O O O O O O O O O O O
이쯤 되면 21기는 상·하위가 고르+ㄴ 전력을 보이며 좀처럼 버리+ㄹ 선수가 없다는 결론이다 .	O O ORG-B O O O O O O O O O O
TV나 모바일 기기를 구매하면 2년 동안 콘텐츠를 무료로 즐기+ㄹ 수 있고, 콘텐츠에 익숙하+ 여지+ㄴ 사용자들은 2년 후 자연스럽게 유료 사용자로 전환하+ㅂ니다 .	O O O O O O O O O O O O O O O O O O O O O O
[북 김정남 피살] 김정남 자주 만나 +ㄴ한인…"남한으로 가라고 +였더니 씨익 웃더라 .	ORG-B PER-B O PER-B O O ORG-B O O O O O
3일(현지시간) 독일 프랑크푸르트 본부에서 드라기 총재는 통화정책회의를 하고 나+아서 개최 하+ㄴ기자회견에서 “ECB의 자산매입 계획은 유연하다 .	O LOC-B LOC-B O PER-B O O O O O O ORG-B O O O O
경북 칠곡군의 한 골프장은 2012년부터 지방세가 밀리+어가산금까지 47억원을 체납하였다 .	LOC-B LOC-B O O O O O MNY-B O O
여당 의원 아들은 담뱃값 인상 직전 이+ㄴ 지난해 12월 모 편의점에서 근무하였다 .	O O O O O O O O O O O O O
서울 마포구 홍대입구 인근에 위치하+ㄴ A편의점은 지나 +ㄴ 1일 “여당(새누리당) B의원의 아들 C씨가 2014년 11월 22일부터 12월 21일까지 한 달간 아르바이트를 하면서 214갑의 담배를 빼돌리+ㄴ 의혹이 있다”고 말하였다 .	LOC-B LOC-B LOC-B O O LOC-B O O O ORG-B PER-B O PER-B O O O O O O O O O O O O O O O O
한편, ‘5일간의 썸머’는 가상으로 진행되던 기존의 연애 프로그램과 달리 연인 사이로 의심받거나 화제가 되+ㄴ 경험이 있는 연예계 커플이 5일간의 여행을 통하+여서로의 마음을 확인하는 프로그램으로 매주 목요일 밤 12시20분 방송되+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
볼트는 2007년 세계선수권대회 200m에서 은메달을 따+아내며 세계적 이+ㄴ 선수로 도약하었다 .	PER-B O O O O O O O O O O
