정 원내대표는 “우 수석이 기관증인으로 채택되었으니 나오는 것+이 원칙이고 증언을 하+여주는 것이 지금으로서 +ㄴ 맞다고 생각하+ㄴ다”고 말하였다 .	PER-B O PER-B O O O O O O O O O O O O O O O
내부 심사를 통하+여 후보 10명을 선발하며 이들 10명을 대상으로 카메라 테스트와 SNS 소셜 투표를 진행하+여 최종 3명의 모델을 선정하+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O
최종 선정되+ㄴ 3명에게는 2016년 한 해 동안 ‘훼라민Q’를 대표하는 소비자 모델로 활동하+ㄹ 수 있는 자격을 주+ㄴ다 .	O O O O O O O O O O O O O O O O O
[스포츠동아 .	ORG-B O
더욱이 대통령은 지나 +ㄴ 20일 수석비서관회의와 어제 시정연설에서 최씨 의혹에 관하+여 “사과”+이라는 말도, “오해”+이라는 말도, “속았다”는 말도 하지 않았다 .	O O O O O O O O PER-B O O O O O O O O O O O
박 대통령의 개헌 주장이 설득력을 얻기 위하+여서 +ㄴ 최소한의 전제조건들이 있다 .	PER-B O O O O O O O O O O O
관련 연구는 세계적 이+ㄴ 학술지 ‘PAIN’에 거재되었다 .	O O O O O O O O
▽매입임대 〓 가구당 3000만원씩 지원되며 대출한도는 주택신용보증기금의 보증서 범위에서 설정되+ㄴ다 .	O O O MNY-B MNY-I O O O O O O
한국과 마찬가지로 고위직 공무원이 +ㄹ수록 일이 주는 책임과 스트레스는 많지만 이에 따르+ㄴ보상이 제대로 이루어지지 않아 우수 인력이 들어오지 않거나 일찍 빠져나가 +ㄴ다는 지적이 있었다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O
온라인 중앙일보 ‘마이리틀 텔레비전 김구라’ [사진 ‘마이리틀 텔레비전’ 캡처 .	O ORG-B O O PER-B O O O O O
고시원주인은 “40대 남자가 도통 방안에서 나오지 않고 어쩌다 외출하면 며칠씩 돌아오지 않는다”고 전하였다 .	O O O O O O O O O O O O O O
PK가 전통적으로 야도+이었다는 점과 호남 출신이 많은 인구구조, 여기에 새누리당 분당으로 보수 양당 체제가 구축되면서 PK의 보수응집력이 약화되+ㄴ점 등이 야풍이 거세게 불고 있는 요인이라는 지적이다 .	LOC-B O O O LOC-B O O O O ORG-B O O O O O LOC-B O O O O O O O O O O
사이버대 최대 규모의 캠퍼스와 교육 설비는 재학생 만족도가 높다 .	ORG-B ORG-I O O O O O O O O
익명을 요구하+ㄴ 홍콩 정청 보안기구의 한 고위 관리는 지나 +ㄴ 92년 9월부터 최근까지 홍콩 주변 해역에서 발생하+ㄴ 공격과 해적행위 98건에 대하+여홍콩 정청이 비밀보고서들을 작성하+여 이날 유엔에 넘기었으며 이 중에는 한국과 북한 선박이 중국 해군에 의하+여 공격받고 강제로 나포당 하+ㄴ 사례가 두 건이나 포함되+어 있다고 이날 밝히었다 .	O O ORG-B ORG-I ORG-I O O O O O O O O ORG-B O O O O O O ORG-B ORG-I O O O ORG-B O O O ORG-B ORG-B O ORG-B ORG-I O O O O O O O O O O O O O
울산은 2경기에서 단 한 골도 넣지 못하+여골에 대하+ㄴ 갈증이 남다르다 .	ORG-B O O O O O O O O O O
‘dhks****’는 “태극기 이미지 다 훼손하네.삼일절에 태극기 게양하면 극우 친박 응원하는 것 같아 꺼리+어지+ㄹ 지경이다”라고 +였으며, ‘hd 79****’도 “태극기가 극우의 상징이 되+ㄹ까보+아두렵다 .	O O O O O O O O O O O O O O O O O O O O O O
