한편 송중기는 KBS2 드라마 '태양의 후예'에 유시진 대위로 출연하고 있다 .	O PER-B ORG-B O O O PER-B O O O O
온라인 중앙일보 [사진 KBS '9시 뉴스' 캡처 .	O ORG-B O ORG-B O O O O
그러나 고객들의 나쁘+ㄴ 평판이 누적되면 카카오택시에서 축출되+ㄹ 수도 있다 .	O O O O O ORG-B O O O O
하지만 주총에서 합병이 성사되+어도 삼성 입장에서 +ㄴ그 후 가 문제+이라는 전망이 나 오+ㄴ다 .	O O O O ORG-B O O O O O O O O O
RookieStakes는 조기에 승급 하+ㄴ 2세마(5등급 이상)를 대상으로 하+ㄴ경주+이다 .	O O O O O O O O O
황씨는 현정은 현대그룹 회장과의 친분을 바탕으로 그룹 경영에 개입하+ㄴ 의혹을 받았지만 수사기간이 늘어지고 핵심 참고인이 도주하면서 이듬해 1월 개인비리 이+ㄴ 횡령 혐의로 불구속 기소되었다 .	PER-B PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O
자세 하+ㄴ 공연 내용은 남산골 한옥마을 홈페이지(hanokmaeul.or.kr)에서 확인 하+ㄹ 수 있다 .	O O O O LOC-B O O O O O O O
매일 초등학생 39명이 찾아오는 아동센터에 공부를 보+아주는 교사가 단 한 명뿐이어서 +이다 .	O O O O O O O O O O O O O
한편, 한국항공대 중장년 아카데미는 이번 '항공드론 활용 전문가 양성과정'과 관련 하+여, 오는 24일 국내 최초 항공드론 활용 세미나도 개최 하+ㄴ다 .	O ORG-B O O O O O O O O O O O O O O O O O O O
강 관장은 “판결문 작성을 컴퓨터나 필기구 대신에 노력과 시간이 덜 들는 구술로 하+ㄹ 수 있는 프로그램을 구상 중”이라며 “그렇게 되면 법관들이 판결문 작성에 쏟는 시간과 노력을 줄이어, 이를 정확하+ㄴ 판단을 하는데 쓰+ㄹ 수 있지 않겠느냐”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
소식통들은 미야자와 전 총리의 야스쿠니 신사 참배는 91년 자민당 총리 후보 선거에서 일본 전사자 유족회가 지원 조건으로 참배를 요구, 총리가 되+ㄴ 뒤 미야자와는 지나 +ㄴ 92년 10월 극비리에 참배하였다는 것 .	O PER-B O O O O O O ORG-B O O O O O O O O O O O O O PER-B O O O O O O O O
[헬스동아] “건강관리 비 결요? 하루에 한번 몸과 대화하세요 .	ORG-B O O O O O O O O
온라인에서 우스갯소리로 '가장 좋은 윈도우머신이 맥 제품'이라는 이야기가 떠돌+ㄹ 정도 이+ㅂ니다 .	O O O O O ORG-B O O O O O O
방 차관은 “종일반 보육료 지원금이 6% 증가하고 맞춤반은 3%만 감액되+어 보육료 수입이 늘어나 +ㄴ다”며 “맞춤반 아이 비율이 50%만 되+어도 보육료 수입은 줄지 않는다”고 설명하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O
