시즌 타율은 0.269에서 0.259(27타수 7안타)로 약간 떨어지었다 .	O O O O O O O O
그간 박 전 대통령은 자신이 직접 돈을 수수하+ㄴ적이 없다고 주장 하+여+오았다 .	O PER-B O O O O O O O O O O
그러나 체력 테스트를 부각하고 싶지 않은 데에는 김 감독 특유의 ‘배려’가 담기 +어지+어 있다 .	O O O O O O O PER-B O O O O O O O
이에 "과연 김기춘"이라는 반응이 쏟아지었다 .	O O PER-B O O O
다만, 협회는 "한국에서도 다른 선진국처럼 제대로 되+ㄴ타투문화가 정착되려면 문신 시술자들에 대하+ㄴ보건당국의 위생교육의무화와 정기적 이+ㄴ 관리감독이 필요하다"는 점을 강조하였다 .	O O ORG-B O O O O O O O O O O O O O O O O
김 대표 측은 우선 추천지역에 대구·경북이 나 서울 강남지역은 배제하+여야 하+ㄴ다는 입장이지만 친박계는 두 지역도 가능하다고 주장 하+ㄴ다 .	PER-B O O O O LOC-B O LOC-B LOC-I O O O O O O O O O O
서승욱 기자sswook@j oongang. co.kr◆관련 기사[정치Who&Why] 상향식 공천 집착 김무성 사심?진 심?친박두둔 원유철 ‘무대’와 멀어 지 .	PER-B O O O O O O O PER-B O O PER-B O O O O
경추(목)에는 다양하+ㄴ 부위에 통증이 유발되는데 4~5번 디스크에 문제가 생기면 어깨와 삼각근 부위에, 경추 5~6번 디스크는 팔에 바깥쪽과 엄지와 검지에, 6~7번 디스크가 돌출하+ㄴ 경우에 +ㄴ팔 뒤쪽과 가운데 세 개 손가락에 통증이 나타나게 되+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
새나래병원에 따르면 경추질환은 다양하+ㄴ 치료방법이 있는데 초기의 가볍은 통증에는 주사요법이나 물리치료를 시행하+ㄹ 수 있다 .	ORG-B O O O O O O O O O O O O O O
설 연휴 야간 임시전동열차 운행…"귀경 고객의 편안하+ㄴ 귀가위 하+여"새벽 2시까 .	O O O O O O O O O O O
통계청에 따르면 지난해 평균 소비성향(한 가구가 벌어들이 +ㄴ 소득 중에서 얼마만큼을 소비지출하는가를 나타내는 지표)은 역대 최저치를 기록하였지만 오락·문화(5.6%), 가정용품·가사서비스(5.5%), 음식·숙박(4.7%) 등의 가치소비와 같은 효율을 따지는 소비가 증가세에 있는 것이 이를 뒷받침하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1994년을 시작으로 올해 23년째를 맞이하는 ‘북미 올해의 차’는 북미에서 활동 중 이+ㄴ 자동차 전문기자 60여명으로 구성되 +ㄴ 심사위원들이 제품의 혁신성, 디자인, 안전성, 성능, 기술 등 다양하+ㄴ 평가항목에 대하+ㄴ엄격 하+ㄴ 심사를 통하+여 올해의 차를 선정하+ㄴ다 .	O O O O O LOC-B O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O
