하지만 트럼프는 나흘 뒤 이+ㄴ 21일 영상 메시지를 통하+여＂ 취임 후 TPP에서 탈퇴하겠다＂고 선언하였다 .	O PER-B O O O O O O O O O ORG-B O O O
한 ㆍ미 합동군사훈련이 +ㄴ ‘2016UFG(을지프리덤가디언·Ulchi-F reedomGuardian) 훈련’이 22일 시작되었다 .	ORG-B O O O O O O O O O
6·25전쟁에서 대한민국을 지키+어내+ㄴ 참전용사 송용호씨(81)는 29일 충남 논산 육군훈련소 연무관에서 열리+ㄴ 신병수료식에서 자신의 손자 송봉근 이병(21)의 전투복 오른쪽 어깨에 태극기를 붙이어주며 감동의 눈물을 흘리었다 .	O ORG-B O O PER-B O LOC-B LOC-B LOC-B O O O O O PER-B O O O O O O O O O O
‘이민호 열애 언급’ 수지, 최근 SNS 글보니 의미심장 ?“고 맙어요. 믿어 주+어서”수지 이민호 열애언급그룹 미쓰에이수지가 ‘해피투게더’에서 이민호와의 열애 사실에 대하+여 언급하+ㄴ 가운데, 수지의 최근 SNS 글이 눈길을 모으았다 .	PER-B O O PER-B O O O O O O O PER-B PER-B O ORG-B O PER-B O O O O O PER-B O O O O O O
수지는 2일 자신의 인스타그램에 “꺼 억~잘 먹었습니다 .	PER-B O O O O O O O
오드리 헵번 아들 션, 세월호 추모 숲 조 .	PER-B O O PER-B O O O O O
장상돈 사장은 『그동안 철근, 소형형 강, 후판 부문에 치중 하+여+오았으나 이번에 중형형강공장과 핫코일 공장 후판 공장 등을 신설하고 기존 철근 생산공장도 완전히 첨단설비로 바꾸+ㄴ다는 데 의미가 있다』며 『이번 신규 투자사업은 올해 40주년을 맞은 회사의 제2도약을 위하+ㄴ 것』이라고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3년차 당청관계 새 국면?여권에서는 박 대통령이 위기 상황에서 김 대표와 긴급 단독 회동을 가지었다는 것 자체가 집권 3년차 당청관계의 변화를 단적으로 보이어주는 것으로 보고 있다 .	O O O O PER-B O O O PER-B O O O O O O O O O O O O O O O O O
전압은 전원이 차단되+ㄴ 후 1초 뒤에 남은 전압이 34V 이하 +이어야 하+ㄴ다 .	O O O O O O O O O O O O O
마침 짙은 미세먼지가 상하이의 화려 하+ㄴ야경을 가리고 있었다 .	O O O LOC-B O O O O O
경찰이 18일 한상균(53) 민주노총 위원장에 대하+여소요 혐의를 추가로 적용하+여 검찰에 송치하였다 .	O O PER-B ORG-B O O O O O O O O
▶키위=잘 알려지+어 있듯이 매일 3개의 키위를 먹으면 혈압을 낮추는 것에 도움이 되+ㄴ다 .	O O O O O O O O O O O O O
만약 대한체육회가 이를 따르지 않을 경우 각종 국제대회에서 불이익을 당하는 등 파급효과가 크+ㄹ 것”이라고 반박하였다 .	O ORG-B O O O O O O O O O O O O O O
