올해 주요 관리대상 사업 281조7천억원 가운데 5월 누계 집행액은 135조3천억원으로 연간 계획 대비 48%가 집행되+ㄴ 것으로 파악되었다 .	O O O O MNY-B O O O O MNY-B O O O O O O O O
하지만 제작사 측은 강동원과 유아인의 출연 확정은 사실이 아니라고 밝히었다 .	O O O PER-B PER-B O O O O O O
클라우드 스토리지 서비스를 제공하는 메이크 스페이스㈜(대표 정유진)의 ‘오호(Oho)’가 최근 ‘와이크라우드펀딩’을 통하+여 총 4억5000만원의 투자를 유치하였다고 15일 밝히었다 .	O O O O ORG-B O PER-B O O O O O MNY-B O O O O O
이어 열리+ㄴ 경기에서는 경기고가장충고를 5-4로 꺾고 성남고와 결승 진출을 다투게 +었다 .	O O O ORG-B O O ORG-B O O O O O
둘을 잘 알는 관계자는 "김우빈이 포르쉐를 이용하+여신 민아의 집을 찾아가 +았고 차는 집에 두고 몸만 빠지+어나 오았다"며 "이후 스케줄은 세컨드카인 벤츠를 이용하+여 움직이었다 .	O O O O PER-B O O O O O O O O O O O O O O O O O O O
여기서 분속 수분이 90%까지 제거되며 비료가 완성되 +ㄴ다 .	O O O O O O O O O
11월 23일 열리+ㄴ기자 간담회에서 P9 시리즈를 만지+어보다 .	O O O O O O O O
김무열과 윤승아의 결혼 소식이 화제가 되고 있는 가운데 과거 한 매체와의 인터뷰에서 영화 '은교'에 출연하+여정사신을 찍은 것에 대하+여 언급하+ㄴ 사실이 화제가 되고 있다 .	PER-B PER-B O O O O O O O O O O O O O O O O O O O O O O
아버지는 이탈리아 남부 지역의 전형적 이+ㄴ 남성처럼 키가 작고 땅땅 하+ㄴ 몸매+이었다 .	O LOC-B O O O O O O O O O O O
A씨는 광안대교 출입구를 진입구로 착각 하+여하이패스 구간을 통과하+여1㎞ 이상을 달리었다 .	O LOC-B O O O O O O O O O
시진핑은 올해 당 대회를 앞두고 자신의 권력을 과시하는 차원에서 이번 열병식을 최대한 이용하+ㄹ 전망이다. 개혁 개방의 총설계사 덩샤오핑 도 자신의 권력을 확고히 하+ㄴ 뒤 1981년 인민군사열을 받았었다 .	PER-B O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O
화려하고 세련되 +ㄴ무대, 이탈리아에서 직접 공수하+여오+ㄴ의상과 소품, 대편성 오케스트라 등이 기대감을 더욱 높이+ㄴ다.수지오페라단이 4월 15일부터 17일까지 3일간 서울예술의전당 오페라극장에서 베르디베르디(1813~1901)의 오페라〈 가면 무도회〉를 무대에 올리+ㄴ다 .	O O O LOC-B O O O O O O O O O O O O O LOC-B O PER-B O O O O O O
