3D 프린터부터 드론까지 전자상가 14동은 ‘3D 프린팅의 중심지’로 진화 중이다 .	O O O O O O O O O O O
이 실장 등은 취임 인사차 여야 지도부도 예방하기로 +였다고 박지원 국민의당 원내대표가 전하였다 .	PER-B O O O O O O O O PER-B ORG-B O O O
지난해 1월 고용노동부·보건복지부·행정자치부 등과 협력 하+여행 정기관과 민간 전문가가 참여하+ㄴ 고용복지플러스센터를 전국 처음으로 설치하였다 .	O O ORG-B O O O O O O O ORG-B O O O O
미국의 여성운동가 글로리아 스타이넘과가수 마돈나를 비롯하+ 여배우 스칼릿조 핸슨, 애슐리저드 등 유명인들도 다수 동참하+ㄴ 것으로 알려지었다 .	ORG-B O PER-B O PER-B O O PER-B O PER-B O O O O O O O
이 행사에 워싱턴DC에서만 최소 50만명이, 미국 전역에서는 200만명 이상이 참여하+ㄴ 것으로 추정되+ㄴ다 .	O O LOC-B O O ORG-B O O O O O O O
이후 김영애는 라이프스타일 매거진 ‘얼루어 코리아 2014년 3월호’에서 자신의 연기 인생과 췌장암 투병에 대하+ 여입을 열었다 .	O PER-B O O O O O O O O O O O O O O O
김 전 대표는 헌법재판소의 탄핵이 결정되 +ㄴ 다음날 이+ㄴ 11일 인명진 자유한국당 비상대책위원장, 윤여준 전 환경부 장관을 만나 +아 개헌과 향후 대선 정국에 대하+여 논의하였다 .	PER-B O O ORG-B O O O O O O PER-B ORG-B O PER-B O ORG-B O O O O O O O O O O
“외국인 선수 코트니 심스가 허리 부상을 입어 치료 중이라 경기장에 데려오지 못하였다 .	O O PER-B O O O O O O O O O O
1998년 팜파일럿(PalmPilot) 등 당시 유행 하+ㄴ 휴대용 컴퓨터에 암호화되+ㄴ 정보를 저장하는 필드링크(Fieldlink) +이라는 보안서비스 아이디어를 사업화하고 싶어 +였다 .	O O O O O O O O O O O O O O O O O O O
그러었냐’며 5000만원을 요구하였다”고 밝히었다 .	O MNY-B O O O
황철순은 “잘못하+ㄴ 것에 대하+여서 +ㄴ 언제든 반성하고 벌을 감수하고 있지만 조금 알려지었다고 이용하는 것+ㄴ가만 있지 않겠다”며 “이렇+ㄹ 때만 허위와 과장으로 공인, 방송인이라고 들먹이는데 안 하고 말+ㄴ다”며 불쾌감을 숨기지 않았다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
‘정글의 법칙’ PD “왕지혜, 손에 꼽히는 인성 보이어+주었다 .	O O O PER-B O O O O O
