SH공사는 이런 내용이 포함되 +ㄴ 혁신방안을 11일 발표하였다 .	ORG-B O O O O O O O O
하지만 농식품부는 치킨 가격 인상을 둘러싸고 정부가 과도하게 개입하였다는 지적에 대하+여서 +ㄴ부담스럽어 하는 분위기+이다 .	O ORG-B O O O O O O O O O O O O O
120조원(지난해 말 기준)에 달하는 공공조달시장에서 중소기업 간 경쟁제품 시장 규모는 약 20조원으로 전체의 16.7%에 해당 하+ㄴ다 .	MNY-B O O O O O O O O O O MNY-B O O O O O
문화계 인사, 한강과 관계 있는 인사 1백50여명과 일반 시민 1백10명이 초청받아 시가 있는 밤배 놀이를 즐기었다 .	O O LOC-B O O O O O O O O O O O O O O
푸틴의 철수 결정은 파병을 통하+여기 대하였던 성과를 대부분 거두었기 때문이라고 BBC는 전하였다 .	PER-B O O O O O O O O O ORG-B O O
미국인들에게 ‘당신들에게 더 신경을 쓰겠다’는 메시지를 ‘미국 우선주의’ +이라는 구호에 담아내 +ㄴ 것이다 .	ORG-B O O O O O ORG-B O O O O O O O
이러하+ㄴ 고객 중심 경영의 실천 노력에 힘입어 삼성화재는 매출, 재무건전성, 고객만족도 등 기업 경영과 관련되 +ㄴ 모든 부문에서 국내 손해보험사 중독보적 이+ㄴ 위치를 차지하고 있다 .	O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O
사단법인 어린이 문화진흥회(회장 김재은)는 최근 이화여대 양혜영 박사팀(심리학)에 의뢰, 서울에 살는 국민학교 4∼6학년생 1천1백8명을 대상으로 「가정과 학교환경에서 받는 어린이의 스트레스」에 관하+ 여설문조사하였다 .	O ORG-B ORG-I PER-B O ORG-B PER-B O O LOC-B O O O O O O O O ORG-B O O O O
지하철 5·6호선과 공항철도가 만나는 공덕역 인근에 문을 열는 ‘신라스테이 마포’는 지하 3층, 지상 26층 규모로 총객실은 383개 +이다 .	O O O O LOC-B O O O LOC-B LOC-I O O O O O O O O O
분야별로는 개발행위, 건축분야 등에 대하+ㄴ 법령해석, 인허가 관련 내용이 전체 165건 중 78건에 달하는 등 가장 많은 비중을 차지하고 있다 .	O O O O O O O O O O O O O O O O O O O O O
사례를 살펴보면, 공장 증설에 어려움을 겪고 있는 사안은 지구단위계획 수립을 통하+여해결하도록 하는 등 개발행위 관련 고질민원 35건을 해결하였다 .	O O O O O O O O O O O O O O O O O O O
한국외국어대는 2016학년도 수시모집에서 학생부 교과전형으로 전년도에 비하+여 55명 확대되 +ㄴ430명(일반 트랙 기준)을 선발하+ㄴ다 .	ORG-B O O O O O O O O O O O O O
▼ 구남과 여라이딩 스텔라 줄리아 하트로 로스 신현희와 김루트 ▼ 사계절 닮은 인디밴드 4팀.31일 오후 7시 서울 마포구 어울마당 로롤링홀.3만3000원.02-325-6071 여름-가을 -겨울-봄.♥♥♥♡▼9와 숫자들 ++윤덕원 ▼ 지난해 신작에서 한국적 모던록의 한 꼭짓점을 보이어 주+ㄴ 밴드, 브로콜리너마저 출신의 90년대 식 감성 팝싱어 송라이터를 만나다 .	O ORG-B ORG-I ORG-I ORG-B ORG-I ORG-I ORG-B ORG-I O O O O MNY-B TIM-B TIM-I LOC-B LOC-B ORG-B LOC-B O ORG-B ORG-I MNY-I O O O O O O O O O O ORG-B O ORG-B O O O O O O
2월 1일 오후 6시 서울 마포구 홍익로레진코믹스 브이홀. 예매 4만9000원, 현장 구매 5만5000원.02-338-0958 겨울이란 결국 끝나 +ㄹ터+이니까.♥♥♥♥▼ 마이클 부블레▼21세기형 프랭크 시내 트라, 캐나다 재즈팝 가수의 첫 내한무대.2월 4일 오후 8시 서울 송파구 올림픽로 잠실실내체육관.9만 9000∼25만3000원.02-371-8380 밸런타인데이를 딱 열흘 앞당기러오는 남자. ♥♥♥ .	O O O O LOC-B LOC-B LOC-B LOC-I O MNY-B O O MNY-B O O O O PER-B PER-I O O O LOC-B O O O O MNY-B TIM-B TIM-I LOC-B LOC-B LOC-B LOC-B MNY-B O O O O O O O
1989년 설립되 +ㄴ 우정비 에스씨는 바이오멸균과 생명공학 연구 전문기업으로 전체 직원 76명 가운데 45명이 청년이+ㄹ 정도로 ‘젊은 회사’이자 고용부가 선정하+ㄴ청년친화강소기업이다 .	O O O ORG-B ORG-I O O O O O O O O O O O O O ORG-B O O
20억원이 불행의 씨앗이었다 .	MNY-B O O O
