4·13 총선 결과에 담기 +ㄴ국민의 뜻이 뭐 +이라고 보나.“젊은이들의 분노, 새누리당 지지자들의 외면.이것+이 합치+어서 나 오+ㄴ 결과 +이다 .	O O O O O O O O O O ORG-B O O O O O O O O
고용창출을 위하+여동 독기업들을 사들이었더니 오히려 돈만 받은 뒤 문을 닫고 서독으로 가+아버리기도 +였다”며 “하지만 통일은 결국 정치적으로 많은 이들이 염원하었던 것, 역사적으로 이루어 지+어야 +였던 것이 이루어 지+ㄴ 것”이라고 평가하였다 .	O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O
8이닝1실점역투에도 패배…팀에 쓴소리 이후 14경기에서 12승 …자이언츠 따돌리+어 시즌 내내 팽팽하게 이어지었던 내셔널리그 서부지구 선두 다툼이 종착역을 향하+여가고 있다 .	O O O O O O ORG-B O O O O O ORG-B ORG-I O O O O O O
황 감독은 5일 열리+ㄴ 개막미디어데이에서 ‘꼭 이기고 싶은 상대’를 묻는 질문에 “물어보+ㄹ 것+이 뭐 있나. 무조건 FC서울이다 .	PER-B O O O O O O O O O O O O O O O ORG-B O
북한 주민생활의 바이블 격이+ㄴ ‘유일 영도 10대 원칙’(2013년 판)은 종파주의·가족주의를 비판하며 친척·친우·동향·동창 등을 정실(情實)이나 안면 관계+이라고 치부하고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O
버라이어티는 “전도연, 한국 영화의 여왕이 +ㅁ을 또 한번 입증하였다”면서 “상처받은 마음을 서서히 불타오르듯 표현하는 영화의 무드를 전도연이 대가 답은 연기로 이끌는 스타일리시한느와르”라고 호평하였다 .	O PER-B O O O O O O O O O O O O O O PER-B O O O O O O O
8일간의 교육일정은 빡빡하었다 .	O O O O
〈 박순욱·사회부기자 .	O PER-B O
연인에게 편지나 엽서를 써넣으면 1년 뒤 배달 하+여주는 ‘느림보우체통’도 마련되+어 있다 .	O O O O O O O O O O O O
5일간 계속 되+ㄴ이번 사태로 이미 1천명 이상이 숨지고, 2천5백 명 이상이 부상하였으며 카불 주민 수천명이 피난길에 나서 +었다 .	O O O O O O O O O O O O O O O O O O O
해커는 지난해 두산과의 PO1차 전 선발로 나서 +어4이닝 동안 4실점을 하고 패전투수가 +었다 .	PER-B O ORG-B O O O O O O O O O O O
이성곤이 이 위원의 아들이 +ㄴ 것을 알고 재치 있게 답하+ㄴ 것이다 .	PER-B PER-B O PER-B O O O O O O PER-B O
제시카, 박민영과 닮은 듯 다른 매력… ‘마이디어 시스터’ 제시카와 박민영의 닮은 듯 하+ㄴ 외모가 화제+이다 .	PER-B PER-B O O O O O O PER-B PER-B O O O O O O
제시카는 과거 자신의 웨이보(중국 SNS)를 통하+여 “해피버스데이 마이디어 시스터(Happy birthdaymydears ister)”+이라는 글과 함께 박민영과 찍은 사진을 공개하였다 .	PER-B O O ORG-B O O O O O O O O O PER-B O O O O
