美에너지 벤처기업 새만금에 ‘SNG 공장 .	LOC-B O LOC-B LOC-B LOC-I O
러시아 내극우 민족주의자들의 목소리가 커지고 있는 것도 옐친의 강경노선 선회를 부채질하고 있는 것처럼 보이+ㄴ다 .	ORG-B O O O O O O PER-B O O O O O O O
아들 연산군은, 어머니를 박대하고 죽음으로 내몰+ㄴ신하들을 처절하게 숙청 하+ㄴ다 .	O PER-B O O O O O O O O
가토 고이치니 혼게이자이 서울특파원도 “일본의 젊은 세대는 경제 침체로 취업·연애를 포기하는 달 관세대가 +었다”고 분석하였다 .	PER-B PER-I O LOC-B ORG-B O O O O O O O O O O O
SK텔레콤 오픈은 올해 21회째를 맞고 대회를 앞두고 프로와 아마추어가 펼치는 일반적 이+ㄴ 프로암(Pro-Am) 대신 프로와 주니어 골프 유망주가 함께하는 재능기부 프로암 ‘행복나눔 라운드’를 개최 하+ㄴ다 .	ORG-B ORG-I O O O O O O O O O O O O O O O O O O O O O O O O
37개 국립대 중 충북대를 비롯하+여 16곳이 선정되었다 .	O O O ORG-B O O O O
다만 폴크스바겐그룹의 3.0 리터디젤 엔진 차량은 다른 16개 제작사의 경유차와 함께 오는 12월 추가 검사를 시작하+여 내년 4월 발표하기로 +였다 .	O ORG-B O O O O O O O O O O O O O O O O O O O
한편 올해 1월부터 10월까지 국내에서 팔리+ㄴ 폴크스바겐 차량은 총 2만8626대, 아우디는 2만5855대, 포르쉐는 3456대이며 각 브랜드를 대표하는 폴크스바겐 투아렉, 아우디Q7, 포르쉐카이엔 등이 3.0 디젤 엔진을 탑재하고 있다 .	O O O O O O ORG-B O O O ORG-B O ORG-B O O O O ORG-B O ORG-B ORG-B O O O O O O O
다음은 KERI가 공개하+ㄴ 배터리 궁금증 일문일답.Q.날씨가 춥ㄹ 때 휴대폰 배터리가 더 빨리 닳는다는 분들이 있는데, 온도와 배터리에 상관관계가 있는 것+이+ㄴ가요? ☞ 날씨가 추워지면 전 지 속의 양이온과음이온의 움직임이 느리+어지+ㅂ니다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
물품 전달을 위하+여 이 날 싸라위 따야 학교를 방문하+ㄴ아시아나항공 승무원들이 학생들과 함께 한국어도서를 읽고 있다 .	O O O O O O O O ORG-B O O O O O O O
특검에 압수되 +ㄴ 안종범 전 청와대 정책조정수석 수첩에 적히 +ㄴ ‘해운대 엘시티 펀드 포스코’ 메모와 관련 하+여서도 안전 수석이 엘시티 사업에 개입하였는지를 밝혀내지 못하였다 .	O O O PER-B O ORG-B O O O O LOC-B ORG-B O O O O O PER-B O ORG-B O O O O O
이 은행이 판매 하+ㄴ 공모펀드의 올 상반기 평균 수익율은 7.2%.시중은행 중 최상위권이다 .	O O O O O O O O O O O O O
