또한 임 감독은 대한핸드볼협회의 도움으로 본선에서 만나 +ㄹ상대국들의 전력정보를 다각적으로 받아 세밀하게 맞추+ㅁ전술을 세우+ㄹ 수 있었다 .	O PER-B O ORG-B O O O O O O O O O O O O O
판매를 기록하였고, 모하비 더 출시되+ㄴ지 두 달 만이었던 2008년 3월(1159대) 이후 최대 판매 실적이 +ㄴ 1198대가 판매되+어신차 효과에 버금가는 인기를 잇어가고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O
‘파주 LG디스플레이’ LG디스플레이 파주공장에서 누출되+ㄴ 질소가스에 질식되+ㄴ 협력업체 직원 문모씨(33) 등 2명이 사망하였다 .	LOC-B ORG-B ORG-B LOC-B O O O O O PER-B O O O O
오늘 모로코 마라케시에서는 7년을 넘게 끌어오+ㄴ우루과이 라운드 협상이 공식 마무리되 +ㄴ다 .	O LOC-B O O O O O O O O O O
박민지는 16일 경기도 용인에 위치하+ㄴ 88 컨트리클럽(파72·6583야드)에서 열리+ㄴ 마지막 4라운드에서 버디 6개와 보기 4개로 2언더파 70타를 적어 내 +었다 .	PER-B O LOC-B LOC-B O LOC-B O O O O O O O O O O O O O O
3라운드까지 9언더파 207 타로 공동 선두를 지키+ㄴ 박민지는 최종 합계 11언더파 277 타로 공동 1위에 오르았다 .	O O O O O O O PER-B O O O O O O O O O
KB스타즈에 71-63 승리 … 배혜윤·토마스43점 합작용 병 2명 득점합계에서 26-23으로 근소하게 리드 삼성생명이 KB스타즈를 꺾고 2연승을 거두었다 .	ORG-B O O O PER-B O O O O O O O ORG-B ORG-B O O O O
삼성생명은 7일 청주체육관에서 벌어 지+ㄴ ‘삼성생명 2016~2017 여자 프로농구’ 1라운드 원정경기에서 43점을 합작하+ㄴ 엘리사 토마스(20점)와 배혜윤(23점)을 앞세우어 KB스타즈를 71-63으로 제압하였다 .	ORG-B O LOC-B O O ORG-B O O O O O O O PER-B O PER-B O ORG-B O O O
얼마 전 시골에서 올라 오+ㄴ 친척들과 63빌딩 구경을 가+았다 .	O O O O O O LOC-B O O O
돌아오는 길에 안내원에게 주차권에 대하+여 묻으니 전망대 아이맥스 수족관 등 세 가지를 관람하는 1만4400원짜리 표 한 장에 3시간의 주차를 허용 하+ㄴ다는 설명이었다 .	O O O O O O O O O O O O O MNY-B O O O O O O O O O
문우람은 앞서 +어 승부조작 혐의를 부인하면서 “이 태양은 내친 누나와 결혼을 약속하+ㄴ 연인 사이”라며 “내가 매형이 되+ㄹ지 모르는 사람에게 어떻게 승부조작을 시키었겠느냐”고 주장하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O
한편, 5일 창원지방법원 제4형사단독(구 광현 부장판사) 심리로 열리+ㄴ이 태양과 브로커 조모씨, 스포츠 도박 베팅방 운영자 최모씨에 대하+ㄴ 첫 공판에서 검찰은 국민체육진흥법 위반(승부조작) 혐의로 기소되+ㄴ이 태양에게 징역 1년, 집행유예 2년, 추징금 2000만원을 구형하였다 .	O O ORG-B O O O O O O O PER-B O O O O PER-B O O O O O PER-B O O O O O O O O MNY-B O O
‘택시’ 김새롬-이찬오, 방송 中딥키스 “우리 드디어 결혼 하+여” 하트뿅뿅… 분위기 후끈 .	O PER-B O O O O O O O O O O
안재욱 최현주 결혼설 뮤지컬배우 커플 안재욱과 최현주가 5월 결혼설을 부인하였다 .	PER-B PER-B O O O PER-B PER-B O O O O
