이날 연준 성명과 옐런 의장의 회견에는 시장을 안심시키려는 노력이 뚜렷이 반영되었다 .	O O O PER-B O O O O O O O O
이어 2004~2006년 헌재 헌법연구관으로 근무하였다 .	O O O O O O
이 지명자는 이후 2006년 법무법인 화우에서 변호사로 활동하+여+오았는데 다양하+ㄴ 재판에 관여하+여 이론과 실무에 능통하다는 평이다 .	PER-B O PER-B O ORG-B ORG-I O O O O O PER-B O O PER-B O
지나+ㄴ 22일 현대차는 인천 송도 도심 서킷나+의 특설 자동차 영화관을 마련하고 쏘나타 보유고객 600명을 초청하+여올 여름 최고 기대작을 상영하는 ‘쏘나타 30주년 기념, 자동차극장 영화 관람 초청 이벤트’를 마련하였다 .	O O ORG-B LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O
박한별정은 우결별, 5월 제주도 데이트 후 관계 소원? 당시 모습 보니 … 관심 .	PER-B O O LOC-B O O O O O O O O O O
현재 여자 대표팀 23명 가운데 6명이 고교생이다 .	O O O O O O O O
2만 1000원 .복지의 배신(송제숙 짓음·이후)=외환위기(1997∼2001년) 시기에 만들어 지+ㄴ 한국의 신자유주의적 복지에 대하+ㄴ 연구서. 당시 노숙이+ㄴ문제와 청년실업 문제를 중점적으로 다루며 한국식 보편적 복지의 시작점에 대하+여탐 구하였다 .	MNY-B MNY-I O PER-B MNY-B O O O ORG-B O O O O O O O O O O ORG-B O O O O O O
대당 가격은 80여억 원 .	O O MNY-B MNY-I O
미국 유명 방송인 킴카다시안(34)이 남편에게 보내+었던 19금 수준의 사진 일부가 영국 매체 데일리스타를 통하+여공개되었다 .	ORG-B O O PER-B O O O O O O ORG-B O O O O
이 매체는 킴예(킴카다시 안++카니예 웨스트) 부부가 섹시하+ㅁ을 잃지 않고 살는 습관들이 궁금하였던 사람들이 있다면 이 기사를 꼭 확인하라며 1일 해당 사진들을 단독 소개하였다 .	O O PER-B PER-B PER-I O O O O O O O O O O O O O O O O O O O
2010년 12월의 어느 날.속으로 생각하였다 .	O O O O O O
한편 이금희 아나운서는 1988년부터 진행 하+여 오+ㄴ ‘아침마당’에서 30일 하차하였다 .	O PER-B O O O O O O O O O
그러면 오래도록 영속하는 기업의 공통점은 무엇이 +ㄹ까. '장수기업이 많은 나라'로 유명하+ㄴ 일본의 쿠보타쇼우이치호우세이(法政)대 교수는 건강하+ㄴ장수기업의 특징으로 ▶명확 하+ㄴ 기업이념과 경영원칙을 세우어 준수▶장기적 관점에서 기업을 경영▶전통을 중시하면서도 혁신을 추구▶회사 종업원을 소중히 여기+ㅁ이란 네 가지 공통점을 꼽았다 .	O O O O O O O O O O O LOC-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O
이후 원룸에서 이를 재포장, 서울에 있는 인출책에게 보내+었다 .	O O O O LOC-B O O O O
이로 인하+여원유 등 광산품 중심이 +ㄴ 원재료 가격은 전달보다 9.8% 내리었고 석탄·석유제품 가격은 14.6% 급락하였다 .	O O O O O O O O O O O O O O O O
