온라인 중앙일보 ‘어린이 눈에만 보이는 광고판’ [사진 아동학대 방지단체 아날(ANAR) .	O ORG-B O O O O O O O ORG-B O
그러면서 “청와대에서 지시받은 전경련의 요청을 받았고, 대통령의 관심사안이라는 점이 재단에 출연하게 되+ㄴ 직접적 이유+이었다”며 재단의 운영방향을 검토하+여자발적으로 결정 하+ㄴ 것은 아니라고 증언하였다 .	O ORG-B O ORG-B O O O O O O O O O O O O O O O O O O O
조 부사장은 미르·K스포츠재단에 출연하는 과정은 일반 공익사업 재원 마련을 위하+ㄴ 출연 과정과 다르았다고도 +였다 .	PER-B O ORG-B O O O O O O O O O O O O
조 부사장은 “통상 전경련으로부터 하루 전날 갑작스럽게 소집하는 경우는 거의 없다”면서 “(통상 전경련은) 재단 사업에 대하+ㄴ 취지, 배경 등을 소상하게 설명 하+ㄴ다 .	PER-B O O ORG-B O O O O O O O O ORG-B O O O O O O O O O O
경복궁으로 치면 근정전이다 .	LOC-B O LOC-B O
C로펌 관계자는 한 대기업의 법률자문 입찰 과정에서 “거부 하+ㄹ 수 없는 요청을 받고 제안을 수락하+ㄴ일이 있다”고 말하였다 .	ORG-B O O O O O O O O O O O O O O O O O
오는 경우도 많죠.” 송 상무가 생각하는 임원으로서의 리더십은 ‘같이 고민하고 같이 뛰는 것’이다 .	O O O PER-B O O O O O O O O O O
관광산업 조기 정상화 대책의 선봉은 한류스타와 콘텐츠. 위축되 +ㄴ방한 관광심리를 되살리기 위하+여중화권을 비롯하+ㄴ아시아에서 인기 높은 한류스타 이민호가 출연하는 한국소개CF를 제작하+여 해외 TV와 온라인을 통하+여방영하+ㄴ다 .	O O O O O O O O O O O O LOC-B O O O PER-B O LOC-B O O O O O O
커리의 활약은 외국인 선수 드래프트를 앞두고 신장 193cm 이하 선수를 선발하는 데 고민이 크+ㄴ 국내 프로구단들에게 도 시사하는 바가 크다 .	PER-B O O O O O O O O O O O O O O O O O O O O
김여정은 지난해 6월 최고인민회의 제13기 제4차 회의에 참석하+ㄴ이후 8개월 동안 모습을 드러내지 않고 있다 .	PER-B O O O O O O O O O O O O O O
앞으로 대학생뿐 아니라 고교, 대학을 졸업하+ㄴ지 2년이 안 되+ㄴ 취업준비생도 전세임대주택에 입주하+ㄹ 수 있게 되+ㄴ다 .	O O O O O O O O O O O O O O O O
한 증권사 관계자는 “펀드의 인기가 워낙 좋다 보니 예약을 받기 시작하면 금방 물량이 동나+ㄴ다”며 “한정되 +ㄴ 물량을 확보하지 못하+ㄴ영업점 직원들은 고객들로부터 ‘꼭 가입하고 싶은데 왜 안 팔느냐’는 불만도 종종 들어 스트레스를 받을 정도”라고 말하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
