다음은 두 전문가와 아시안 월스트리트저널지의 이 문제에 대하+ㄴ 평가를 비교하+여보+ㄴ 것이다 .	ORG-B O O O O O O O O O O O
박유천 신세경, ‘감각 남녀’ 서초절정 케미발산?원작 내용 보니 .	PER-B PER-B O O O O O O O
이와 같은 수술적 치료는 어디까지나 조기에 치료를 진행하지 못하+ㄴ 경우에 시도 하+여보+ㄹ만 하+ㄴ 시술이므로 질환이 발병하였다면 적절하+ㄴ 치료의 방법을 의사와 상담을 통하+여 결정하는 것이 현명하다. 강남베드로병원 정형외과 권영삼 원장[스포츠동아 .	O O O O O O O O O O O O O O O O O O O O O O O O O ORG-B O PER-B ORG-B O
한국 선수의 CAS 중재 요청으로는 사실상 첫 사례+이다 .	ORG-B O ORG-B O O O O O O
진화하는 ‘손날두’ 손흥민, 호날두와 닮은 듯 다른 점은 .	O PER-B PER-B PER-B O O O O O
교개위가 제시하+ㄴ 다른 개혁과제 및 개선방향도 대체로 무난하+여보 이+ㄴ다 .	ORG-B O O O O O O O O O
중앙판 공청과 중앙정책연구실을 거치었다 .	ORG-B O ORG-B O O
제주감귤은 오렌지와 달리 쉽게 껍질을 벗기+어먹을 수 있으며 비타민·구연산 등 다양하+ㄴ식품학적 가치와 카로티노이드·플라보노이드 등 성분이 풍부하+ㄴ 건강식품이다 .	O O O O O O O O O O O O O O O O O O
‘자살검사’ 동기 700여명, 책임자 처벌 촉구 “단순 업무 스트레스 아닌 것 같다 .	O O O O O O O O O O O O O
이날 환율은 전날 종가(1175.9원)보다 5.1 원내리+ㄴ 1181.0원에 출발하였다. 지난 밤 옐런 의장은 미 의회 합동경제위원회 청문회 출석 전 발표 하+ㄴ 성명서를 통하+여 “향후 발표되+ㄹ 경제지표가 목표치에 꾸준히 다가가 +ㄴ다면, 기준금리 인상이 비교적 이르+ㄴ시일 내에 가능하+ㄹ 것”이라고 언급하였다 .	O O O MNY-B MNY-B O MNY-B O O O PER-B O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O
병자호란을 거치면서 주화파와 척화파 사이에 격렬 하+ㄴ 논쟁이 일어나 +았고, 인조 때에는 송시열을 중심으로 하+ㄴ서인 산림이 정국을 주도하게 되었다. 붕 당 정치가 전개되면서 비변사의 정치적 역할이 강화되었다 .	O O ORG-B ORG-B O O O O O O O O PER-B O O PER-B O O O O O O O ORG-B O O O O
