예를 들어 열량이 600 칼로리 미만이 +ㄴ 새롭ㄴ 인도 요리를 먹고 싶다고 말하면 휘스크 앱은 당신이 좋아하+ㄹ만 하+ㄴ 요리의 조리법을 제시하+ㄴ다 .	O O O O O O O O LOC-B O O O O O O O O O O O O O
식사의 디지털화가 진행되+ㄹ수록 휘스크와 먼처리 같은 회사들은 음식 재료와 요리법, 트렌드, 고객 취향에 관하+여 많은 것을 알+ㄹ 수 있다 .	O O O ORG-B ORG-B O O O O O O O O O O O O O O O
통일의 크+ㄴ길은 남북이 모두 변화하는 것이 +ㄴ데, 북한은 경제와 인권의 낙후성에서 이미 체제의 정당성을 잃었다 .	O O ORG-B O O O O ORG-B O O O O O O O O
그 바람에 첫 위기가 금리 인상 10개월 만이+ㄴ 94년 12월에 시작되었다 .	O O O O O O O O O O O O
커트는 대단하+ㄴ 작곡가 +이었다"고 입을 열었다 .	PER-B O O O O O O
활을 쏘며 당당 하+ㄴ 삶을 추구하지만 상처와 두려움을 끝내 이기+어내지 못하는 불안하+ㄴ영혼의 아이, 그런 아이를 유아인이 연출 하+ 여내고 있는 것이다 .	O O O O O O O O O O O O O O O PER-B O O O O O O
또 성 회장의 특별사면 로비 의혹과 관련 하+여고 노무현 전 대통령의 친형 노건평씨도 소환조사 하+ㄴ다 .	O PER-B O O O O O O PER-B O O O PER-B O O O
현재 서울에서 운영 중 이+ㄴ 데이케어센터는 312개.이 가운데 187개소가 서울형 데이케어센터 인증을 받았다 .	O LOC-B O O O ORG-B O O O LOC-B ORG-B O O O
그는 산업용 기계를 수입·수출하는 무역회사 코캄엔지니어링을 설립하였다 .	O O O O O O O O
안철수 국민의당 전 상임 공동대표는 1일 보수진영 텃밭이+ㄴ대구를 찾아 범여권으로 분류되는 반기문 전 유엔 사무총장을 향하+여"과거 현재 미래에서 모두 다음 정권을 맡을 적임자가 아니다"며 "제가 감히 그 적임자+이라 말씀드리+ㄴ다"고 강조하였다 .	PER-B ORG-B O O O O O LOC-B O O O PER-B O ORG-B O O O O O O O O O O O O O O O O O
반 전 총장 지지율이 하락하는 국면에 중도 보수층을 공략 하+여 반 전 총장의 지지율 흡수에 나서 +ㄴ 것이란 분석이 나 오+ㄴ다 .	PER-B O O O O O O O O O PER-B O O O O O O O O O O O
안 전 대표는 이날 대구시의회에서 회견을 열어 "반 전 총장은 무엇보다 문재인 더불어민주당 전 대표를 이기+ㄹ 수 없는 후보 "+이라며 "문 전 대표보다 더 젊고 깨끗하고 정치적 돌파력이 있고 책임지+어+오았고 미래를 준비 하+ㄹ 수 있고 정권교체 성격이 분명 하+ㄴ사람만이 문 전 대표를 이기+ㄹ 수 있다"고 밝히었다 .	PER-B O O O ORG-B O O PER-B O O O PER-B ORG-B O O O O O O O PER-B O O O O O O O O O O O O O O O O O O PER-B O O O O O O O
그는 반 전 총장에 대하+여"과거 청산은 힘들 단 것+이 많은 국민들의 판단"이라며 "나아가 +아혹시 대선에서 기적적으로 이기+ㄴ다하+여도 대한민국을 바꾸+ㄹ 수 있는 분은 아니다 .	O PER-B O O O O O O O O O O O O O O O ORG-B O O O O O O
‘김○○’ 형태로 되+ㄴ 별명이 하도 많다 보니 아예 ‘별명’이 별명이 되+ㄴ 것이다 .	PER-B O O O O O O O O O O O O
우선 현대차는 기존 텔레매틱스 서비스를 스마트폰 뿐만 아니라 손목시계를 통하+여 가능하게 하는 ‘스마트워치’ 블루링크 시스템을 야심차게 선보이+ㄴ다 .	O ORG-B O O O O O O O O O O O O O O O O
이렇게 교차하는 시선 속에서 린드블럼은 사직 홈 팬들 앞에 첫 선을 보이었다 .	O O O O PER-B LOC-B O O O O O O O
철도는 경원선(백마고지~남방한계선, 10.5㎞) ㆍ동해선(제진~강릉, 110㎞ㆍ 금강산선(철원~남방한계선, 32.5㎞)의 남측 미 연결구간을 잇기 위하+ㄴ 사전조사에 착수하+ㄹ 계획이다 .	O LOC-B O LOC-B O LOC-B O O O O O O O O O O
