불에 달구+ㄴ쇠막대기로 고양이를 찌르고 주전자에 담기 +ㄴ 끓는 물을 고양이에게 붓는 학대행위를 동영상으로 촬영하+여유포 하+ㄴ 20대가 경찰에 붙잡히 었다 .	O O O O O O O O O O O O O O O O O O O O
서울 방배경찰서는 동물보호법상 동물학대 행위, 동물학대 영상물 게시물 위반 혐의로 A씨(25·무직)를 불구속 입건하였다고 14일 밝히었다 .	ORG-B O O O O O O O O O PER-B O O O O O
경찰에 따르면 A씨는 충남 천안시 자신의 집에서 길고양이를 잡아 학대하고 이 같은 내용의 영상을 동영상으로 촬영하+여유포 하+ㄴ 혐의를 받고 있다 .	O O PER-B LOC-B LOC-B O O O O O O O O O O O O O O O O
2월에 발표되+ㄴ표준지 공시지가에 따르면 올해 개별공시지가는 전국 평균 4.14% 상승 하+ㄹ 것으로 보이+ㄴ다 .	O O O O O O O O O O O O O O
2년 전 이+ㄴ 2013년까지 전체 6차 산업 인증 사업자 중 귀농귀촌 하+ㄴ사람은 36.2%+이었다 .	O O O O O O O O O O O O O O
세종시 관계자는 “지난해부터 매월 5000명 이상이 신도시에 입주하고 있다 .	ORG-B O O O O O O O O O
관객을 모으며 올해 첫 한국영화 천만관객 돌파 초읽기에 돌입하였다 .	O O O O LOC-B O O O O O
‘암살’은 1933년 상하이와 경성을 배경으로 친일파 암살 작전을 둘러싸 +ㄴ독립군들과 임시정부대원, 그들을 쫓는 청부살인업자까지 이들의 엇갈리+ㄴ 선택과 예측 하+ㄹ 수 없는 운명을 그리 +ㄴ 작품이다 .	O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O
‘타격 부진·실책’ 박동원 슬럼프 탈출에 넥센 운명 걸리었 .	O O PER-B O O ORG-B O O O
지난해 대한장애인체육회가 전국의 초중등 일반학교 및 특수학교 교사를 상대로 실시하+ㄴ ‘통합체육교실’ 프로그램에서 우수교사로 뽑히+ㄴ 교사 4명과 장애인체육회 생활체육부 및 국립특수교육원 직원의 연수현장을 본보가 함께하였다 .	O ORG-B O O O O O O O O O O O O O O ORG-B O O ORG-B O O O O O
리더로서 누구보다도 고생이 많을 터+이+ㄴ 데 항상 웃어주+어서 너무나 고맙고 많은 배우+ㄹ점을 주었던 인형 같은 세리 언니, 나+의 5년 룸메이트로서 누구보다 의지하였고 이제 +ㄴ 눈빛만 보+아도 알 것 같은 나의 앙숙! 아영이, 고등학교 때부터 지금까지 그리고 앞으로도 너무나 예쁘+ㄴ 얼굴만큼 마음도 밝고 맑은 우희, 막내이+ㄴ 데도 언니들부터 챙기고 어른스럽+ㄴ, 그렇지만 너무 철들+ㄴ 모습에 마음도 많이 아프았던, 멤버가 만들 +ㄴ ‘Joker’+이 라는 곡으로 활동하+ㄹ 수 있는 걸그룹계에서는 유일무이하+ㄴ 경험을 하+ㄹ 수 있게 하+여주+ㄴ 수빈이가 어마어마하+ㄴ곡으로 컴백을 앞두고 있으니 기대 많이 하+여주시고 이 친구들이 언제 어떤 무대에 서든 힘내+ㄹ 수 있게 응원도 크게 !많이! 하+여주시 면 너무 감사하+ㄹ 것 같아요 .	O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
또 온주완은 “여자분들은 머리가 내려오아 있지 않냐”는 말과 함께 흘러내리+ㄴ조여정의 머릿결을 자연스럽게 넘겨주는 등 특급 노하우를 아끼+ㅁ 없이 전수해 화제를 모으았다 .	O PER-B O O O O O O O PER-B O O O O O O O O O O O O
한편, 26일 한 매체는 “온 주완과 조보아가 지난해 8월 방송 하+ㄴtvN드라마 ‘잉여공주’에서의 호흡을 계기로 가깝어 +지었다”며 두 사람의 열애설을 제기하였다 이에 온 주완의 소속사 윌엔터테인먼트는 이날 “두 배우가 연인으로 만나고 있음을 확인하였다”고 열애를 공식 인정하였다 .	O O O O O O PER-B O O O ORG-B O O O O O O O O O O O O O ORG-B O O O O O O O O O O O
