3일 새누리당 혁신비상대책위원회의 첫 회의를 지켜보+ㄴ 당직자들 사이에서는 한숨이 절로 나오았다고 하+ㄴ다 .	O ORG-B ORG-I O O O O O O O O O O
KTX 천안아산역도 차로 10분 이내에 이용하+ㄹ 수 있다 .	LOC-B LOC-I O O O O O O O
본보기집은 천안시 동남구 신방동 785-16에 있다 .	O LOC-B LOC-B LOC-B LOC-I O O
[영상]칠레 8.3 강진 페루까지 쓰나미 경보…韓 피해 상황은? 외교부 입장 듣어보니 ‘관심↑’ 칠레 수도 산티아고 인근에서 규모 8.3의 강진이 발생하+ㄴ 가운데, 현재까지 파악되+ㄴ 한국인 피해는 없는 것으로 전하여 +지+었다 .	LOC-B O O LOC-B O LOC-B O O ORG-B O O O LOC-B O LOC-B O O O O O O O O O O O O O O O
[단독] 김선현 교수, 위안부 할머니 그림 무단 사용 의 .	O PER-B O O O O O O O O
협상을 서두르 어진행하면 급성장하는 중국 서비스 시장을 선점하+ㄹ 기회가 생기+ㄴ다 .	O O O O ORG-B O O O O O O
새누리당은 5일 윤호중 더불어민주당 정책위의장(사진)이 선거연령 하향 조정 논의와 관련, ‘대통령 선거는 19금 포르노가 아니다’라고 발언 하+ㄴ 것을 맹비난하며 윤 의장에게 사죄를 촉구하였다 .	ORG-B O PER-B ORG-B O O O O O O O O O O O O O O O PER-B O O O O
또 통일부 집계에 따르+ㄴ 남북교역량은 2013년 11억3500만달러(약 1조3050억원)에서 지난해 23억4200만달러(약 2조6930억원)로 106.3% 증가하였다 .	O ORG-B O O O MNY-B MNY-B MNY-B O MNY-B MNY-B MNY-B O O
일본 법원이 지나 +ㄴ 2011년 동일본 대지진 당시 원자력발전소 폭발사고가 나+ㄴ후쿠시마(福島) 현 출신 학생들이 학교에서 집단 괴롭히 +ㅁ(이지메)과 폭력을 당하+ㄴ데 대하+여서도 국가의 손해배상 책임이 있다는 판결을 내리+ㄴ 것으로 확인되었다 .	ORG-B ORG-I O O O ORG-B O O O O LOC-B O O O O O O O O O O O O O O O O O O O
지지통신에 따르면 일본군마(群馬) 현마에바시(前橋) 지방재판소(지방법원)는 지나 +ㄴ 17일 원전 사고 뒤 후쿠시마현에서 군마현으로 피난 오+ㄴ 주민 137명에 대하+ㄴ 일본 정부와 후쿠시마 원전 운용사 도쿄전력 측의 배상금 지급을 명령하면서 원고단의 일원이 +ㄴ후쿠시마현 출신 학생 5명의 정신적 피해도 인정하였다 .	O O LOC-B LOC-B O O O O O O O LOC-B LOC-B O O O O O ORG-B ORG-I LOC-B O O ORG-B O O O O O O LOC-B O O O O O O O
원전 사고 당시 15세 미만이었던 이들 학생 중 한 여학생은 전학 간 군마현의 학교에서 “기분 나쁘니다가오지 말+아라.구역질이나 +ㄴ다”는 문구가 적히 +ㄴ쪽지를 받는 등의 괴롭히 +ㅁ을 당하였다 .	O O O O O O O O O O O O LOC-B O O O O O O O O O O O O O O
또 군마현으로 피난가+았다가 후쿠시마 현으로 돌아오+ㄴ한 남자 중학생은 “너+ㄴ 도망가 +았던 놈이+ㄴ데 왜 +았냐”는 등의 얘기를 듣어야 +였고, 전학가+ㄴ 학교에서 “가난뱅이 신(빈보가 미·貧乏神, 사람을 가난하게 만들 +ㄴ다는 일본 요괴)”라고 불리었던 것으로 알려지었다 .	O LOC-B O LOC-B LOC-I O O O O O O O O O O O O O O O O O O O O O O LOC-B O O O O O
이와 관련 재판부는 5명의 피해 학생 가운데 도쿄전력으로부터 이미 손해배상액 이상의 위자료를 받은 3명을 제외 하+ㄴ 2명에게 배상금을 지급하라고 일본 정부와 도쿄전력 측에 요구하였다 .	O O O O O O O ORG-B O O O O O O O O O O O ORG-B ORG-I ORG-B O O O
한편 재판부는 이번 판결에서 ‘대지진에 따르+ㄴ쓰나미(津波·지진해일) 피해를 예견하+ㄹ 수 있었다’는 이유에서 원전 사고 뒤군 마현으로 피난 오+ㄴ후쿠시마 현 주민들에게 총액 3855만엔(약 3억8800만원)의 배상금 지급을 명령하였다 .	O O O O O O O O O O O O O O O O LOC-B LOC-I O O MNY-B MNY-B O O O O
(서울=뉴스1 .	LOC-B O
일본 총리에 사회당 의원이 선출되+ㄴ 것은 지나 +ㄴ 47년의 가타야마(편산) 내각 이후 처음이다 .	ORG-B O O O O O O O O PER-B O O O O
강원랜드 ‘폐광지역사회적경제사업’ 공 .	ORG-B O O O
요제프와 에두아르트 슈트라우스는 ?두 사람은 ‘왈츠의 아버지’의 둘째 셋째 아들이자 ‘왈츠의 왕’의 동생들이 +ㅂ니다 .	PER-B PER-B PER-I O O PER-B PER-I O O O PER-B PER-I O O O
