[인사]조이제약 .	ORG-B O
도요타는 자사 하이브리드 기술력의 상징이+ㄴ 소형차 프리우스의 4세대 모델을 선보이+ㄴ다 .	ORG-B O O O O O PER-B O O O O
교육특구로 꼽히는 송파구·양천구·노원구도 양상은 비슷하다 .	O O LOC-B O O O
이준식 사회부총리 겸 교육부 장관이 24일 오후 전남도립대학교(총장 김왕복) 유니테크 사업단 협약기업인(유)기아자동차 오토큐남광주 서비스를 방문하여 실무진의 목소리를 청취하기 위하+여 현장에서 대학 및 고교 관계자, 기업 대표, 현장교사, 학생, 학부모가 참석하는 실무간담회를 개최 하+ㄴ다 .	PER-B O O ORG-B O O O ORG-B O ORG-B O ORG-B O O O O O O O O O O O O O O O O O O O O O O
계나는 쥐와 바퀴벌레가 들끓고개미가 나오는 집에서 태어나 +아자라+았다 .	PER-B O O O O O O O O
백 70이 우변 변화의 방점을 찍은 수.백이 훨훨 날아가는 듯하다 .	O O O O O O O O O O O
IS, 테러 대상에 한국 포함 “전쟁으로 너희를 불태우+ㄹ 것 .	ORG-B O O ORG-B O O O O O O
이에 유병재와 박두식은 실제 수염을 밀었다 .	O PER-B PER-B O O O O
최적의 속눈썹 길이는 눈폭 3분의 1 정도 … 더 길면 '안구건조증' .	O O O O O O O O O O O O
길가에서 장사를 하던 40개의 노점은 구청과 협의를 거치+어푸드트럭을 운영하거나 구청이 허락하+ㄴ 부스형 판매대로 옮기+어가기로+였다 .	O O O O O O O O O O O O O O O
서초구가 강남대로 옆 보행로 정비에 나서 +ㄴ 것+ㄴ이번이 처음이 아니다 .	LOC-B LOC-B O O O O O O O O O
컴퓨터 디자인, 뷰티 메이크업, 경제지도사 과정 등 매달 30여개 강좌를 연중 진행 하+ㄴ다 .	O O O O O O O O O O O O O O
시신이 홍씨로 확인되면 올해만 필리핀에서 피살되 +ㄴ한국인은 10명으로 늘어나 +ㄴ다 .	O PER-B O O LOC-B O O O O O O
