지나+ㄴ 8일 방송되+ㄴ KBS2'우리는 형제이+ㅂ니다'에서는 하니와 그의 남동생 안태환이 동반 출연하였다 .	O O O O O PER-B O O PER-B O PER-B O
이날 '우리는 형제이+ㅂ니다'하니는 군대에서 휴가 나 오+ㄴ남동생이 끓이어주+ㄴ라면을 흡입하였다 .	O O PER-B O O O O O O O
이곳에 한국인 관광객만을 고르아 100엔을 구걸하는 여인이 있다 .	O O O O MNY-B O O O O
한참 못 미치는 2베크 렐 정도의 수치를 나타내 +었다 .	O O O O O O O O O O
‘명단 공개’ 여왕처럼 살는 ★강 수정, 홍콩 서초호화 생활에 가사도우미만 6명?“실제로는 … .	O O O O O O LOC-B O O O O O O
전북도가 누리과정(만 3∼5세 어린이 무상보육) 예산을 긴급 편성·지원하기로 +였다 .	ORG-B O O O O O O O O O
‘16년 만의 잉글랜드 출신 득점왕이냐, 아궤로의 수성(守城)이냐.’ 2015∼2016 시즌 잉글랜드 프로축구 프리미어리그(EPL) 최고 골잡이는 15일 열리는 최종 38라운드 경기가 끝나 +아야만 알+ㄹ 수 있게 +었다 .	O O LOC-B O O PER-B O O O LOC-B O O O O O O O O O O PER-B O O O O O
해리케인(토트넘)에게로 기울는 듯 하었던 득점 왕 경쟁의 무게가 37라운드를 통하+여 다시 안개 속으로 들어가 +았기 때문이다 .	ORG-B O O O O O O O O O O O O O O O O
의사는 “상담자의 30% 이상이 청년”이라며 “박씨처럼 매일 계속되+ㄴ 우울과 분노초라 하+ㅁ 억울하+ㅁ 등 때문에 일상생활이 흔들리는 청년이 대부분이다”라고 말하였다 .	O O O O O PER-B O O O O O O O O O O O O O O
한국경제의 성장판을 살리려면 부처에 지뢰처럼 흩어 지+어 있는 ‘관성규제’부터 제거 하+여야 하+ㄴ다고 전문가들은 입을 모으+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O
북한 핵문제를 총괄하고 있는 미 국무부의 로버트 갈루치 차관보는 5일 국무부 회견에서 북한 핵문제를 보는 미국의 「솔직하+ㄴ」 입장을 털어놓았다 .	O O O O O ORG-B PER-B O O O ORG-B O O O O ORG-B O O O O
비문-비패권 세력 연대를 주도적으로 추진하고 있는 김종인 전 대표와의 회동 가능성에 대하+여서는 “전화통화만 +였고 이번 주에 만나기로 약속하였으나 저의 지방 일정으로 인하+여 다음주에 한번 뵙기로 +였다”며 “(통화에서) 김 전 대표에게 탈당하고 의원직을 버리+ㄴ 결단에 대하+여존경의 말씀을 드리었고 정권교체를 위하+여우리당을 돕아달라는 말을 나누려 +였는데 아직 일정을 못 잡았다”고 +였다 .	O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O
이날 오전 김 전 대표가 민주당 및 국민의당 일부 의원들과 조찬 회동을 가지+ㄴ 것으로 알려지+ㄴ데 대하+ 여 박 대표는 “그 자리에 참석하+ㄴ 몇 분의원이 저에게 보고 하+ㄴ바에 의하면 그렇게 특별 하+ㄴ의 미를 두 +ㄹ만 하+ㄴ가치는 없었다고 하+ㄴ다”며 “김 전 대표가 무엇이 +ㄴ .	O O PER-B O O ORG-B O ORG-B O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O PER-B O O O O O
