60∼80km로 시내 구간을 빠져나가 +ㄹ 때까지 엔진 소음은 거의 듣을 수 없을 만큼 정숙하였다 .	O O O O O O O O O O O O O O O
설레임 코스메틱 김성진 팀장은 “중국 내 시장에서 한국 코스메틱 제품에 대하+ㄴ 수요는 폭발적으로 성장하고 있다”며 “설레임 코스메틱은 국내 여러 채널에서 검증되 +ㄴ블루밍셀 솔루션 마스크팩의 인기를 바탕으로 중국 온라인 쇼핑몰을 통하+여서도 뛰어나 +ㄴ 실적을 거두고 더불어 글로벌 유통채널을 강화하여 일본, 태국, 인도네시아, 말레이시아 등 수출 경로를 다양화 하+ㄹ 예정”이라고 말하였다 .	ORG-B ORG-I PER-B O LOC-B O O LOC-B ORG-I O O O O O O ORG-B ORG-I O O O O O O O O O LOC-B O O O O O O O O O O O LOC-B LOC-B LOC-B LOC-B O O O O O O O O
또 앞서 +어나오+ㄴ윈도우8에서 논란이 +었던 시작 메뉴를 원상복구시키었다 .	O O O O O O O O O
음성인식 기술이 +ㄴ ‘코타나’는 음성을 받아들이+ㄹ뿐만 아니라 이를 해석하+여 검색을 하고 개개인의 성향에 맞는 정보를 제공하+ㄴ다 .	O O O O O O O O O O O O O O O O O
위민스 챔피언십 출전…투어 경력 10년 채워 박세리 잇어 한국여자골프선수 두 번째 영예박인비(28·사진)가 한국 여자골퍼로는 두 번째로 미국 여자 프로골프(LPGA) 투어 명예의 전당 멤버가 되+ㄴ다 .	O O O O O O PER-B O LOC-B O O PER-B LOC-B O O O O O O O O O O O O
이들은 별과 나윤권이 부르+ㄴ '안부'를 선곡하였다 .	O PER-B PER-B O O O O
풀무원식품 남승우 사장(사진 가운데)을 비롯하+ㄴ 임원들이 최근 회사 인근 요리학원에 등록, 앞치마를 두르고 단체 요리 강습을 받고 있다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O
배우 문정희 또한 “2017년 3월 10일 탄핵 인용. 봄날 헌법 수호 대한민국. 오늘을 기억하+ㄹ 것이다 .	O PER-B O O O O O O O O O ORG-B O O O O
조승연 작가가 자신감 넘치는 토크를 벌이었다 .	PER-B O O O O O O
반면 조의를 표하는 현충일, 국장기간, 국민장일 및 정부 지정에는 깃면의 너비(세로)만큼 내리+어달아야 하+ㄴ다 .	O O O O O O O O O O O O O O
앞서 +어 서울메트로는 ‘임산부 배려 석양보’ 캠페인을 실시하였으나 양보하는 분위기가 정착하지 않자 ‘비우 어두기’로 내용을 변경하였다 .	O O ORG-B O O O O O O O O O O O O O O
한편 앞서 +어인스타그램을 통하+여 불법유흥업소 종사자들의 얼굴 등 신상정보를 폭로하는 ‘강남패치’ ‘한남패치’ 페이지가 화제가 +었다 .	O O O O O O O O O O O O O O O O
그동안 예능에서 계속 웃기만 +였다”며 “‘런닝맨’, ‘강심장’에 출연하+ㄴ적이 있다”고 털어놓았다 .	O O O O O O O O O O O
과거 SBS ‘강심장’ MC를 맡았던 강호동은 “어?나 +ㄴ보+ㄴ 기억이 없다”며 갸우뚱하었고, 사태를 파악하+ㄴ 진세연은 “이승기 선배님이 혼자 하+시었을 때 +이다” +이라며 더듬거리었다 .	O ORG-B O O O PER-B O O O O O O O PER-B PER-B O O O O O O O O
이에 당황하 +ㄴ강호동은 “왜 그것+ㄹ승기 혼자 +였을까?” +이라며 능청스럽게 말하었고, 다른 멤버들은 “그냥 웃자. 웃어넘기자”라고 수습 하+ 여웃음을 자아내 +었다 .	O O PER-B O PER-B O O O O O O O O O O O O O O O O
동아ST는 기능성 소화불량치료제 ‘모티리톤’의 해외 수출을 위하+여 미국에서 임상 2상을 진행하고 있으며, 당뇨병성 신경병증 치료제 ‘DA-9801’은 임상 2상을 완료하고 3상 진행을 눈앞에 두고 있다 .	ORG-B O O O O O O LOC-B O O O O O O O O O O O O O O O O O
아직 ‘써니’의 메가폰을 누구가 잡을지는 결정되지 않았다 .	O O O O O O O O
