지나+ㄴ 28일 서울 중구 장충동 메가박스 동대문에서 열리+ㄴ영화 ‘미스와이프’ 언론 시사회에는 강효진 감독과 엄정화, 송승헌이 참석하였다 .	O O LOC-B LOC-B LOC-B LOC-B O O O O O PER-B O PER-B PER-B O O
이날 송승헌은 “엄정화+이라면 아내로서 몇 점이겠느냐” +이라는 질문에 “엄정화 선배는 섹시퀸이+ㄴ데다 이미지도 최고이다 보니 다소 어려워하는 부분이 있었다”며 “촬영을 하면서 느끼+ㄴ점이 소녀 같고 배려심도 매우 많더라.의외의 모습들을 보+아 너무 좋았다”고 밝히었다 .	O PER-B PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O
이어 “100점 만점에 99점”이라며 “100점을 주면 거짓말이 +ㄴ 것 같아 99점을 +었다”고 덧붙이었다 .	O O O O O O O O O O O O O O
공신력 있는 제3의 전문가와 주민대표 등이 포함되 +ㄴ ‘괌 검증단’을 따로 꾸리+ㄹ 수도 있다”고 말하였다 .	O O O O PER-B O O O O O O O O O O O
러블리즈는 26일 오후 10시 정규 2집 '알유레디?(RUReady?)'를 발표하였다 .	ORG-B O O O O O O O O
전날 추 대표는 “(사드 배치가) 군사적으로 무용지물이며 중국과 러시아를 등 돌리게 하기 때문에 외교적으로 패착”이라면서도 반대 당론을 채택하지 않았다 .	O PER-B O O O O O ORG-B ORG-B O O O O O O O O O O O
브라질은 약체 아이티와의 2차전에서 7-1의 대승을 거두었다 .	ORG-B O ORG-B O O O O O
나아가 +아제시는 자신의 가슴성형수술을 디스랩의 소재로 삼는 래퍼들에게도 “(수술이 하고 싶으면) 너도 해” +이라며 강렬 하+ㄴ한마디를 남기+어안방극장을 웃음으로 초토화시키었다 .	O PER-B O O O O O O O O O O O O O O O O O O
KBS2TV ‘해피투게더3’는 매주 목요일 밤 11시10분에 방송되+ㄴ다 .	O O O O O O O O
또 다른 국방 전문가 이+ㄴ 제이갈리오는 “이론상으로 USB하드 드라이브를 통하+ㄴ 악성코드만으로도 미사일 발사를 방해하+ㄹ 수 있다” +이라며 “미사일 발사와 같이 복잡하+ㄴ 시스템은 조금만 영향을 주+어도 오폭을 일으키+ㄹ 수 있다”고 밝히었다 .	O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
‘사기 혐의 피소’ 최일구 전 앵커, 개인파산 신청한 이유 알고 보니 … ‘이렇+ㄹ수가! .	O O O PER-B O O O O O O O O O O
GS건설은 한층 체계적이고 지속적 이+ㄴ 사회공헌활동이 정착되 +ㄹ 수 있도록 활동영역을 사회복지, 교육·문화, 환경·안전의 3대 핵심 영역으로 재편하+여운영하고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O
녹내장 초기 증상, 외출 시 선글라스는 필수… 6개월마다 안과 검진자외선은 눈 건강을 해치는 주범이다 .	O O O O O O O O O O O O O O O
