지나+ㄴ 24일은 한국과 중국이 수교 하+ㄴ지 24주년 되는 날이었다 .	O O ORG-B ORG-B O O O O O O
괌으로 떠나 +ㄴ후에 +ㄴ 노래 부르+ㄹ 기회가 많이 없었다 .	LOC-B O O O O O O O O O
여기에 장시환(29)이 시즌 초 복귀를 목표로 재활 스케줄을 마무리하고 있다 .	O PER-B O O O O O O O O O
어명에 복종하는 이순신은 순순히 함거(옛날 죄수를 이송하기 위하+ 여수레 위에 만들 +ㄴ 감옥)에 오르지만 백성들은 그를 그냥 보내+ㄹ 수가 없다 .	O O PER-B O O O O O O O O O O O O O O O O O O
‘슈가맨’ 강성“조폭 결혼식 서야 인 시대 OST 축가 많이 부르어…울는 사람도 있었다 .	O PER-B O O O O O O O O O O O
당시 다른 간부들은 김 위원장보다 한 걸음 뒤에서 +어서 참배를 +였으나 리총참모장은 같은 선상에서 참배를 +였다 .	O O O PER-B O O O O O O O PER-B O O O O O
윤제문 소속사나무 엑터스 측은 7일 “이번 일에 대하+ 여변 명의 여지없이 깊이 자숙하고 있다”고 밝히었다 .	PER-B ORG-B O O O O O O O O O O O O O O
이날 기자는 수액주사를 맞는 50분 동안 낮잠을 자+았다 .	O O O O O O O O O
배우 권상우와 최강희가 드디어 만나 +았다 .	O PER-B PER-B O O O O
KBS2 새 수목 드라마 ‘추리의 여왕’(극본이성민 /연출 김진우) 측은 6일 권상우와 최강희의 심상하지 않은 첫 만남이 담기 +ㄴ 현장 스틸컷을 공개하였다 .	O O O O O PER-B O PER-B O O PER-B PER-B O O O O O O O O O O
공개되+ㄴ 사진 속에는 미간을 잔뜩 찌푸리+ㄴ 채흡사범인을 취조하듯 거칠 +ㄴ 형사의 카리스마를 드러내고 있는 권상우와 그런 권상우를 물끄러미 올려다보고 있는 최강희의 샐쭉 하+ㄴ 표정이 담기었다 .	O O O O O O O O O O O O O O PER-B O PER-B O O O PER-B O O O O O
무엇보다 눈두덩이와 이마가 찢기고 반창고까지 붙이+ㄴ 권상우와 옷에 선명하+ㄴ 핏자국이 배+ㄴ 최강희의 수상하+ㄴ 모습은 두 사람이 함께 위험천만 하+ㄴ 사건에 휘말리+ㄴ 것은 아니+ㄴ지그 배경에 궁금증을 갖게 만들 +ㄴ다 .	O O O O O O PER-B O O O O PER-B O O O O O O O O O O O O O O O O O
그렇 +ㄴ가 하면 다른 사진 속에서 경찰차 뒷자리에서 넋이나 가+ㄴ듯 망연자실 하+ㄴ 표정으로 앉아 있는 최강희와 그런 최강희를 룸미러를 통하+여 걱정스럽 ㄴ듯 바라보는 권상우의 따뜻하+ㄴ 눈길은 이전 상황과는 전혀 다르+ㄴ 느낌이어서 앞으로 두 사람이 만들어가+ㄹ 단순 하+ㄴ 수사 파트너 그 이상의 남다르+ㄴ 케미를 예고하고 있다 .	O O O O O O O O O O O O O O O PER-B O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O
‘추리퀸’ 최강희와 ‘수사왕’ 권상우의 첫 만남 장면은 지난달 22일 서울 근교 야외에서 촬영+ 되었다 .	O PER-B O PER-B O O O O O LOC-B O O O O O
이에 서+어 소장은 “친박과 비박, 양박이 독박을 쓰+ㄴ 것 같다”면서 “오히려 천덕꾸러기 취급을 받던 유승민 당선자(대구 동구을)라든지 무소속에 있는 사람들이 복당 하+여 여권 재편의 구세주로 등장하+ㄹ 가능성이 있다”고 덧붙이었다 .	O PER-B O O O O O O O O O O O O PER-B LOC-B O O O O O O O O O O O O O O
