동봉되 +ㄴ 120mm 냉각팬 2개를 라디에이터에 달고, 사용자의 CPU 규격에 맞는 블래킷만 워터블록에 결합하면 시스템에 수냉쿨러를 달 준비가 끝나 +ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O
우리나라의 1인당 국민총소득(GNI)이 11년째 3만달러의 벽을 넘지 못하였다 .	O O O O MNY-B O O O O
백재현 男 성추행 혐의, "사우나서자고 있는 틈을 타 +아... .	PER-B O O O O O O O O O
그는 김한길-안철수 갈등설에 대하+여서 +ㄴ “언론에서 조금 과장 하+여서 보도하는 측면도 있는 것 같다”면서도 “부부 사이에도 갈등이 있고 그런 갈등을 대화로 풀어나가지 않나? 두 분이 어떻든지 간에 총선, 대선에 대하+ㄴ 철학과 방향이 완벽하게 같을 수는 없기에 그런 부분을 계속 조율하는 과정에 있다”고 말 하+ 여사실상 두 사람이 갈등설을 시인하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
서울대 의대 법의학연구소는 연세대와 이화여대, 성균관대, 신라문화유산연구원 등과 함께 신라시대의 여성 유골을 토대로 최첨단 컴퓨터 기법을 활용하+여당시 얼굴 모습을 처음으로 복원하였다고 8일 밝히었다 .	ORG-B O O ORG-B ORG-B ORG-B ORG-B O O ORG-B O O O O O O O O O O O O O O
77년 첫 번째 에피소드 개봉 당시에는 베트남전패전 등으로 우울하였던 미국 사회에 희망을 던지+어주기도 +였다 .	O O O O O O ORG-B O O ORG-B O O O O O
이동국은 또 “아이들을 키우+ㄹ 때 +ㄴ 힘들지만 쑥쑥 크는 모습을 보면 ‘다섯 명을 낳기 +ㄹ 참 잘하였다’는 생각이 들+ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O O O
최홍만, 억대 사기 혐의 체포영장…“돈 마련하고 있다 .	PER-B MNY-B O O O O O O
특히 19세기 민주주의의 핵심 주체로 동학농민전쟁을 이끌 +ㄴ 민중과 개화파 엘리트를 꼽았다 .	O O O O O O O O O O O O O
서울시청과 잠실을 비롯하+ 여경기, 천안, 오산, 평택 등에서 새벽부터 5개 노선의 셔틀버스를 운행하고 교통체증 없는 고속도로를 따르 아묵호항이나 강릉항에 도착하+여울릉도 여행을 시작하게 되+ㄴ다 .	LOC-B LOC-B O LOC-B LOC-B LOC-B LOC-B O O O O O O O O O O LOC-B LOC-B LOC-B O O O O
1945년 제2차 세계대전의 종전으로 막을 내리+ㄴ 제국주의 시대의 성격과, 특히 일본 군국주의가 자아내+ㄴ 한·일 관계의 파탄에 대하+ㄴ 인식이나 반성 없이 손쉽게 양국 관계를 ‘정상화’ 하+ㄴ다고 생각하였다면 이는 역사의 엄중 하+ㅁ을 간과하+ㄴ 처사+이었다고 지적되+ㄹ 수밖에 없다 .	O O O O O O O O O O ORG-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O
