이달 5일부터 +ㄴ 기존에 따로 있던 유치원과 어린이집 결제 카드가 하나로 통합되었다 .	O O O O O O O O O O O O O
현재 네이버 웹툰 '외모 지상주의'를 연재 중이다 .	O O O O O O O O
온라인 중앙일보 [사진│tvN'현장토크쇼 택시' 캡처] '박태준 .	O O O O O PER-B O
윤 의원은 지난해 열리+ㄴ 제20대 국회의원 선거에서 자신이 대표로 있던 ‘동행’ 사무실 등을 선거관리위원회에 신고하지 않고 선거사무소로 사용 하+여공직선거법 위반 혐의로 기소되었다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O
감사원의 수사의뢰 부분과 관련 하+여서는 법원이 두 사람에 대하+여 구속영장을 발부하였고 검찰도 구속 기소를 +였다 .	ORG-B O O O O O O O O O O O O O O O
공사대금 중 2백23억원이 공사에 투입되지 않은 것은 밝혀내 +었으나 유용되+ㄴ 자금의 사용내역 등에 대하+여서는 확인되 +ㄴ게 없다고 하+였다 .	O O MNY-B O O O O O O O O O O O O O O O O
한꺼번에 분양, 전체의 89%가 중소형 단지 이름 중 ‘한숲’은 이 회사 사명이 +ㄴ ‘대림(大林)’의 순우리말로, 대림산업을 대표하는 단지로 만들겠다는 뜻이 담기 +어 있다고 회사 측은 전하였다 .	O O O O O O O O O O O O O ORG-B O ORG-B O O O O O O O O O O O
이상철 LG유플러스 부회장은 “홈IoT 시대가 도래하면 통신 네트워크에 연결되+ㄴ 20억개의 디바이스가 1000억개까지 늘어나 +ㄹ 것”이라며 “급증하는데이터 트래픽을 처리하+ㄹ 수 있도록 현재보다 수십 배 빠르+ㄴ네트워크 전송 속도와 디바이스 간 간섭제어가 가능하+ㄴ 다양하+ㄴ 5G 기술을 적극 개발하겠다”고 말하였다 .	PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
음성 기반의 가전제어 솔루션 ‘홈매니저’를 비롯하+여피부 진단 솔루션을 탑재하+ㄴ ‘매직 미러’ 등 홈 IoT 전략 서비스도 전시되 +ㄴ다 .	LOC-B O O O O O O O O O O O O O O O O O O
그렇 +ㅁ에도 현역으로 남겠다는 서재응의 의지는 현재 강렬하다 .	O O O O PER-B O O O O
김원준은 지난해 8월 방송되+ㄴ KBS2 ‘해피투게더 시즌3’에 출연하+여아버지가 병원장이라고 밝히었다 .	PER-B O O O O O O O O O O
특히 1997년 프로듀싱한 엘튼 존의 ‘캔들인 더윈드’는 그에게 30번째 영국 차트 1위를 선물하+여+ 주었다 .	O O O PER-B O O O O O ORG-B O O O O O
(이번 조사부터는 국무총리에 내정되 +ㄴ이완구 후보자가 포함되었다 .	O O O O PER-B O O O
