여­야 가 입장조정에 성공하+ㄹ 경우에는, 이번 정기국회에서 정부조직법 개정안과 WTO 동의안 등 법안 처리를 하지 않을 것으로 보이+ㄴ다 .	O O O O O O O O O ORG-B O O O O O O O O O
그랜드 객실 1박, 그랜드 하얏트 서울 자체 제작 패션비치백, 풀사이드 치맥세트 이용권 등의 혜택이 포함되었다 .	LOC-B O O LOC-B O O O O O O O O O O O O
7년이 지나 +았는데도 그것+ㄹ기억하고 저를 부르어주+시었어요. 솔직히 지난해에는 연기 외에 다른 일을 많이 하다 보니 연기에 목마르 아갈증을 느끼면서 저만의 불안감을 안고 살았어요 .	O O O O O O O O O O O O O O O O O O O O O O O O
서울시내 주요 백화점, 면세점부터 패션·뷰티, 의료기관, 식음료 업체까지 다양하게 참여하+ㄴ다 .	LOC-B O O O O O O O O O O
서비스 시작 당시 구독 하+ㄹ 수 있는 전자책은 약 60만권이었다 .	O O O O O O O O O O O
대명건설, ‘가산대명벨리온 오피스텔’ 환승 역세권 가산디지털단지역 인근 오피스텔로 붐업한 오피스텔에 거주하는 김씨(31세)는 이르+ㄴ아침 출근을 하기 위하+여집에서 5분 내 거리 이+ㄴ 가산디지털단지역을 이용하+여7호선을 타고 직장인 강남구청역으로 출근을 하+ㄴ다 .	ORG-B ORG-B O O O LOC-B O O O O O PER-B O O O O O O O O LOC-B O O O LOC-B O O O
배우 최민수(53)가 세월호 참사의 희생자들을 추모하는 노래를 발표하였다 .	O PER-B O O O O O O O
이에 오현경은 "바쁘+ㄴ데 어떻게 신경+쓰어주느냐"고 묻었고 강용석은 "돈만 들여보내고 내가 잘 안 들어가고 있다 .	O PER-B O O O O PER-B O O O O O O O O
프로듀스 101, 연습생 대거 출연… 대중이 프로듀서 .	O O O O O O O O
정부안대로 4천만원 이상의 고액 금융소득에 대하+여서만 종합과세를 하+ㄴ다하+여도 이를 초과하는 금융자산은 늦어도 96년 이전에는 투자든 투기든 실물 쪽으로 몰려들 +ㄹ 것으로 예상되기 때문이다 .	O MNY-B O O O O O O O O O O O O O O O O O O O O O O
문재인 면담 후 비대위 참석 김종인 “사퇴 하루 더 고민 .	PER-B O O O O PER-B O O O O O
》정부가 공급과잉의 위기에 빠지+ㄴ 철강 및 석유화학 부문의 산업구조조정 방향을 내놓았다 .	ORG-B O O O O O O O O O O O
[중앙일보 실시하+ㄴ 국내대학교육평가]어떻게 평가하였 .	ORG-B O O O O
한진그룹의 1000억원으로 급하+ㄴ불을 끄지 못하+ㄴ다면 채권단과 한진그룹 간에 담보 제공을 둘러싸 +ㄴ핑퐁게임이 되풀이되 +ㄹ 여지가 있다 .	ORG-B MNY-B O O O O ORG-B O O O O O O O O O O
당장의 물류 혼란 고비를 무사히 넘기+ㄴ다고 하+ 여도 한진해운이 처리 하+여온 연간 460만 TEU 어치 물량을 어떻게 소화하느냐는 문제가 남아 있다 .	O O O O O O O O ORG-B O O O O O O O O O O O O O
그러나 새정치연합 윤호중 의원은 “우리 경제가 먹었다는 퉁퉁 분국수가 도대체 무엇이냐”며 “대기업을 위하+여법인세는 인상하지 않고 서민에게 부담되는 증세 수단을 동원하+여 국민이 배신감을 느끼고 있다”고 비판하였다 .	O ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O
