중국 언론의 표현대로 일본의 지도자는 비핵화 논의에 ‘끼우어 팔기’식으로 ‘피해자 코스프레’를 하고 있는 셈이다 .	ORG-B O O ORG-B O O O O O O O O O O O
더불어민주당 표창원 의원이 6일 학교 전담경찰관이 담당학교 여고생과 부적절하+ㄴ성관계를 맺어 파문을 일으키+ㄴ점에 대하+여 언급하+ㄴ자신의 발언에 대하+ 여사과하였다 .	ORG-B PER-B O O O O O O O O O O O O O O O O
제품은 갤러리아백화점, 신세계백화점 강남점, 신라호텔 아케이드, 도산공원 플래그십 스토어에서 구매 하+ㄹ 수 있다 .	O ORG-B ORG-B ORG-I ORG-B ORG-I O O O O O O O O
여성의류 브랜드 ‘미쏘’는 8월 9일까지 최대 50% 할인행사를 진행하+ㄴ다 .	O O ORG-B O O O O O O O
외계에 지적생명체가 있다고 하+여도 우리가 그들을 감지하+ㄹ 수 있을까? 외계지적생명체 탐사(SETI) 계획의 창시자 이+ㄴ 프랭크 드레이크는 1961년 ‘드레이크 방정식’을 제안하였다 .	O O O O O O O O O O O O O O PER-B PER-I O O O O O
이 병원은 5월 20일 국내 최초 메르스 환자가 발생하면서 ‘메르스 진원지’ +이라는 오명을 얻었고, 감염자가 계속 나오자 5월 29일 병원 스스로 자체 폐쇄하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O
질문 대상은 케리 장관이었지만 세계적 리더들에게 막말을 하+여오+ㄴ ‘유럽의 트럼프’ 존슨 신임 장관을 겨냥하+ㄴ 것이었다 .	O O PER-B O O O O O O O PER-B O O O O O
해당 영상은 지금까지 318만8395회 조회되며 높은 관심을 받았다 .	O O O O O O O O O
노현희, 성형수술한 이유…"청순가련형으로 거듭나고자 .	PER-B O O O O
한은에서 경제전망을 담당하는 조사국은 인원이 100명에 육박(1일 현재 99명)하고 석·박사급 인재가 다수 포함되 +어 있어 국내 민관연구기관들을 통틀어 양과 질 양쪽에서 최고, 최대의 조직으로 꼽히+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O
이는 상공자원부가 삼성그룹의 승용차 사업 진출과 두 회사의 새롭ㄴ 차종 생산계획을 별도로 처리하기로 내부 방침을 세우었음을 암시하고 있으며, 또 현대정공과 삼성중공업의 새롭ㄴ 차종 생산계획에 긍정적 이+ㄴ해석을 내리고 있음을 시사하고 있다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O ORG-B ORG-B O O O O O O O O O O
그렇 +ㅁ에도 멜라니 알는 트럼프가 “절대 대통령이 되+어서 +ㄴ 안 되는 사람”이라고 그토록 비난하였던 오바마 대통령의 부인 글을 그대로 가지+어다 +었으니 남편이 참머쓱하게 되+어버리었다 .	O O PER-B PER-I PER-B O O O O O O O O O PER-B O O O O O O O O O O
