『93­94 시즌 메트에서 +ㄴ 21개 오페라가 2백6회 공연+되었습니다 .	O O O O O O O O O
대박 영화 ‘국제시장’은 우리 현대사 속에서 가족애와 가장 (家長)의 의미를 실감나게 일깨우+ㄴ 작품으로 오래 기억되+ㄹ 것이다 .	O O O O O O O O O O O O O O O O O
예를 들어 현대차가 한국조세당국에 제출하+ㄴ 국가별 영업활동이 적히 +ㄴ 자금 흐름 보고서를 미국·일본과 공유 하+ㄹ 수 있고, 한국 정부는 미국과 세당국에서 구글이나 애플 등의 국가별 소득·세금 자료를 받을 수 있게 되+ㄴ다 .	O O ORG-B ORG-B O O O O O O O O ORG-B O O O O ORG-B O ORG-B O ORG-B ORG-B O O O O O O O O O
19일에는 1위 OK저축은행을 상대하+여야 해승점 추가를 장담하기가 쉽지 않다 .	O O ORG-B O O O O O O O
75개 농업경영체 인증사업자 선 .	O O O O O
이날 긴급 최고위 도중 회의장을 먼저 나오+ㄴ 유 원내대표는 “내일 의총 소집 요구에 응하었고, 결정에 따르기로 +였다”고 전하였다 .	O O O O O O O PER-B O O O O O O O O O O O
박인비를 맹추격하고 있는 고보경을 비롯하+ 여세계 3위 스테이시 루이스, 4위 유소연, 2013년 이 대회 우승자 렉시톰슨까지 우승 경쟁에 뛰어들어 치열 하+ㄴ 접전을 치르+ㄹ 전망이다 .	PER-B O O PER-B O O O PER-B O O PER-B O O O O PER-B O O O O O O O O O
하지만 중국이 2014년 후반기 이후 최소 7개의 인공섬을 매립 하+ㄴ 뒤 영토주권을 주장하고 활주로 등 군사시설을 건설 하+ㄴ 것에 미국이 반발하면서 미중간 갈등으로 번지었다 .	O ORG-B O O O O O O O O O O O O O O O O O ORG-B O O O O O
“기자 동원 하+ 여경찰에 좀 찔러 보+아” 이석수 특감, 언론과 공모 의혹 불거지+ .	O O O O O O O PER-B O O O O O O
「비오+ㄴ 뒤에 땅이 더 굳어 지+ㄴ 다」는 속담을 생각하자 .	O O O O O O O O O O
천정의 나무 장식은 네덜란드 오크를 1876개 조각으로 자르 아 만들 +ㄴ 것이라고 하+ㄴ다 .	O O O ORG-B O O O O O O O O O O
이 본부장은 “하루빨리 선체 수색을 하+여야 하+ㄴ다는 미수습자의 염원을 알고 있다 .	PER-B O O O O O O O O O O O
미국 도널드 트럼프 행정부의 보호무역주의 기조, G2(미국·중국)의 긴장, 사드 배치와 관련되 +ㄴ 중국과 한국의 마찰 등 마침 통상 이슈가 산재하+여 있는 시점이다 .	ORG-B PER-B O O O O ORG-B O O O O O ORG-B ORG-B O O O O O O O O O
