지금도 한양대 사이버 대 상담심리학과에 다니고 있어요 .	O ORG-B ORG-I ORG-I ORG-I O O O
하지만 새누리당 소속 위원 11명 중 나경원 외통위원장과 강창희 정병국 김영우 의원 등 4명만 참석하+여 ‘반쪽짜리도 안 되는 간담회’ +이라는 지적이 나오았다 .	O ORG-B O O O O PER-B O PER-B O PER-B O O O O O O O O O O O O
내년 대선을 앞두 +ㄴ 한국에서도 분노, 비방의 정치를 막아야 하+ㄴ다는 목소리가 높다 .	O O O O ORG-B O O O O O O O O
문재인 저+ㄴ 더불어민주당 대표가 전인범 전 특전사령관을 캠프에 영입하였다고 발표하+ㄴ 가운데, 전 전 특전사령관이 자신의 페이스북을 통하+여" 페북 친구 5000명 중 현재까지 28명이 이탈하였습니다 .	PER-B O ORG-B O PER-B PER-B PER-B O O O O PER-B PER-B PER-B O O O O O O O O O O O
SK는 화장문화 대중화를 위하+여 화장시설을 기증하거나 사회적 기업을 지원하는 활동 등을 통하+여 한국의 사회공헌활동을 선도하+여+았다 .	ORG-B O O O O O O O O O O O ORG-B O O O
미국의 ABC 방송이 건강에는 좋은 식품으로 알려지+어 있지만 만치아에는 악영향을 끼치는 의외의 식품 4가지를 소개하였다 .	ORG-B ORG-B ORG-I O O O O O O O O O O O O O
그러면서 “(일본은) 대한민국을 수십 년 침공 지배하였던 또 하나의 실질적이+ㄴ 적국이+ㄴ데 과거사 문제 하나도 정리 안 되고 한 상태에서 일본에 다가 군사정보를 팔아먹으려고 저렇게 허둥지둥하는 것+ㄹ보면 저것 +이미치+어도 정말 단단히 미치었다”고 질타 하+ㄴ바 있다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O
2004년 미국 간호사 건강연구회는 육류 섭취가 대장암과 어느 정도 연관성이 있으나 육류 섭취량이 늘 +ㄴ다고 하+여서 대장암 발병률이 증가하는 것은 아니라는 연구결과를 발표하였다 .	O ORG-B ORG-I ORG-I O O O O O O O O O O O O O O O O O O O O
아이유야마틸다야?아이유가 단발로 변신 하+ㄴ이 .	PER-B O O O O
강원도 환동해본부 어업지도선과 해경 경비정 등 2척이 동행 하+여기상이변과 안전사고에 대비 하+ㄴ다 .	ORG-B ORG-I O O O O O O O O O O O
왕이(王毅) 중국 외교부장은 북한의 장거리 미사일 발사 움직임에 대하+여우다웨이(武大偉) 외교부 한반도사무특별대표의 방북을 통하+여 반대 입장을 명확히 전달하였다고 말하였다 .	PER-B ORG-B O ORG-B O O O O PER-B O O O O O O O O O O
이날 방송에서는 ‘문 닫기 전에 가+아보+아야 하+ㄹ 가게’로 총 네 곳의 장면 식당을 소개하였다 .	O O O O O O O O O O O O O O O
