대통령의 장녀 이방카 트럼프도 일조 하+ㄴ 것으로 전하+여지+ㄴ다 .	O O PER-B O O O O O O
도널드 트럼프 미국 대통령은 15일(현지시간) 하와이 연방법원이 반(反)이민수 정 행정명령 발효를 하루 앞두고 관련 법안의 효력을 일시적으로 중단하라는 판결을 내리+ㄴ데 대하+여강하게 비판하였다 .	PER-B O ORG-B O O ORG-B O O O O O O O O O O O O O O O O O
○… 재무부는 4일 오전 홍재형 장관이 기획원 부총리로 발탁 사실이 발표되자 사무실마다 일제히 함성이 터지는 등 온통 축제 분위기 .	O ORG-B O O PER-B O O O O O O O O O O O O O O O
공화당이 합의 무력화를 시도하거나 새롭ㄴ이란 제재 법안을 밀어붙이+ㄹ 가능성이 있기 때문이다 .	ORG-B O O O ORG-B O O ORG-B ORG-B O ORG-B O
국민의당은 문재인 더불어민주당 전 대표가 4차 산업혁명 화두와 관련 하+ 여자당 안철수 전 상임 공동대표와 비슷하+ㄴ 행보를 보이는 것에 3일 "문 전 대표는 '안철수 따르 아+ㅁ쟁이' +이란 별명을 가볍게 넘기지 말라"고 비난하였다 .	ORG-B PER-B ORG-B O O O O O O O O PER-B O O O O O O O O PER-B O O PER-B O O O O O O O O O
김경록 대변인은 이날 논평에서 "문 전 대표의 '안철수 따르 아하기'가 도를 넘고 있다"며 "남의 뒤꽁무니만 쫓는 대통령 후보에게 미래를 맡기 +ㄹ국민은 없다"고 주장하였다 .	PER-B O O O PER-B O O PER-B O O O O O O O O O O O O O O O O
김 대변인은 "문 전 대표는 개헌에 부정적 입장을 내놓다가 안 전 대표가 '2018년 지방선거 때 국민투표에 부치자'는 구체적 실현 계획을 내놓+아호평 받자 슬그머니 똑같은 주장을 따르+아하였다"며 "박근혜 대통령 퇴진과 탄핵 요구도 안 전 대표가 먼저 나서+어 정치권 흐름을 이끌면 어느새 +이+ㄴ가 비슷하+ㄴ말을 하며 뒤를 쫓았다"고 주장하였다 .	PER-B O PER-B O O O O O O PER-B O O O O O O O O O O O O O O O O PER-B O O O O PER-B O O O O O O O O O O O O O O O
이어 "안 전 대표가 이미 방문하였던 장소를 찾아 유사하+ㄴ 행사와 발언을 하는 일도 한두 번이 아니다"고 문 전 대표의 이날 팹랩 방문을 겨냥하였다 .	O PER-B O O O PER-B O O O O O O O O O O PER-B O O O ORG-B PER-B O O
훌리건의 과격 하+ㄴ 응원이 난무하었던 이번 대회에서 아이슬란드 팬들은 신사적 이+ㄴ 응원으로 화제를 모으았다 .	O O O O O O O ORG-B O O O O O O O
투애니원과 블랙 핑크, 굳이 “차별화하지 않았다”고 하+ㄴ 만큼 두 그룹은 여러 면에서 ‘닮은꼴’을 완성하+ㄴ다 .	ORG-B ORG-B O O O O O O O O O O O O O
‘카카오톡 감청 논란’, ‘국세청 세무조사’ 등 이슈가 끊이지 않았다 .	O O O ORG-B O O O O O O
인구 10만명 당보행자 사망률은 OECD 국가평균(1.2명)의 3배 이상이다 .	O O O O ORG-B O O O O
또한 한층 고급스럽어 지+ㄴ 내장 디자인과 1643리터의 동급 최강의 적재공간, 합리적 가격 경쟁력 등이 특징이다 .	O O O O O O O O O O O O O O O O
