특히 이선규와 곽동혁의 합류로 누리는 ‘베테랑 효과’가 기대 이상이라는 평가+이다 .	O PER-B PER-B O O O O O PER-B PER-I O
덕장이+ㄴ 강성형 감독의 리더십도 선수들의 동기부여 측면에서 효과가 크다는 평가. KB손해보험 구단 관계자는 “이선규와 곽동혁 둘 다 우승을 경험하+여보+ㄴ 선수+이다”며 “그 경험을 토대로 선수단의 분위기를 끌어올리고 있다 .	O PER-B O O O O O O O O ORG-B O O PER-B PER-B O O O O O O O O O O O O O
비틀스드러 머링고 스타, 11월 첫 내한공 .	ORG-B PER-B PER-I O O O O
송일국 측은 "며칠 전 아내의 페이스북 글로물의를 일으키+ㄴ 것에 대하+여 깊은 사죄의 말씀을 드리+ㄴ다"고 입을 열었다 .	PER-B O O O O O O O O O O O O O O O O
연구팀은 이렇게 만들 +ㄴ음극을 이용하+여 g당 130mA h의 용량을 1분 이내에 완전히 충방 전하는 데 성공하였다 .	O O O O O O O O O O O O O O O O O
학교 앞을 홍대 앞처럼 바꾸면 더 많은 사람이 대학의 낭만을 즐기+ㄹ 수 있을 것이라는데 생각이 미치었다 .	O O LOC-B O O O O O O O O O O O O O O
새누리당과 고용노동부는 2일 국회에서 노동시장 구조개혁에 관하+ㄴ당정협의를 열고 정부가 이 같은 지침을 마련하는 방안을 추진하기로 +였다 .	ORG-B ORG-B O O O O O O O O O O O O O O O
강남통신 김소엽기자 lumen@j oongang. co.kr▶강남통신기사를 더 보시려면 여기를 클릭하세요 .	ORG-B PER-B O O ORG-B O O O O O
이어 관계자는 “장시호씨가 이것저것 폭로하다 보니 부풀리+어지+ㄴ 측면이 있는 것 같다”며 “정식 교제설도 그렇고, 동계영재센터도 술자리에서 '이거 어떻+어?' 정도의 뉘앙스로 오가+ㄴ 얘기+이었다”고 설명하였다 .	O O PER-B O O O O O O O O O O O O O O O O O O O O O
9450억 들는 신라왕경 복원 순항… “세계문화유산 해제되 +ㄹ+이라” 우려 .	MNY-B O O O O O O O O O
군 복무 공백기로 인하+여소홀 하+여지+ㄴ 일본어 실력을 다지기 위하+여날마다 일본 원어민과 전화통화하는 것은 물론, 일본어 감각을 익히고자 예정되어 있던 일정보다 먼저 일본에 입국하는 등의 노력으로 막히+ㅁ 없는 일본어로 관객들과 소통하였다 .	O O O O O ORG-B O O O ORG-B O O O O ORG-B O O O O O O ORG-B O O O O O ORG-B O O O
