지금은 국민연금 보험료를 40년 내면 40%를 받게 되+어 있다 .	O O O O O O O O O O
탄핵심판을 받고 있는 박근혜 대통령이 헌법재판소에 제출하+ㄴ 답변서에서 “최순실 국정관여는 1% 미만”이라고 주장 하+ㄴ 것과 같은 맥락이다 .	O O O PER-B O O O O PER-B O O O O O O O O O
불과 2009년 5월 의료법이 부분 개정되+ㄴ후 7년간 벌어지고 있는 폭발적 이+ㄴ 성장세이+ㄴ 것이다 .	O O O O O O O O O O O O O O
공원장은 “옮기려면 부지 구입비와 시설비로 3억~4억원이 필요하다”며 “1억7000만원 빚을 걸 머지 +ㄴ 상태+이라 이런 이 전 비용 마련은 엄두도 못 내고 있다”고 말하였다 .	PER-B O O O O MNY-B O MNY-B O O O O O O O O O O O O O O O O
이로 인하+여중도금과 잔금대출의 원금 상환 시점이 5년 앞당기+어지+ㄴ다 .	O O O O O O O O O
GDP 규모를 고려하면 싱가포르가 우리보다 21배나 많은 외국인 투자를 유치하고 있는 셈이다 .	O O O ORG-B ORG-B O O O O O O O O
트럼프는 미국의 낙후되 +ㄴ 인프라를 지적하며 “중국·두바이·카타르에 있는 공항에 있다가 미국 공항에 도착하면 ‘우리나라가 제3세계 국가가 +었다’는 생각이 들+ㄴ다”고 말하였다 .	PER-B LOC-B O O O O LOC-B O O O LOC-B O O O O O O O O O O
이달 공식 출시에 앞서 +어지나 +ㄴ 2월부터 사전계약에 돌입하+ㄴ SM6는 영업일 기준 17일 만에 1만1000대가 계약되며 ‘돌풍’을 예견하+ 여+았다 .	O O O O O O O O O O O O O O O O O O O O
공부에 대하+ㄴ 열망이 꺾이지 않은 조 할머니는 75세이던 지나 +ㄴ 2011년 일성여중고에 입학하+여대학 진학의 꿈을 키우+어오았다 .	O O O O O PER-B O O O O O O O O O O O
조 할머니는 수능 전날 한 방송과 인터뷰에서 “대학에 가고 싶고 또 가+ㄹ 것+이다 .	PER-B O O O O O O O O O O O O O
19대 총선 때는 대구에서 12명의 현역 의원 중 7명이 공천에서 배제되었었다 .	O O O LOC-B O O O O O O O O
정두홍조차 "무리+이다"라고 혀를 내두르는 액션신을 류 감독은 어떻게든 해내고야말 +ㄴ다 .	PER-B O O O O PER-B O O O O O
또 사드(고고도미사일방어) 체계 배치에 반대하는 야당 등을 향하+여 “대안 없는 정치공세에서 벗어나라”고 주문하고, 관련 정부 부처에 “국내 불순세력이나 사회 불안 조성자들에 대하+ㄴ 철저하+ㄴ 감시”를 지시하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
