회동이 끝나 +ㄴ 뒤 문 대표는 “박 대통령의 생각을 알+ㄹ 수 있었고, 박 대통령도 얘기를 경청 하+여 +었다”고 말하였다 .	O O O O PER-B O PER-B O O O O O PER-B O O O O O O O
대단지 오피스텔, ‘신양산 코아루캠퍼스시티’ 인기리에 분양 중! 경상남도 양산시 물금읍 범어리2775-10번지에 위치하+ㄴ ‘신양산 코아루캠퍼스시티’ 오피스텔 의 견본주택이 지나 +ㄴ 23일 성황리에 개관하였다 .	O O O O O O O LOC-B LOC-B LOC-B LOC-B O O O O O O O O O O O O
돌아오+ㄴ ‘영희’는 선배들과의 만남을 잇어가면서 삶과 사랑을 보는 세상의 시선에 대하+여 끊임없이 묻는다 .	O PER-B O O O O O O O O O O O O
김민희는 ‘영희’를 통하+여 “배고프다” .	PER-B PER-B O O O
30여년을 미슐랭 3스타 셰프로 살아오+ㄴ 프랑스 요리계의 거성이 견습생과 함께 쓰레기통 앞에서 박스를 정리하다니.놀라움은 계속 이어지었다 .	O O O O O LOC-B O O O O O O O O O O O
미국 암 연구협회도 최근 비만과 복부비만이 술과 붉은 고기 섭취 못지않게 대장암 발생 위험을 높이 +ㄴ다는 연구결과를 내놓았다 .	ORG-B O O O O O O O O O O O O O O O O O O
대형 건설사의 CBSI는 올해 내내 100 이상을 유지하였지만 11월 92.3으로 하락하였다 .	O O O O O O O O O O O O
“이 노래를 부르+ㄹ 때마다 하늘을 보+ㄴ다”던 마틴은 이날도 무대에 눕어 도입부를 부르었고 “별을 보면서 감사하는 마음을 갖게 되+ㄴ다”는 그의 마음 역시 팬들에게 고스란히 전하여 +지+었기 때문이다 .	O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O
유상무를 비롯하+ 여황제성, 김두영, 하준수, 박나래 등의 멤버들의 환상적 이+ㄴ 호흡으로 많은 사랑을 받고 있지만 유상무가 이번에 성폭행 논란에 휘말리면서 ‘깝스’가 재정비를 하+여야 하는 상황이다 .	PER-B O PER-B PER-B PER-B PER-B O O O O O O O O O PER-B O O O O O O O O O O
앞서 ‘코미디 빅리그’ 측은 유상무의 성폭행 의혹 사건과 관련, 경찰의 공식 발표가 나오기 전까지 추가 녹화는 없으며 이미 진행되+ㄴ 녹화분은 최대한 편집하겠다는 입장을 밝히+ㄴ바 있다 .	O O O O PER-B O O O O O O O O O O O O O O O O O O O O O
중국의 고사를 빌리+어다 해박 하+ㄴ 지식과 높은 상상력으로 대작을 탄생시키+ㄴ 것이 +ㄴ데, 인물들의 옷 주름이며 저마다의 감정을 나타내는 표정이며 손에 들+ㄴ 물건들이 하나하나 살아 움직이고 있지 않은가.이 인물 속에 김홍도 자신도 있을 진 저.그래서 그를 화선((화, 획) 仙)이라 하지 않던가.시인은 ‘거꾸로 앉았으니 당나귀가 가려는 곳으로 / 그가 데리+어다주 +ㄹ, 끝없이 펼쳐 지+ㄹ벼 이삭들’이라 +였는데 우리도 저붓춤 속에 들어가 +아한바탕신 선놀음에 취하+여보+ㄹ일이다 .	LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
미국인의 약 30%가 근시다 .	O O O O O
이번 전기에서 스티브 잡스의 TV 관련 일화도 공개되었다 .	O O PER-B O O O O O O
‘장영실’ 삼둥이 카메오로 시청률 상승 ‘쑥↑’… 연기력도 대박! ‘아역 데뷔 하+ㄹ 기세 .	O O O O O O O O O O O O O
또 가수 유미, 배다하+여 등도 황금락 카두통+쓰었네의 정체로 거론되 +ㄴ바 있다 .	O O PER-B PER-B O PER-B O O O O O O
