최근 기욤과 송민서는 ‘비정상회담’ 멤버들 앞에서 가상 결혼의 시작을 알리었다 .	O PER-B PER-B O O O O O O O O
표창원 “이철희 소장님과 권미혁 대표님의 더민주 합류환영”최근 JTBC ‘썰전’에서 하차하며 많은 관심을 받았던 이철희 두문정치전략연구소장이 더불어민주당 입당 소식이 전하여 +지+었다 .	PER-B PER-B O PER-B O ORG-B O ORG-B O O O O O PER-B O ORG-B O O O O O
앞서 더불어민주당에 입당하+ㄴ 표창원은 19일 자신의 SNS를 통하+여 “이철희 소장님과 권미혁 대표님의 더민주 합류를 진심으로 환영하+ㅂ니다” +이라며 “어서 오시+어서 함께 변화를 만들어 주시기 +ㄹ!”이라며 관련 기사를 링크하였다 .	O ORG-B O PER-B O O O O PER-B O PER-B O ORG-B O O O O O O O O O O O O O O O
이철희 소장은 민주당 전략기회 위원회 상임부위원장, 민주정책역 구원부원장 등을 지내+었으며, 최근에는 ‘국민의당(가칭)’에 합류하+ㄴ 김한길 전 새정치민주연합 공동대표를 보좌하였었다 .	PER-B O ORG-B ORG-I ORG-I ORG-I ORG-B ORG-I O O O ORG-B O PER-B O ORG-B O O O
이에 더불어민주당은 오늘(20일) 이철희 소장을 인재영입 14호인사로 발표하+ㄹ 것으로 알려지었으며, 이와 함께 귄미혁 한국여성민우회 대표도 함께 입당을 발표하+ㄹ 것으로 알려지었다 .	O ORG-B O PER-B O O O O O O O O PER-B ORG-B O O O O O O O
카카오페이는 시장 변화도 이끌어내 +었다 .	O O O O O O
‘님과 함께 2’ 기욤♥ 송민서, 옷 벗고 온천 데이트… 실제 커플 다운 ‘과감하 +ㄴ스킨십 .	O O O PER-B PER-B O O O O O O O O O O
27일 향년 90세를 일기로 타계하+ㄴ 고구봉서가 세상을 떠나기 직전까지 보육원을 후원하+어오+ㄴ 사실이 뒤늦게 알려지었다 .	O O O O O PER-B O O O O O O O O O
북측 대표단은 평화의 집 인근에서 배달 하+여온 한식 도시락을 나누+어 먹거나 북한으로 가+아서 식사를 하고 돌아오기도 +였다 .	O O LOC-B LOC-I O O O O O O O LOC-B O O O O O O
롯데월드몰 관계자는 “지하 2∼6층 주차장은 동시에 2756대를 수용 하+ㄹ 수 있는 공간이 +ㄴ 데이 중 평균 14%밖에 차지 않는다”고 말하였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O
또한 40년 이상의 녹용건조 노하우를 보유 하+ㄴ 뉴질랜드 현지 전문기업의 진공 건조를 통하+여국내까지 최적의 품질을 유지하는 한편 우수 건강기능식품 제조시설 및 HACCP 등 각종 품질보증시설에서 철저하+ㄴ 품질관리 절차에 따르 아제조 하+ㄴ다 .	O O O O O O O ORG-B O O O O O O O O O O O O O ORG-B O O O O O O O O O O
송씨는 창간 30주년 때까지는 배달되+ㄴ 신문을 지하 창고에 모으아 +었다고 하+ㄴ다 .	PER-B O O O O O O O O O O O
사회적기업 노리단이 만들 +ㄴ 멀티미디어·디지털 예술축제 ‘스펙트럼 신디캣’이다 .	O ORG-B O O O O O O O
[배구 슈퍼리그] 대한항공 ＂ 승리얼마만이냐 ＂… 12연패 .	O O ORG-B O O O O O
박종오 경기 바둑협회 전무는 “바둑의 스포츠화는 이제 본격적으로 첫걸음을 옮기었다 .	PER-B ORG-B ORG-I O O O O O O O O
페데리코 롬바르디 교황청 대변인은 “이번 새 추기경 임명은 프란치스코 교황이 주요국의 크+ㄴ도시에서만 추기경을 배출하는 것을 당연시하는 관행에 얽매 이어 있지 않음을 보이어 주+ㄴ 것”이라고 설명하였다 .	PER-B PER-I ORG-B O O O O O PER-B O O O O O O O O O O O O O O O O O
