배심원 7명은 만장일치로 유죄로 판단하였다 .	O O O O O O
검찰은 박씨가 사건 전날 화투를 치다가 심하게 다투었다는 피해자 진술, 피고인 옷과 전동 휠체어, 지팡이 등 21곳에서 농약 성분이 검출되+ㄴ점, 집에서 농약 성분이 들+ㄴ드링크제 병이 나 오+ㄴ점 등을 증거로 제시하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
또한 50여분 동안 사건 현장에 있으면서 구조 노력을 하지 않는 등 범행 전후 미심쩍은 행동 등 도박 할머니를 범인으로 지목하+ㄴ이 유+이라고 검찰은 설명하였다 .	O O O O O O O O O O O O O O O O PER-B O O O O O O O
피고인 측 변호인단은 1, 2심에서 범행 동기, 농약 투입 시기, 고독성 살충제 구입 경로 등 직접 증거가 없다고 이를 반박하였다 .	O O O O O O O O O O O O O O O O O O O O O
변호인단은 앞서 +어 결심 공판에서 “80대 노인이 당황하+ㄴ 상황에서 전화 다이얼을 누르어 구조요청을 하기는 쉽지 않다”며 “피고인이 잘못되+ㄴ 판단으로 구조가 지연되+ㄴ 것은 사실이나 판단 착오를 비난 하+ㄹ 수는 있어도 범인으로 몰+ㄹ 수는 없다”고 주장하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
박 할머니는 앞서 +어항소심 결심 공판 최후 진술에서 “나는 절대로 농약을 넣지 않았다 .	PER-B O O O O O O O O O O O O O
통계청이 발표하+ㄴ ‘2016년 양곡소비량 조사결과’에 따르면 지난해 우리 국민 1인당 연간 쌀 소비량은 61.9kg으로 1인당 하루 쌀 소비량은 169.6g이었다고 하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O O
동아전람이 주최하는 이번 행사에는 가전과 주방용품, 욕실용품, 홈인테리어, 가정용품, 가구, 차(茶)·공예품, 판촉 및 선물용품, 기타 생활용품 등이 전시되 +ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O
출연자 노유민은 아내 이명천과 전화통화를 시도하였다 .	O PER-B O PER-B O O O
올해 1월에 열리+ㄴ SIHH에서도 고급 시계들은 새롭ㄴ 무브먼트(시계 작동장치), 투르비옹 기술(중력으로 생기는 오차를 보정하는 장치), 퍼페추어 +ㄹ 캘린더(윤년·윤달까지 잡아내는 날짜 자동 계산장치) 등 신기술을 앞세우어 경쟁하었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
0.6%p 상승 하+ㄴ 23.7%의 지지율을 보이며 7주 연속 1위를 지키었다 .	O O O O O O O O O O O
25일 오후 고향이+ㄴ 전 남 곡성에서 먼저 체포되 +ㄴ 최씨는 27일 구속영장이 발부되 +어수감되었다 .	O O O O O LOC-B O O O PER-B O O O O O
필요하면 최근 귀국 하+ㄴ신씨를 소환하+ㄹ 방침이다 .	O O O PER-B O O O
신한금융지주와 우리은행은 4일 차기 CEO 인선 작업을 시작하였다 .	ORG-B ORG-B O O O O O O O
그는 2011년 12월 김정일 이 사망하자 사이버 분향소를 설치하고 “김정일은 민족의 위대하+ㄴ 지도자”+이라는 취지의 애도글을 올리+ㄴ 혐의 등으로 지난해 6월 징역 1년 집행유예 2년이 확정되+ㄴ바 있다 .	O O O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O
