구에 따르면 이번에 청소를 재개하+ㄴ 17일부터 수거되고 있는 평일 쓰레기 양도 3t에서 1t으로 크게 줄었다 .	O O O O O O O O O O O O O O O O
기온 떨어지+어부상 방지·컨디션 조절 난항 NC·KIA·LG·kt훈련 일정도 취소·변경 강풍에 진눈깨비까지 ? 미국 애리조나주 투산에서 전지훈련 중 이+ㄴ NC선수단은 2일(한국시간) 숙소를 나서다가 깜짝 놀라 +았다 .	O O O O O ORG-B O O O O O LOC-B LOC-B O O O O ORG-B LOC-B O O O O O O
개회식에서는 이번 세미나의 주제 이+ㄴ ‘KECA별이 되다’를 형상화 하+ㄴ KECA 조형물에 전국 1만5천여 전기공사 기업인의 염원을 담은 21개의 별을 시도 회장과 중앙회 회장이 점등하는 합성식(合星式) 행사를 진행하였다 .	O O O O O ORG-B O O O ORG-B O O O O O O O O O O O O O O O O O O
의사·간호사 등 의료인력의 1인당 환자 수가 평균 이하로 적고 약사·방사선사·사회복지사의 재직기간이 길+ㄴ 곳이 인력 보유 수준이 우수하+ㄴ병원이다 .	O O O O O O O O O O O O O O O O O O
그동안 ‘신화’+이라는 이름을 지키+ㄹ 수 있도록 많은 응원과 지지를 보내+어주시+ㄴ팬 여러분께 깊은 감사의 말씀을 전하며, 앞으로 ‘신화’ +이라는 이름이 더욱 빛나+ㄹ 수 있도록 최선을 다 하+여 노력하겠다”고 전하였다 .	O ORG-B O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O
연말정산시 공제율이 30%로, 신용카드(15%)보다 공제도 더 받을 수 있다 .	O O O PER-B O O O O O O
정의석 도로교통공단 서울지부 교수는 “고령자들이 과거에 비하+여 반응 속도나 주의력이 떨어지+ㄴ다는 것+ㄹ인 지하+ㄹ 수 있도록 지속적 이+ㄴ 안전교육이 필요하다”며 “운전자들도 고령자를 배려하+여노인 보호구역뿐 아니라 일반 도로에서도 보행자를 보호하려는 자세를 갖추+어야 하+ㄴ다”고 말하였다 .	PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O
‘응답하라 1988’ 류혜영, 자다가 오디션?“한 번은 자다가…” 배우 류혜영이 ‘응답하라 1988’ 출연을 확정하+ㄴ 가운데, 류혜영의 과거 ‘나의 독재자’ 캐스팅비화가 재조명 받았다 .	O O PER-B O O O O O PER-B O O O O O PER-B O O O O O O O
류혜영은 지나 +ㄴ 2월 한 매체와의 인터뷰에서 “미국에서 잠시 쉬고 있을 때 이해준 감독님이 미팅을 하고 싶어 하시+ㄴ다는 말을 전하+ 여 듣었다 .	PER-B O O O O O O LOC-B O O O O PER-B O O O O O O O O O O
‘아들 출산’이나 영♥ 원빈, 졸업사진 보니… ‘갸름 하+ㄴ 턱선++오똑 하+ㄴ콧날’ 2세기 대감 .	O O O PER-B O O O O O O O O O
중국과 일본에 비하+여 새로 들어오는 일감은 적은데 건조를 마치 +ㄴ 선박은 더 많았다는 설명이다 .	ORG-B ORG-B O O O O O O O O O O O O O
