예를 들어 참여정부 첫 총리 로 고건 씨를 임명하였는데, 요즘 잣대로 보면 청문회 통과가 힘들었어요 .	O O O O O O PER-B O O O O O O O O O
IS 지도자의 측근이라면서 “시리아로 오면 좋은 아파트에 살게 하+여주겠다” 더랍니다 .	ORG-B O O LOC-B O O O O O O O
조인성 트레이스 출연?"차기작으로 영화 검토 중이기+ㄴ하지만..."한 재림감독의 신작 '트레이스'에 배우 조인성이 출연하+ㄴ다는 보도에 대하+여조인 성 측은 "사실이 아니다"고 밝히었다 .	PER-B O O O O O O O O O PER-B O O O O O O O O O
조인성의 소속사 IOK엔터테인먼트의 한 관계자는 10일 "한 재림감독의 작품을 제안받고 검토 중이기+ㄴ 하+ㄴ데그 작품이 '트레이스'는 아니다"면서 "아직 논의가 진행되고 있는 만큼, 차기작에 대하+여 확정적으로 말하기 +ㄴ 어렵 ㄴ 상태+이다"고 밝히었다 .	PER-B O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
'트레이스'는 고영훈 작가의 동명 웹툰을 영화화하는 작품으로 100억원대 SF 액션물이다 .	O PER-B O O O O O MNY-B O O O
형사1은 진실을 알고 있는 .	O O O O O
신용불량 때문에 대출이나 금융거래에 어려움을 겪던 A씨는 김씨의 제안에 속아 총 4600만원을 김씨에게 건네+었다 .	O O O O O O PER-B PER-B O O O MNY-B PER-B O O
‘축구 황제’ 펠레(76)가 9일(현지시간) 일본계 여성과 결혼하였다 .	O O PER-B O ORG-B O O O
5위 경쟁을 펼치고 있는 한화가 ‘토털 마운드’로 마지막 스퍼트를 준비하고 있다 .	O O O O ORG-B O O O O O O O
김씨는 어리+ㄴ 시절 아버지의 사업이 부도를 겪으며 서울의 판잣집으로 이사 오+ㄴ 후달고 나 장사, 석간 신문 배달, 대형 트럭 운전사 일을 하며 학업을 마치 +ㄴ 것으로 전하여 +지+었다 .	PER-B O O O O O O LOC-B O O O O O O O O O O O O O O O O O O O O O
이희호 여사 방북, 테러단체 언론사에 성명서… “전세기 폭파 하+ㄹ 것 .	PER-B O O O O O O O O O O
이제 관련 4건의 기술에 대하+ㄴ 수출 거부가 확인되었기 때문에 KFX의 예산 확보에 난항이 예상되 +ㄴ다 .	O O O O O O O O O ORG-B O O O O O O
