한편 '알는 형님'은 인생을 살다 보면 마주치게 되는 사소하지만 궁금하+ 여견디+ㄹ 수 없는 시청자의 질문에 출연진이 다양하+ㄴ 방법으로 정답을 찾는 프로그램이다 .	O O O O O O O O O O O O O O O O O O O O O O
더불어민주당을 탈당하+ㄴ 김종인 전 비대위원장이 18일 “대선 출마에 대하+여 어떤 결정을 하는지 지켜보+아달라”며 대선 출마 가능성을 열어놓+았다 .	ORG-B O PER-B O O O O O O O O O O O O O O O
김 전 비대위원장은 이날 오전 부산 해운대구 해운정사에서 조계종 종정이+ㄴ 진제 스님과 오찬을 가지+ㄴ 후기자들과 만나 +아 “지금까지 (대선 출마) 고민을 솔직히 많이 하+ㄴ 것+이 사실이다”며 이같이 밝히었다 .	PER-B O O O O LOC-B LOC-I O ORG-B O PER-B O O O O O O O O O O O O O O O O O O
김 전 비대위원장은 “대선에 뛰어들어서 성취하+ㄹ 수 있을 것이 +ㄴ가 판단을 스스로 하+여보+아야 하+ㄴ다”며 “혼자 힘으로 가능하다고 생각되면 결심 하+ㄹ 수 있지만, 불가능하다고 생각하면 안 하+ㄹ 수 있다”고 대선 출마를 고민 중 이+ㅁ을 밝히었다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그러면서 “정치는 항상 움직이는 것”이라며 “아직 시간이 조금 남아 있으니 한 번 두고보자”고 덧붙이었다 .	O O O O O O O O O O O O O O O
김 전 비대위원장은 최근 논란이 되고 있는 개헌에 대하+여서는 “민주당 대선주자들은 다음 지방선거에서의 개헌을 확실하+ㄴ 공약으로 내놓+아야 하+ㄴ다”고 목소리를 높이었다 .	PER-B O O O O O O O O ORG-B O O O O O O O O O O O
그는 “3당이 개헌을 발의하+ㄴ다고 하지만 민주당 쪽에서 흔쾌하+ㄴ 자세를 보이지 않고 있다”며 “대선 전 개헌에 대하+여 상당히 회의적으로 생각하+ㄴ다”고 대선 전 개헌을 부정적으로 전망하였다 .	O O O O O ORG-B O O O O O O O O O O O O O O O O O O O
현재 건축계 노벨상이라 불리는 프리츠 커 뿐 국제심사위원으로 활동 중 이+ㄴ 톰 메인은 모포시스 건축그룹의 창업자이자 CEO로, 미국 정부 건축문화 부문의 최고 자문위원으로도 활동하고 있다 .	O O O O O O O O O O O PER-B PER-I ORG-B ORG-I O O ORG-B ORG-I ORG-I O O O O O O
고조남철 9단이 한성기원을 세우며 한국 현대 바둑의 씨앗을 뿌리었다 .	PER-B O ORG-B O ORG-B O O O O O
무역업체 쉘라인의 김영심 대표는 “해외 진출을 위하+여서는 관세정책 등을 조사하+여야 하는데 조사하+ㄹ 때마다 다르 아서 어려움이 많다”며 “정부에서 관세정책을 일목요연하게 정리 하+여주면 좋겠다”고 제안하였다 .	O ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O
XE는 주행성능을 확보하기 위하+여차 체 무게 배분을 전후 50대 50으로 설계하였다 .	O O O O O O O O O O O O
그래서 그렇 +ㄴ지, 이번 회담과 관련 하+여중국은 오히려 우호적이고 협력적 이+ㄴ 분위기의 회담이라는 점을 부각시키기 위하+여무척 힘을 쓰고 있는 것 같다 .	O O O O O O ORG-B O O O O O O O O O O O O O O O
3년간 24시간 보수교육(연수교육)만 받으면 그만이니 운전면허증 갱신만도 못하+ㄴ셈이다 .	O O O O O O O O O
의 ‘오차장’ 역할을 통하+여보이어 주+ㄴ 승부사적 기질을 기반으로 (주)딜리버리 서비스의 배달 애플리케이션 ‘최고 배달’의 메인 모델로 발탁되+ㄴ 것.(주)딜리버리 서비스 관계자는 “다른 부서의 뒤치다 꺼리를 담당하는 부서로 좌천되었으나 사회생활을 통하+여 쌓은 통찰력과 승부사 기질을 보이어 주+ㄴ ‘오차장’의 이미지가 ‘최고 배달’ 과일맥상통하다고 여기 +어그를 메인 모델로 발탁하게 +었다”고 전하였다 .	O PER-B O O O O O O ORG-B ORG-I O O O O O O O ORG-B ORG-I O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O
수용되+ㄴ 정치범 6백 명 가운데 55명의 명단을 발표하면서 그곳의 참혹상을 매우 구체적으로 공개하였다 .	O O O O O O O O O O O O O O
