국경을 넘어 캐나다 온타리오주와 퀘벡주의 노선까지 보유하였다 .	O O LOC-B LOC-B LOC-B O O O
24일(한국시간) 새벽에는 벨기에의 KAA 헨트와 유로파리그 32강 2차전도 가지었다 .	LOC-B O ORG-B ORG-B ORG-I O O O O O
‘올드스쿨’ 홍종현 “이상형?‘우결’ 유라”…왜? ‘올드스쿨’ 배우 홍종현이 ‘우결’에서 가상 부부로 호흡을 맞추+ㄴ걸그룹 걸스데이 멤버 유라에게 미안하+ㄴ 마음을 전하였다 .	O PER-B O PER-B O O PER-B O O O O O ORG-B O PER-B O O O O
21일 오후 방송되+ㄴ SBS 파워FM ‘김창렬의 올드스쿨’에는 홍종현이 게스트로 출연하+ 여입담을 뽐내 +었다 .	O O O O O O O PER-B O O O O O O
이날 홍종현은 과거 MBC 예능 프로그램 ‘우리 결혼하었어요’에 함께 출연하+ㄴ유라를 언급하며 “방송 하+ㄹ 때도 그렇었지만 아쉽 ㄴ 부분이나 미안하+ㄴ 부분이 있다”며 “나+의 딴에는 정말 편하게 아무것도 없는 것처럼 하자고 +였는데 카메라도 많고 사람도 많으니까 솔직히 많이 의식이 되+ㄴ 것 같다”고 고백하였다 .	O PER-B O ORG-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이어 “따로 유라랑 얘기하거나, 둘이 놀+ㄹ 때 작가님들이 ‘그냥 이렇게 하면 안 되냐.이것+이 더 사이도 좋아 보이고 예쁘다’고 +였다”며 “그것+ㄹ 듣고 내가 완벽하게 못 +였다는 생각이 들었다”고 덧붙이었다 .	O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
이날 홍종현은 자신의 이상형에 대하+여서도 털어놓았다 .	O PER-B O O O O O
다시 말 하+여주자로 나가면 상대가 압박감을 느끼+ㄹ만 하+ㄴ 선수가 부족하었다 .	O O PER-B O O O O O O O O
기상청은 23일 “북태평양 고기압이 확장하면서 태풍 12호 할롤라가 현재 경로에서 전체적으로 약간 서쪽으로 더 진행하면서 우리나라에 영향을 주+ㄹ 것으로 보이+ㄴ다”고 밝히었다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O
할롤라는 이날 오후 3시 현재 일본 오키나와 동남동쪽 약 760km 부근 해상에서 서북서진 중이다 .	O O O O O LOC-B LOC-B O O O O O O O O
이날 파키스탄 법원은 굴라에게 2주 구류 후 강제 추방을 선고하였다 .	O LOC-B O PER-B O O O O O O O
장영훈jang@donga. com·정재락·강성명기 .	PER-B PER-B O
서울-세종민자고속도로 사업 추진, 129분 →74분 단축...완공 언제? 정부가 서울과 세종을 연결하는 고속도로 민자사업을 추진하+ㄴ다 .	LOC-B O O O O O O O LOC-B LOC-B O O O O O
미국은 세계시장에서 거래되는 콩과 옥수수의 대부분을 수출하는데, 미국 콩과 옥수수는 90%가 GMO+이다 .	ORG-B O O O O O O ORG-B O O O O O
김성훈 경실련 소비자정의센터 대표를 비롯하+여GMO가 해롭다고 주장하는 측에서 자주 거론하는 실험 결과가 있다 .	PER-B ORG-B ORG-I O O O O O O O O O O O
치프라스 총리는 120억유로를 지원하는 채권단의 구제금융 프로그램 5개월 연장안은 “정부 부채만 증가시키고 연말에 더 가혹하+ㄴ각서를 요구하게 되+ㄹ 것”이라며 거부 의사를 밝히었다 .	PER-B O MNY-B O O O O O O O O O O O O O O O O O O O
소폭 하락하였지만 5주 연속 1위는 지키었다 .	O O O O O O O
