송만세, 사랑이 향하+여'일일흑기사'자 .	PER-B PER-B O O
안산 인질극, 범인아내의 전 남편-의붓딸 사망… 현장에 있던 큰딸과 친구는 .	LOC-B O O O O O O O O O O
9월 신규 취업자 수가 30만명대를 회복하며 넉 달 만에 최고 수준을 나타내 +었다 .	O O O O O O O O O O O O O O
여기에 ‘헬보이’ 장원준(코리안 탑팀)과 ‘고독하+ㄴ늑대’ 안정현(옥타곤 멀티짐)의 밴텀 급매치, TOPFC 무대에서 연승가도를 달리고 있는 ‘주짓수 블랙 벨트’ 최정범(파라에스트라 청주)과 김주환(러쉬 클랜MMA)의 플라이급 매치 등 다양하+ㄴ 체급의 경쟁력 있는 선수들이 치열 하+ㄴ각축전을 벌이+ㄹ 전망이다 .	O O ORG-B ORG-I O ORG-B ORG-I O O O O O O O O O O ORG-B ORG-I ORG-B ORG-I O O O O O O O O O O O O O
TOPFC 10은 3월 중순 서울에서 개최되 +ㄴ다 .	O O O O LOC-B O O O
1단계 선정지가 도심 강북 지역에 집중되었다면 최근 2차로 선정되+ㄴ 17개소는 영등포·경인로 일대부터 중구 정동, 성동구 마장동, 용산구 용산전자상가, 강북구 4·19사거리 등 서울 곳곳으로 대상지를 넓히었다 .	O O O LOC-B O LOC-B O O O O LOC-B O LOC-B LOC-I LOC-B LOC-I LOC-B LOC-I LOC-B LOC-I O LOC-B O O O O
이어 “올 한해 KBS 여러분 고생 많으시었다 .	O O O ORG-B O O O O
LG는 비록 플레이오프에서 NC에 +었지만 포스트시즌을 치르면서 앞으로 몇 년 동안 LG 뒷문을 굳게 지키+어주+ㄹ 젊은 마무리 투수 임정우를 얻었다 .	ORG-B O O ORG-B O O O O O O O ORG-B O O O O O O PER-B O O
LG는 30일 허프(140만달러), 소사(90만달러), 히메네스(100만달러) 등 외국인 선수 3명과 재계약을 마치었다 .	ORG-B O MNY-B MNY-B MNY-B O O O O O O O
문재인에 대하+ㄴ 어떤 비판도 부당하+ㄴ 공격으로 여기며 ‘밀리면 끝장’이란 생각으로 문자폭탄 같은 집단 린치로 전면전을 벌이+ㄴ다 .	PER-B O O O O O O O O O O O O O O O O
정 의장은 “상임위원회 발의도, 본회의 보고도 되지 않은 법안을 직권상정하는 것은 무리”+이라며 “(직권상정으로 통과가 되+어도) 황교안 대통령 권한대행이 거부권을 행사하면 혼란만 초래하게 되는데, 이것은 국회의장으로서 무책임하+ㄴ 것”이라고 말하였다 .	PER-B O O O O O O O O PER-B O O PER-B O O PER-B O O O O O O O O O O O O O
“처음에 +ㄴ 딱 한 달만 재능기부하자고 생각하였죠 .	O O O O O O O O
다시 말 하+여죄의 경중을 따지+어보면 조 교육감의 경우 당선을 무효할 정도는 아니라는 것이 한겨레 의 견해+이다 .	O O O O O PER-B O O O O O O O ORG-B O O O
＜ 단계 3＞ 시각차가 나 오+ㄴ 배경 중앙은 “이번 사건을 계기로 교육감 직선제에 대하+ㄴ과감하+ㄴ 개혁이 필요하게 +었다”며 교육감 직선제 개혁을 제기하+ㄴ다 .	O O O O O O O ORG-B O O O O O O O O O O O O O O
허미영은 2세 계획을 묻는 기자질문에 “걱정을 하고 있는 부분이 +ㄴ데 사실 임신 중이다” +이라며 임신 사실을 밝히었다 .	PER-B O O O O O O O O O O O O O O O O O
인양이 이달 혹은 5월에 확정되면 8, 9월부터 작업이 시작되+ㄴ다 .	O O O O O O O O O O
이 동작을 3회 반복하+ㄴ다 .	O O O O O
언제 한번 좋은 자리를 갖고 얘기를 나누자”고 화답하였다 .	O O O O O O O O O
