강원도 정선군 화암+이면 백전리에 소재 하+ㄴ용소동굴은 ‘용이 살는 동굴’이라는 뜻을 가지고 있다 .	LOC-B LOC-B LOC-B LOC-B O O O O O O O O O
문화재청은 2013년 시행되+ㄴ ‘천연동굴문화재 지정기초학술조사’에서 자연유산적 가치가 뛰어나 +ㄴ수중동굴로 조사되어 천연기념물 지정을 추진하였다 .	ORG-B O O O O O O O O O O O O O
용소동굴은 현재까지 국내에서 발견되+ㄴ 수중동굴 중 가장 크+ㄴ 규모로, 조사구간을 기준으로 통로길이 약 250m, 수심은 약 50m이며, 도롱뇽과 서식어류 등 다양하+ㄴ 수중생물도 확인되고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
한편 2012년 뉴이스트 멤버로 데뷔 하+ㄴ 최민기는 같은 그룹 멤버 강동호, 김종현, 황민현과 함께 '프로듀스 101 시즌2'에 출연하+여재도약을 꿈꾸고 있다 .	O O ORG-B O O O PER-B O O O PER-B PER-B PER-B O O O O O O O O
박상옥 대법관 후보자에 대하+ㄴ 인사청문회를 야당이 거부하고 있는 것에 대하+여새누리당 지도부가 집중적으로 비판하고 나서 +었다 .	PER-B O O O O O O O O ORG-B O O O O O O
인지도는 낮지만 가격 대비 성능이 좋은 것으로 알려지+ㄴ AMDAPU, 그 중에서도 최신 모델이+ㄴ A10-8750(코드명고 다바리)를 탑재하였으며, 넉넉하+ㄴ 16GB메모리까지 갖추+어 다양하+ㄴ 작업에 무리 없이 이용 가능하다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
노벨화학상을 받은 세계적 석학로버트 그럽스 미국 캘리포니아공대 교수(74·사진)가 서울대 강단에 선다 .	O O O PER-B O ORG-B O O LOC-B O O O
교육부는 행정절차를 마무리 하+ㄴ 뒤 산하기관이 +ㄴ국사편찬위원회에 교과서 개발을 맡기 +ㄹ 계획이다 .	ORG-B O O O O O ORG-B O O O O O O
민청학련 사건에 연루되 +어 64일간 구금되었다가 석방되+ㄴ바 있어 헌법재판소 재판관 중 가장 진보적이라는 평가를 받기도 하+ㄴ 인물이다 .	O O O O O O O O ORG-B O O O O O O O O O
UEFA는 보통 2년 전에 개최 희망도시의 신청을 받은 뒤 총회를 통하+여 장소를 확정하+ㄴ다 .	O O O O O O O O O O O O O O
새 재무장관, 차칼로토스 “그리스인들은 더 낫은 대우받아야 하+ㄴ다 .	O O PER-B O O O O O O
사시 폐단 보완위 하+여 10년 논의 끝도입하+ㄴ로스 .	O O O O O O O O
사전 고지되 +ㄴ일정표를 준수하지 않는 여행사는 중국 여유국에 명단을 통보하+ㄹ 계획이다 .	O O O O O O ORG-B O O O O O
김태호 연평해전 전사자 ‘개죽음’ 표현 논란... 새정치 “국가관이 의심스럽ㄴ 발언” 제2연평해전 13주년, 김태호 연평해전 전사자 새누리당 김태호 최고위원이 제2연평해전 13주년을 맞은 29일 “다시는 우리 아들 딸들이 이런 개죽음 당하는 일은 없어야 하+ㄴ다”고 말 하+여 막말 논란이 일고 있다 .	PER-B O O O O O ORG-B O O O O O PER-B O O ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O
김 최고위원은 이날 경기도 평택에서 열리+ㄴ 현장 최고위원회의에서 제2연평해전 당시 전투수칙 등의 이유로 제대로 대응하지 못하+ㄴ 상황을 지적하+ㄴ 뒤 “이런 일이 있으면 사자처럼 용맹하게 즉각 대응 하+여야 하+ㄴ다 .	PER-B O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O
