'부천영화제 사무국'은 내달 3일 오후 3시30분∼5시30분 부천 중동신도시 중앙공원에서 'PiFan사랑 걷기대회'를 개최 하+ㄴ다 .	LOC-B ORG-I O O O O LOC-B LOC-B LOC-B O O O O O
이들은 22일 오전 11시 태평로 프레스센터 19층 기자회견장에서 '전국예술대학 교수연합회'(이하 예교련) 발족식 겸 창립총회를 갖고 상임공동대표로 최치림 중앙대 연극학과 교수를 선임하였다 .	O O O O LOC-B ORG-B ORG-I ORG-I ORG-B ORG-I ORG-B O O O O O PER-B ORG-B ORG-I O O O
또 김명회 서원대 교수(운영위원장), 이대영 중앙대 교수(사무국장), 강익모 한국디지털대 교수(조직국장), 김인준 국민대 교수(정책국장) 등이 운영 실무를 맡기로 +였다 .	O PER-B ORG-B O O ORG-B O PER-B ORG-B O PER-B ORG-B O O O O O O O
케이앤엔터테인먼트는 22일 "영화사인 디고필름, 키다리 필름, 영화 사 황금나비, 미니필름을 추가 인수하기로 +였다"고 공식 발표하였다 .	ORG-B O O O ORG-B ORG-I O O ORG-B ORG-B O O O O O O
스카이라이프"TV 리모컨으로 극장 예매 .	ORG-B O O O O
스칼렛(비비안리분)에게 신물이나 +ㄴ레트(클라크게이블)가 짐을 싸+아들 고 집을 나서는 장면이다 .	PER-B O PER-B O O O O O O O
남북전쟁으로 식량이 바닥나 +ㄴ 상황에서 스칼렛이 쩍쩍 갈라 지+ㄴ밭을 힘겹게 일구다 하늘을 향하+여울부짖는 대사+이다 .	O O O O O PER-B O O O O O O O O O
미국 공포영화팬들이 잔뜩 기대에 부풀었다. 저예산 공포영화의 거장 조지로 메로 감독이 20년 만에 연출 하+ㄴ 좀비 시리즈 4탄이 7월 10일 개봉하기 때문이다 .	LOC-B O O O O O O O PER-B O O O O O O O O O O O O O O
로메로 감독이 20년 만에 4탄을 만들 +ㄹ 수 있었던 것도 96년 로드리게즈의 '황혼에서 새벽까지' 같은 영화들이 젊은 관객들을 사로잡았고, 지난해 로메로의 '시체들의 새벽'을 패러디하+ㄴ '시체들의 손'이 흥행에 성공하는 등 저예산 호러 영화에 대하+ㄴ 관심이 다시 높아지었기 때문 .	PER-B O O O O O O O O O O PER-B O O O O O O O O PER-B O O O O O O O O O O O O O O O O O
노란색과 청색 죄수복을 입은 싱클레어는 이날 변호사를 대동하지 않고 단독으로 법원에 출두하였다 .	O O O O PER-B O O O O O O O O
부산영화제 아시아영화아카데미 참가자 모 .	O O O O O
제10회 부산국제영화제의 본 행사는 10월 6-13일 부산 해운대와 남포동극장가에서 열리+ㄴ다.☎ 02-3675-5097 .	O LOC-B O O O O LOC-B LOC-B LOC-B O O O
