섹시 ‘왝스(WAGS: 축구선수들의 아내 또는 여자친구)’ 중 하나로 손꼽히는 캐나다 토론토 출신 모델 니콜 윌리엄스(29)의 비키니 자태가 포착되었다 .	O ORG-B O O O O O O O LOC-B LOC-I O PER-B PER-I PER-I O O O O
오대산에 ‘산양’ 자 연방사, 2030년까지 자체 존속가능하+ㄴ 100개체 이상 서식 목표 환경부와 국립공원관리공단은 16일 산양(멸종위기 야생생물 1급·천연기념물 제217호) 4마리를 오대산 국립공원에 자연방사하였다고 밝히었다 .	LOC-B O O O O O O O O O O ORG-B LOC-I O O O O O O LOC-B LOC-I O O O
이번에 방사되 +ㄴ산양들은 지난해 국립공원관리공단 종복원기술원 북부복원센터의 증식·계류시설에서 태어나 +ㄴ 2년생 수컷, 암컷 각 1마리와 문화재청 양구 산양증식 복원센터에서 관리하던 4년생 수컷 1마리, 5년생 암컷 1마리로, 오대산 노인봉(문바우골)에 방사되었다 .	O O O O ORG-B ORG-I ORG-I ORG-I O O O O O O O ORG-B ORG-I ORG-I ORG-I ORG-I O O O O O O LOC-B LOC-B O O
현재 이곳에는 산양6마리가 살고 있지만, 국도 6호선에 의하+여서식지가 단절되+어 있어 산양의 개체수 확대가 필요하였다 .	O O O O O O O O O O O O O O O
환경부가 2010년부터 지난해까지 오대산 국립공원 일대의 산양개체수를 조사하+ㄴ 결과 두로봉 4마리, 동대산12마리, 호령봉4마리, 노인봉 6마리, 을수골5마리, 소황병산 5마리 등 총 36마리의 산양이 살고 있는 것으로 밝혀지었다 .	ORG-B O O LOC-B LOC-I O O O O LOC-B O LOC-B LOC-B LOC-B O LOC-B LOC-B O O O O O O O O O O
당국은 2030년까지 자체 존속가능하+ㄴ 100개체 이상 서식을 목표로 오대산 산양복업사업을 추진하고 있으며, 국립공원관리공단 종복원기술원 원장은 “백두대간 나+의 산양 생태축은 서식지의 파편화 등 다양하+ㄴ 요인으로 인하+여 단절되+어 있는 상태”라며 “이번 방사를 통하+여산양의 개체수가 확대되고 유전적 다양성이 증대되+ㄹ 것”이라고 기대감을 나타내 +었다 .	O O O O O O O O LOC-B O O O ORG-B ORG-I O O O O O O O O O O O O O O O O O O O O O O O O O O O
종복원기술원은 백두대간 산양 생태축 복원을 위하+ 여 북부권(설악산, 오대산, 비무장지대), 중부권(월악산, 속리산, 울진, 삼척), 남부권(지리산, 덕유산) 등 권역별 핵심지역을 중심으로 복원사업을 추진 중이다 .	O O O O O O O LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B O O O O O O O O
앞서 +어환경부는 2014년에도 생물다양성총회에 맞추+어오대산에 산양 4마리를 방사하였었다 .	O ORG-B O O LOC-B O O O O
중급 교육과정은 엔진 등 내연기관 관련 전공자나 유경험자만 지원 하+ㄹ 수 있으며, 초급교육과정(4개월)은 초보자를 위하+ㄴ과정으로 자격제한은 없다 .	O O O O O O O O O O O O O O O O O O
닭고기를 좋아하고 몸에 좋은 약재를 찾는 중국인에게 한국의 전통음식 삼계탕은 겨울철 보양식으로 크+ㄴ인기를 끌고 있습니다 .	O O O O O O O LOC-B O O O O O O O O
[탕거/베이징 거주]"정말 맛있어요 .	LOC-B PER-I O O
쌍용차, 신형 렉스턴 최종 디자인 ‘Y400’… 29일 공개 전 ‘살짝 .	ORG-B O O O O O O O O O O
서울어린이대공원은 동물원 방사장에서 사자의 공격으로 사망 하+ㄴ 사육사 김모씨(52)를 4급으로 한 직급 추서하였다고 14일 밝히었다 .	ORG-B O O O O O O O PER-B O O O O O O O
10월(18.0%)은 물론 12월(38.5%)보다 가능성이 더 크다고 보+ㄴ다 .	O O O O O O O O
갱년기 장애는 폐경을 전후로 10년 정도 지속되 +ㄴ다 .	O O O O O O O O O
영업이익도 199억원에서 279억원으로 40%나 오르았다 .	O MNY-B MNY-B O O O
방 2개에 거실, 주방까지 갖추+어살는 데 불편 하+ㅁ이 없었다 .	O O O O O O O O O O
