미터에 찍히 +ㄴ 금액은 4100원.기사가 도착 버튼을 누르었다 .	O O O O MNY-B O O O O
박 대표, 김 대표, 신 부사장 등 3명의 창업자는 1990년대 말부터 약 10년 동안 휴대전화 용지도 및 위치정보 서비스를 만들는 업체에서 일하+ㄴ 경력이 있다 .	PER-B O PER-B O PER-B O O O O O O O O O O O O O O O O O O O O
박주호(도르트문트)와 김진수(호펜하임) 등 기존 자원들이 소속팀에서의 부침으로 인하+여 대표팀에 합류하지 못하+ㄴ 상황에서, 왼쪽 측면을 책임지+ㄴ 오재석(감바오사카)의 전·후반 경기력은 확연히 다르았다 .	ORG-B ORG-B O O O O O O O O O O O O O ORG-B O O O O O
영화에는 아이돌 그룹 엑소의 멤버도 경수와의 ‘키스 이+ㄴ 듯 키스 아니+ㄴ키스신’도 등장하+ㄴ다 .	O O O ORG-B O O O O O O O O O
25위 케빈 트웨이(13만6547달러)에 약 3만3000달러 이상 앞서 +어 있어 시드 획득이 확실시되고 있다 .	O PER-B MNY-B O MNY-B O O O O O O O O O
회원 28만명의 국내 최대 견주모임이 +ㄴ 애견협회에는 이미 ‘칩’의 위험성에 대하+ㄴ 많은 논의가 있었다고 하+ㄴ다 .	O O O O O O ORG-B O O O O O O O O O
사실 중국인 유학생의 유입은 한반도와 중국 대륙이 인적교류를 시작하+ㄴ이래 처음 있는 현상이다 .	O ORG-B O O LOC-B ORG-B O O O O O O O
조직위는 또 범정부적 지원을 받아 선수촌이 개촌되는 26일부터 인천국제공항-광주간 KTX가 증편(1일 편도 2회 →5회) 되+어 해외 참가자 수송이 더욱 원활하게 펼쳐지고, 대테러·안전대책본부와 식음료 안전대책본부 등을 통하+여 ‘안전하+ㄴ대회’ 실현도 차질없이 준비되고 있다고 보고하였다 .	O O O O O O O O LOC-B O O O O O O O O O O O O ORG-B O ORG-B O O ORG-B O O O O O O
전태풍은 계약기간 2년, 첫 해 보수 총액 5억4000만원(연봉 4억8600만원++인센티브 5400만원)에 KCC와 25일 자유계약 선수(FA) 계약을 체결하+ㄴ다 .	PER-B O O O O O O MNY-B MNY-B MNY-B ORG-B MNY-B O O O O O
외교부가 공개하+ㄴ자료에 따르면 최근 5년간 한국인 워홀러가 연루되 +ㄴ 사건은 살인, 폭행, 사기, 교통사고를 포함하+여 모두 577건이다 .	ORG-B O O O O O PER-B O O O O O O O O O O O
한국은 그동안 법­ 제도적 측면에서 유엔이 요구하는 남녀평등 수준을 이루+어내 +었으나, 「실질적 평등」에 이르지 못하였으며, 좀 더 적극적 이+ㄴ 여성정책이 앞으로의 과제+이라고 발표자들은 평가하고 있다 .	ORG-B O O O O ORG-B O O O O O O O O O O O O O O O O O O O O
올해로 5회째를 맞은 ‘여성 컨퍼런스’는 한국지엠 세르지오 호샤(SergioRoc ha) 사장 겸 CEO, 제임스 김(James Kim) 사장 겸 COO, 황지나 홍보 부문 부사장을 비롯하+ㄴ 임원진과 여성 직원 약 300여명이 참석 하+ㄴ 가운데 개최되었다 .	O O O O O ORG-B PER-B PER-B O O O O PER-B PER-B PER-I O O O PER-B O O O O O O O O O O O O O O
비리 연루 의혹 김정행 대한체육회장 … 2013년까지 6회 연속 유도 회장 역 .	O O O PER-B O O O O O O O O O
아모레퍼시픽은 5월 가정의 달을 맞아 ‘타임 레스폰 스 스프링 익스클루시브 콜렉션’을 한정적으로 선보이었다 .	ORG-B O O O O O O O O O O O O O
‘타임레스폰 스 스프링 익스클루시브 콜렉션’은 안티에이징 케어를 위하+ㄴ 선물세트로 아모레퍼시픽의 베스트셀링 제품이 +ㄴ ‘타임레스폰 스 스킨 리뉴얼 젤크림’과 이번 콜렉션을 위하+여한정으로 선보이+ㄴ ‘인텐시브에이징-디파잉나이트 트리트먼트’ 2종으로 구성되었다 .	O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
