같은 날 여자부 매스 스타트에서 8분 17초 66으로 은메달을 따+ㄴ김보름(23·강원도청)도 쇼트트랙에서 전향 하+ㄴ 선수+이다 .	O O O O O O O O O ORG-B O O O O O
그는 또 '출소하고 나+아서도 박 대통령이 퇴임을 하+여도 모시+ㄹ 것이냐'고 묻자 "운명이라고 생각하고 모시+ㄹ 것"이라고 답하였다 .	O O O O PER-B O O O O O O O O O O O O
그는 또 박 대통령의 세월호 참사 전후 미용 시술 의혹에 대하+여서는 "말 하+ㄹ 수 없다"고 답변을 거부하였다 .	O O PER-B O O O O O O O O O O O O O O O
이용주 국민의당 의원은 ""정 전 비서관은 억울하+여하는 부분에 대하+여서는 적극적으로 말하면서도 멍 자국의 존재, 미용시술의 존재 등에 대하+여 그런 사실이 있었는지, 알고 있었는지에 대하+여'대답하+ㄹ 수 없다'는 취지로 말 하+여소 극적으로 시인하였다"고 전하였다 .	PER-B ORG-B O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
스시코스(점심 6만9000원부터, 저녁 14만원부터), 사시미코스(점심 7만9000원부터, 저녁 17만원부터), 오마카세(점심 10만원부터) •영업시간 : 낮 12시~오후 3시, 오후 6시~10시(연중무휴) •전화번호 : 02-518-4224•주소 : 강남구 도산대로 45길 18-10 파크뷰빌딩 1층 •주차: 발레파킹(3000원) 마이쏭도산공원 터줏대감이+ㄴ이탈리안 레스토랑 ‘그랑씨엘’의 세컨드 브랜드로 2009년 문을 열 +ㄴ아메리칸 캐주얼 다이닝이다 .	O MNY-B O MNY-B O MNY-B O MNY-B O MNY-B O O O O O O MNY-B O O O O LOC-B LOC-B O MNY-B O O O MNY-B LOC-B O O O O O O O O O O O O
영종하늘도시 화성파크드림은 이러하+ㄴ 흐름에 잘 부합되+ㄴ 특화설계로 높은 인기를 끌+ㄹ 것으로 예상되 +ㄴ다 .	LOC-B O O O O O O O O O O O O O
보배가 ‘이 순간을 즐기라’고 하더라고요. 저도 즐기려고요.”(장혜진) 남녀 3명씩 6명으로 구성되 +ㄴ 대표팀이 리우에서 사상 최고의 성적을 올리+ㄴ 데 대하+여둘은 “우리는 하나+이었기 때문”이라고 +였다 .	PER-B O O O O O PER-B O O O O O ORG-B LOC-B O O O O O O O O O O O
삼성그룹/중소 주시개발 참여 /총백억불 규모 …성항 케펠그룹 제 .	ORG-B O O O O O ORG-B O O
곧 미·중 정상회담이 있고, 한국에 새 정부가 들어서 +ㄴ다 .	O ORG-B O O ORG-B O O O O O
현재 최 회장 가족의 땅 앞까지 도로 확장이 완료되었다 .	O PER-B O O O O O O O O
기상청 관계자는 제주도 육상에 강풍주의보가 발효 중이며, 당분간 기온이 크+ㄴ 폭으로 떨어지겠고, 바람도 매우 강하게 불면서 체감온도는 더욱 낮아 지+어 매우 춥겠으니, 간판 등 시설물과 건강관리에 각별히 유의 하+여달라고 당부하였다 .	ORG-B O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
네이버가 개발하+ㄴ 자율주행차가 도로 주행에 나서게 되면 우리나라에서 도로로 나오+ㄴ 자율주행차는 총 12대가 되+ㄴ다 .	ORG-B O O O O O O O O O O O O O O
