다니가키그룹은 규모가 작지만 멤버 대부분이 각료 경험자로 구성되 +어 있다 .	ORG-B O O O O O O O O O O
수사팀은 최근 이 총리 측이 성 회장의 운전사 등을 접촉하고 있는 정황을 심각하게 보고 있는 것으로 알려지었다 .	O O PER-B O PER-B PER-B O O O O O O O O O O O O
'지동원 원톱-손흥민 출격' 축구대표팀, 중국 전 베스트 11은 .	PER-B PER-B O O O O O O O
재배달을 줄이기 위 하+ 여야마토는 회원제 이+ㄴ ‘쿠로네코 멤버스’ 서비스 이용자를 늘리는 일에 힘을 쏟고 있다. 등록하면 메일로 배달 예정일에 미리 연락을 주거나, 인터넷으로 수령 날짜를 변경하+ㄹ 수 있다 .	O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
값싸+ㄴ 인건비와 급성장하는 내수시장 덕에 세계 굴지의 기업들이 모여들는 세계의 공장으로 성장 하+ㄴ 중국이 이제는 노동자 임금은 물론 땅값, 전기료가 오르 아 기업들에 매력을 잃고 있다는 점도 요인이다 .	O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O
‘집밥 백종원 만능 간장 레시피’ ‘집밥백 선생’ 백종원이 만능 간장 레시피 악플을 언급하였다.지나 +ㄴ 28일 방송되+ㄴtvN ‘집밥백 선생’은 애프터서비스 특집으로 진행되었다 .	O PER-B O O O O O PER-B O O O O O O O O O O O O O O
걸스데이, ‘개다리춤’과 ‘말 타기춤’ 안무 ‘링마벨’ 통하+여화끈 하+ㄴ ‘컴백 .	ORG-B O O O O O O O O O
슈틸리케 감독은 “중동파가 지난번에 제외되 +ㄴ 것은 소속 리그 재개를 앞두고 있어서 +이었지 실력 부족이 아니었다 .	PER-B O ORG-B O O O O O O O O O O O O O O
기존 ‘체육정책관·협력관’ 모두 관장 하+ㄹ 계획 문화체육관광부는 30일 ‘문화체육관광부와 그 소속기관 직제 일부개정령안’이 국무회의에서 통과되+어제 2차관 직속 ‘체육관광정책실’이 ‘체육정책실’과 ‘관광정책실’로 재편되+ㄴ다고 밝히었다 .	O O O O O O ORG-B O ORG-B O O O O O O O O O O O O O O
저격수가 아니라 국민 검증단이 +ㄴ 것”이라고 주장하였다.【서울=뉴시스 .	O O O O O O LOC-B O
지나+ㄴ 시즌 가장 많이 완투를 하+ㄴ 투수는 한화의 외국인 선수로 저스(4차례) +이었다. .	O O O O O O O ORG-B O O O O O
뚱뚱 하+ㄴ 제주… 허리둘레 81.8cm ‘전국 1위 .	O O LOC-B O O O O O
"장국영은 타살 당하였다" 등 그의 죽음에 대하+ㄴ의 문은 끊임없이 제기되+어+았다 .	PER-B O O O O O O O O O O
2011년 유기발광다이오드(OLED) 재료 개발에 성공하면서 진정하+ㄴ 강소기업의 반열에 오르았다 .	O O O O O O O O O O
앞으로 인천공항 이용객은 네이버 검색창(앱 또는 웹)에 항공기 편명을 입력하면 출발시간, 체크인 카운터, 탑승 구 위치 등 기본적 이+ㄴ 운항정보를 조회하+ㄹ 수 있다 .	O LOC-B O O O O O O O O O O O O O O O O O O O O O O
찰리앵거스 온타리오 주주의원은 겨울 동안 젊은이들을 중심으로 자살 유혹에 빠지+어들는 “악몽이 눈덩이처럼 확산되고 있다”고 말하였다 .	PER-B LOC-B LOC-I O O O O O O O O O O O O O
