부구욱 대교협 회장	PER-B ORG-B O
다음 달 4 일 로 다가온 서울 시내 면세점 탈환 전쟁터 는 강남 지역 이 다 .	O O DAT-B DAT-I O O LOC-B O O O O O LOC-B O O O O
현재 의 경영 환경 에서 는 네 개 의 시장 이 맞물리 면서 기업 의 성패 를 가르 게 된다 .	O O O O O O O O O O O O O O O O O O O O O
경제 기획 원 재무부 상공 자원 부 보사부 등 정부 관련 부처 는 오 는 6 월 22 일 미 워싱턴 에서 열리 는 한 ­ 미 경제 협의회 를 앞두 고 관계 부처 간 협의 를 계속하 고 있 다 .	ORG-B ORG-I ORG-I ORG-B ORG-B ORG-I ORG-I ORG-B O O O O O O O DAT-B DAT-I DAT-I DAT-I LOC-B LOC-I O O O ORG-B ORG-I ORG-I ORG-I ORG-I O O O O O O O O O O O O O
“ 한국 정당 가장 비 민주 ­ 독선적 ” / 박희태 의원 「 거수기 론 」 강연	O O O O O O O O O O PER-B O O O O O O
‘ 프로듀스 101 ’ 출신 으로 걸그룹 데 이 데이 멤버 데뷔 를 앞두 고 있 는 이수현 의 근황 에 관심 이 모인다 .	O O O O O O O ORG-B ORG-I ORG-I O O O O O O O PER-B O O O O O O O
이수현 은 최근 인스타그램 에 “ 오늘 날씨 좋 죠 ~ ~ ~ ~ ? ” 라며 셀 피 한 장 을 올 렸 다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
정진석 원내 대표 는 의총 을 마친 뒤 기자 들 에게 “ 국민 의 뜻 에 순명 ( 順命 ) 하 는 게 ( 국감 복귀 ) 명분 ” 이라고 했 다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
뎁스 영어 학원 에서 도입한 ‘ 인문학 원서 읽 기 ’ 프로그램 은 CD 를 들 으며 공부하 기 때문 에 발음 교정 과 함께 영어 듣기 능력 향상 에 도 도움 이 된다고 한다 .	ORG-B ORG-I ORG-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
반면 2 인 이상 가구 는 30 % 이상 이 ‘ 주 1 회 생선 을 사 먹 는다 ’ 고 답 했 다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
우리 세종 에서 는 주민 들 의 압도적 인 지지 를 바탕 으로 고교 평준화 를 도입 했 고 학생 들 의 과목 선택권 을 확대하 기 위해 캠퍼스 형 공동 교육 과정 운영 을 추진하 고 있 습니다 .	O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
인테리어 에 관심 있 는 사람 들 사이 에 꼭 가 봐야 할 ‘ 잇 ( it ) 플레이스 ’ 로 떠오르 면서 2012 년 역삼동 에 두 번째 쇼룸 을 열 었 고 , 올해 초 엔 성북동 에 갤러리 를 오픈 했 다 .	O O O O O O O O O O O O O O O O O O O O O O O DAT-B DAT-I LOC-B O O O O O O O O O O O O LOC-B O O O O O O O
세월호 실종자 · 희생자 가족 들 이 숙소 로 쓰 던 컨테이너 다 .	O O O O O O O O O O O O O O
인구 배당 효과 라고 도 불리 는 인구 보너스 란 전체 인구 중 15 ~ 64 세 생산 가능 인구 의 비중 이 높 은 인구 구조 가 경제 성장 을 촉진하 는 현상 을 의미한다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이후 복귀한 박용근 은 2016 시즌 31 경기 출전 , 타율 0.230 , 1 홈런 , 17 안타 , 6 타점 을 기록 했 다 .	O O PER-B O O O O O O O O O O O O O O O O O O O O O O O
한편 , 채리나 측 은 18 일 다수 의 매체 를 통해 지난 11 일 야구 선수 박용근 과 조촐하 게 결혼식 을 올 렸 다고 밝 혔 다 .	O O PER-B O O DAT-B DAT-I O O O O O O PER-B PER-I O O PER-B O O O O O O O O O O O O
