타지키스탄 등의 신생아들에게 전달되+ㄹ 예정이다 .	LOC-B O O O O O
앞으로도 한국 축구의 힘이 +ㄴ K리그 많이 사랑 하+여주+시었으면 좋겠다"고 소감을 밝히었다 .	O ORG-B O O O ORG-B O O O O O O O
남녀 프로농구 양동근(모비스)과 박혜진(우리은행), 남녀 프로배구 문성민(현대캐피탈)과 김희진(IBK기업은행), 남녀 프로골프 최진호(현대제철)와 박성현(넵스)도 종목별 올해의 선수로 뽑히 었다 .	O O ORG-B ORG-B O O ORG-B ORG-B O O ORG-B ORG-B O O O O O O
영화 ‘더폰’ 손현주, 팬을 위하+여 ‘전화번호’ 즉석 공개… ‘깜짝’ 더 폰 손현주 영화 ‘더폰’에 출연하는 손현주가 즉석에서 휴대전화 번호를 공개하+여 팬들을 설레게 +였다 .	O O PER-B O O O O O O O O PER-B O O O PER-B O O O O O O O O
손현주는 14일 서울 압구정의 한 영화관에서 열리+ㄴ영화 ‘더폰’(감독김봉주/제작 미스터 로맨스) 제작 보고회에서 관객과 직접 소통 하+ㄹ 수 있는 휴대전화 번호를 공개하였다 .	PER-B O LOC-B LOC-B O O O PER-B ORG-B O O O O O O O O O O O O O
이날 행사에서 손현주는 ‘더폰’ 배우들과 직접 소통 하+ㄹ 수 있는 휴대전화 번호를 즉석에서 깜짝 공개하였다 .	O O PER-B O O O O O O O O O O O O O
공개되+ㄴ번호는 010-9780-1022로 관객들이 직접 배우들과 전화 이벤트를 즐기+ㄹ 수 있었다 .	O O O O O O O O O O O
특히 뒤에 네 자리 ‘1022’는 ‘더폰’의 개봉 일자(10월 22일)를 뜻하+ㄴ다 .	O O O O O O O O O O O
손현주는 또 영화 촬영 당시 갈비뼈 부상을 입었다고 털어놓았다 .	PER-B O O O O O O O O O
이날 손현주는 “촬영 중 엄지원도 나도 다치었다”면서 “나+ㄴ 갈비뼈가 부러지었고 손톱이 다 나가+았다 .	O PER-B O O PER-B O O O O O O O O O
올해 행사에 +ㄴ 세계적 이+ㄴ 베스트셀러 작가 이+ㄴ 알랭 드 보통이 공동감독을 맡아 특별전을 열고 공예와 철학, 문학의 만남을 주제로 하+ㄴ 작품을 관람객들에게 선사 하+ㄴ다 .	O O O O O O O O PER-B O O O O O O O O O O O O O O O O O
이어 봉해령은 "두 사람 사이 알고 있었다 .	O PER-B O O O O O O
CNN은 “유럽에는 총 120∼180명이 가담 하+ㄴ 잠복조직 20개가 있으며 이들은 프랑스·독일·벨기에·네덜란드 등을 공격 하+ㄹ 수 있다”고 보도하였다 .	O ORG-B O O O O O O O O ORG-B O O O O O O O
김무성 대표“둘째 사위 마약 전과 결혼 전 알고 파혼권유+였으나 …딸이 결혼 고집 하+ 여 허락” 김무성사위 새누리당 김무성 대표는 둘째 사위의 마약 전과와 관련, “결혼 전에 관련 사실을 알고 파혼을 권유하였으나 딸이 결혼을 고집하+여 어쩌+ㄹ 수 없이 허락하였다”고 10일 입장을 밝히었다 .	PER-B O O O O O O O O O O O O O O PER-B ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O
앞서 동아일보는 이날 “2년 반 동안 15차례나 마약을 투약하+ㄴ거액 자산가 아들이자 현재 유력 정치인의 인척이+ㄴ A씨에게 법원이 징역 4년∼9년 6개월 이+ㄴ 양형기준하한선을 이탈하+여 집행유예를 선고하였다”며 “검찰은 이에 항소하지도 않아 ‘봐주기’ 논란이 일고 있다”고 단독 보도하였다 .	O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O
이에 미디어오늘은 판결문과 대법원 사건 기록 등을 조회, A씨가 지난달 8월 28일 김무성 대표의 둘째 딸과 결혼 하+ㄴ 김 대표의 사위 이+ㄴ 것으로 확인되었다고 이날 오후 보도하였다 .	O O O ORG-B O O O O PER-B O O O PER-B O O O O O PER-B O O O O O O O O O
