조범구 이사장은 “1974년 봄 중앙정보부에서 2명이 나를 찾아오았다 .	PER-B O O O ORG-B O O O O
『 거짓말이 다』에 따르면 그는 민간 잠수사들을 제대로 지원하기는커녕 잠수사의 죽음에 대하+ㄴ 책임을 묻어 이들을 법정에 세우+ㄴ, 애초에 대참사를 빚은 정부에 대하+ㄴ 분노가 +었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
美호버보드 폭발 화재로 첫 사망자 발생…3살 여아 사 .	LOC-B O O O O O O O O
NHK에 의하면 초당파 의원 모임이+ㄴ ‘다함께 야스쿠니 신사에 참배하는 국회의원 모임’ 소속 의원 95명은 야스쿠니 신사의 춘계예대제(例大祭) 첫날을 맞아 이날 오전 8시께 야스쿠니 신사를 집단 참배하였다 .	ORG-B O O O O ORG-B O O O O O O O O O O O O O O O O O O O ORG-B O
그런 그가 인터뷰 후 꼭 5일 만이+ㄴ 10월 20일 대구시 동구 효목동의 한 사무실에서 숨지+ㄴ 채 발견되었다 .	O O O O O O O O O LOC-B LOC-B LOC-B O O O O O O
그런데 우리 당은 수도권에 별로 관심 없다 .	O O O LOC-B O O O O
미국 캘리포니아의 고속도로에서 버리+ㅁ 받고도 무려 5주간이나 주인을 기다리+ㄴ 개가 당국에 구조되었다 .	LOC-B LOC-B O O O O O O O O O O O
그렇게 오랫동안 남편 없이 힘들게 살아오았던 아내는 결국 2014년 법원에 이혼소송을 제기하며 위자료와 재산분할 청구 등을 요구하였습니다 .	O O O O O O O O O O O O O O O O O O
서울가정법원 가사5부(부장 송인우)는 남편의 외도로 50여년 세월을 별거 상태로 살+ㄴ아내 A씨가 남편 B씨를 상대로 내+ㄴ위자료 및 재산분할 소송에서 “두 사람은 이혼하고 남편은 아내에게 위자료 5000만원 ㆍ자녀 양육비 8000만원 ㆍ재산분할 2억원을 각 지급하라”고 9일 판결하였습니다 .	MNY-I O PER-B O O O O O O O PER-B O PER-B O O O O O O O O O O O MNY-B O O MNY-B O MNY-B O O O O O
권영세 안동시장은 이들과 면담 하+ㄴ자리에서 “명망 있는 작가의 그림을 기증받으면 미술관 건립에 필요하+ㄴ 작품 수집 비용 부담을 덜 +ㄹ 수 있다”며 “안동시의 브랜드 가치도 올라가 +아관광 수입 등 이익이 창출되+ㄴ다”고 설명하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
롯데마트에 따르면 생수 매출은 2012년 대비 2013, 2014년 각각 4.2%, 13.4% 늘었다 .	ORG-B O O O O O O O O O O O O
2011년 세상을 떠나 +ㄴ 잡스는 생전에 ‘띠동갑’으로 12세 연하이+ㄴ 아이브 부사장을 ‘나의 영적 이+ㄴ 동반자(솔메이트)’라고 부르었다 .	O O O O PER-B O O O O PER-B O O O O O O O
