국가대표 수비수 김기희(27)는 지나 +ㄴ 2월 전북 현대에서 상하이선화로 이적하였다 .	O O PER-B O O O ORG-B O ORG-B O O
교보생명이 내놓은 ‘나를 담은 가족사랑(무)교보New종신보험’이 대표적이다 .	ORG-B O O O O O O
한국산 자기부상열차가 세계적 이+ㄴ 휴양도시 이+ㄴ 미국 마이애미 비치를 달리게 되+ㄹ까 .	O O O O O O LOC-B O O O O O
대표적 이+ㄴ 분야가 배송이죠. 오프라인 매장에서는 구매 즉시 물건을 받아 보+ㄹ 수 있지만 온라인에서는 주문 버튼을 누르+ㄴ 뒤 물건이나 +에게 도착하+ㄹ 때까지 최소 3시간에서 늦게는 1~3일이 걸리+ㅂ니다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
지나+ㄴ 9일 대구시 달서구 성당동 한우외식전문업체 이+ㄴ㈜ 가야 축산(K&U 한우) 본점 사무실. 김창일(41) 대표가 ‘가야 축산’이라고 적히 +ㄴ 푸른색 점퍼들을 정리하고 있었다 .	O O LOC-B LOC-B LOC-B O ORG-B ORG-B ORG-B O O O PER-B O ORG-B O O O O O O O O
국내 첫 메르스 감염자가 사흘간 입원하였던 병원에서 또다시 추가 감염자 2명이 발생하여 국내 메르스 환자가 12명으로 늘었다 .	O O O O O O O O O O O O O O O O O O
30일 보건복지부는 전날 오후 늦게 79살과 49살의 여성 등 2명의 메르스 감염 의심자에 대하+여유전자 검사를 실시하+ㄴ 결과 모두 양상 판정이 나오았다고 밝히었다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O
29일 첫 감염자와 같은 병동에 입원 하+여 있던 환자들 가운데 고열 등의심 증상을 보이+ㄴ 6명의 유전자 검사를 실시하+ㄴ 결과 79살과 49살의 여성 환자 2명이 메르스 양성 판정을 받은 것.첫 감염자와 다른 병실에 있던 입원자들의 추가 감염이 속출하면서 전염성이 강 하+ㄴ 공기를 통하+ㄴ 전염이 일어나 +았을 가능성을 배제하+ㄹ 수 없게 +었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
KMAC(한국능률협회컨설팅)는 19일 ‘2015 한국의 경영대상’을 수상하+ㄴ 34개사를 발표하였다 .	ORG-B O O O O O O O O
표 의원은 특히 “일베(일간 베스트) 친구들, 괜찮으니 계속 전화와 문자 달라”며 “대신 약 하+ㄴ 사람, 동물 괴롭히고 조롱하고 비하하고 혐오 발언이나 사진 영상 올리지 말아달라.가끔 여러분 집중 공격받다 보니 정마저 들려 하+ㄴ다”고 적어 눈길을 끌었다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
개통 앞 두 +ㄴ대구 모노레일, 무료 시승 하+여보세 .	O O O LOC-B O O O O O
최순실씨(61·구속기소)의 측근 고영태씨(41·전 더 블루케이 이사)와 고씨의 지인들이 미르·K스포츠재단이권에 개입하려 하고, 자신들의 이익을 위하+여국정농단 사건의 폭로를 기획하+ㄴ 정황이 드러나 +았다 .	PER-B O PER-B O O O PER-B O ORG-B O PER-B O O O O O O O O O O
또 네이버 지식인에서 다른 사람의 고민에 진심으로 함께 고민하는 모습이 인상적이다 .	O ORG-B O O O O O O O O O O
소장에 따르면 이들은 “폴크스바겐그룹 등은 광고에서 ‘클린 디젤’이라는 슬로건을 통하+여환경을 보호하면서도 휘발유 차량보다 연비가 2배가량 좋다는 등 해당 차량을 광고하였다”며 “이 같은 기망행위가 없었다면 배출가스 허용 기준을 준수하지 못하는 차량을 구입하지 않았을 것”이라고 주장하였다 .	O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이어 “민법 110조에 따르 아해당 차량 매매계약은 무효가 +었으므로 지불 하+ㄴ 차량 값을 돌리+어달라”며 “해당 차량을 구입하+ㄴ 시점부터 연 5% 비율의 이자도 함께 반환하라”고 주장하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
[조경란 의 사물이야기] 밀 .	PER-B O O O O
