< 김민배 기자 >	O PER-B O O
김세현 은 “ 과거 에 는 맹목적 인 투구 를 했 다 ” 며 “ 특정 선수 에게 안타 를 맞 았 다면 , 그 다음 에 는 충분히 생각하 고 맞붙 어야 한다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
31 일 두산 과 의 대전 홈 개막 전 이 우천 으로 취소된 뒤 취재진 과 만난 김 감독 은 “ 선수 들 에게 모티베이션 ( 동기 부여 ) 이 올라가 지 않 았 나 싶 다 .	DAT-B DAT-I ORG-B O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O
엄상백 은 “ 체계적 으로 운동 을 하 고 , 먹 는 데 신경 을 많이 썼 다 .	PER-B O O O O O O O O O O O O O O O O O O
지난주 공화당 전 대장 인 클리블랜드 에서 자주 보 였 던 반 ( 反 ) 트럼프 진영 의 ‘ 네버 트럼프 ’ 를 응용한 ‘ 네버 힐러리 ’ 구호 도 곳곳 에서 들 렸 다 .	O ORG-B O O O ORG-B O O O O O O O O O PER-B O O O O PER-B O O O O O PER-B O O O O O O O O O
민아 는 이날 23 번째 생일 을 맞 았 다 .	PER-B O O O O O O O O O O
공개된 사진 에 는 상반된 표정 을 짓 고 있 는 설현 과 민아 의 모습 이 담겨 있 다 .	O O O O O O O O O O O PER-B O PER-B O O O O O O O
한편 AOA 는 오 는 10 월 4 일 서울 종로구 상명 아트센터 계당홀 에서 ‘ 하트 어택 ’ 콘서트 를 개최한다 .	O ORG-B O O O DAT-B DAT-I DAT-I DAT-I LOC-B LOC-B LOC-I LOC-I LOC-I O O O O O O O O O
심상정 대표 는 또 " 우리 경제 의 가장 큰 리스크 는 재벌 3 세 세습 문제 " 라며 " 집권 에 이르 지 못하 더라도 재벌 3 세 세습 은 더 이상 못하 게 금지하 겠 다 " 고 밝 혔 다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
심상정 대표 는 대선 을 완주 할 수 도 있 지만 연합 정치 를 위해 중간 에 사퇴할 수 도 있 다고 밝 혔 다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
이광수 인천공항공사 부사장 은 발표 에서 인천공항 에서 일하 는 비정규직 1 만 명 정규 직 화 를 위한 로드맵 을 제시 했 다 .	PER-B ORG-B O O O O ORG-B O O O O O O O O O O O O O O O O O O
중국 서부 내륙 에 위치한 쓰촨 은 최근 10 여 년 간 역사적 으로 가장 빠른 발전 단계 에 진입 했 다 .	LOC-B O O O O LOC-B O O O O O O O O O O O O O O O O O
